Variable,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
TMAX,year,23.027,22.050,22.158,21.511,22.415,21.677,22.624,21.971,23.165,22.846,22.442,22.394,21.208,22.422,23.647,22.088,23.333,23.040,22.426,22.577,22.543,22.562,22.998,22.937,23.368,23.340,22.831,22.525,23.633,23.061
TMAX,MAMJJASO,25.639,25.333,25.140,24.635,25.861,24.979,25.968,24.992,26.501,26.437,26.106,25.606,24.002,25.519,27.100,25.533,26.755,26.089,25.641,25.781,25.965,25.570,26.795,26.356,27.413,27.225,26.053,25.515,27.496,27.093
TMAX,AMJJAS,27.170,27.081,26.076,26.387,27.359,26.501,28.193,26.151,27.748,28.300,28.507,27.519,25.795,26.663,28.315,27.105,27.289,27.197,27.447,27.076,27.766,26.967,28.848,28.490,29.312,29.346,27.570,27.117,28.535,29.508
TMAX,ONDJFM,17.072,18.777,16.883,17.326,16.807,17.257,17.641,16.998,18.284,18.550,16.201,17.234,17.128,16.815,18.530,17.812,19.115,18.930,17.986,17.899,17.386,17.824,17.542,17.133,17.359,16.887,17.825,18.702,17.796,17.564
TMAX,NDJF,16.135,17.513,14.880,15.891,15.191,14.958,15.653,15.662,16.406,16.298,14.554,15.545,16.113,15.092,16.854,15.621,16.177,16.609,16.379,16.070,15.758,15.891,15.510,15.897,15.412,14.811,16.124,17.226,15.206,15.342
TMIN,year,11.392,11.104,11.273,10.645,10.945,10.557,11.896,11.173,12.239,11.770,11.147,10.931,10.632,11.274,12.321,11.513,12.566,11.606,11.037,11.188,11.491,11.601,11.866,11.224,10.956,12.025,10.846,10.919,11.562,11.675
TMIN,MAMJJASO,13.675,13.081,13.330,12.565,12.989,12.741,14.134,13.090,14.181,14.166,13.656,13.151,12.740,13.344,14.174,13.546,14.589,13.867,13.796,13.277,13.982,13.460,14.355,13.609,14.082,14.869,13.200,13.063,13.803,14.065
TMIN,AMJJAS,14.569,14.425,14.244,13.885,14.224,13.661,15.465,14.129,15.082,15.237,14.946,14.457,13.929,13.855,15.146,14.702,15.308,15.040,14.859,14.489,14.452,14.097,15.500,14.871,15.187,15.779,14.470,14.334,14.517,15.460
TMIN,ONDJFM,5.970,8.707,7.313,7.894,7.812,7.604,7.748,8.430,8.060,9.913,7.552,6.892,7.672,7.750,8.870,9.503,8.800,10.001,6.762,7.376,9.134,7.872,8.851,8.166,6.362,7.406,8.719,7.722,6.955,8.665
TMIN,NDJF,4.152,8.100,5.934,7.261,7.266,6.592,6.108,7.913,6.643,8.948,5.835,5.644,6.831,6.519,7.729,8.529,7.638,8.897,5.228,5.695,8.116,5.956,7.280,7.400,4.290,5.316,7.467,6.722,5.406,7.324
TAVG,year,17.102,16.494,16.630,16.016,16.609,16.049,17.191,16.497,17.659,17.279,16.726,16.582,15.813,16.741,17.928,16.727,17.920,17.275,16.653,16.795,16.935,17.004,17.349,17.022,17.077,17.616,16.749,16.627,17.511,17.287
TAVG,MAMJJASO,19.529,19.120,19.155,18.541,19.349,18.796,20.008,18.945,20.303,20.277,19.821,19.307,18.260,19.351,20.591,19.470,20.669,19.921,19.682,19.450,19.922,19.429,20.514,19.901,20.661,20.985,19.517,19.199,20.606,20.532
TAVG,AMJJAS,20.743,20.658,20.026,20.091,20.699,20.002,21.770,20.048,21.371,21.744,21.663,20.892,19.745,20.163,21.681,20.834,21.266,21.045,21.130,20.691,21.075,20.444,22.112,21.577,22.173,22.514,20.889,20.635,21.471,22.440
TAVG,ONDJFM,11.382,13.674,12.019,12.568,12.239,12.369,12.645,12.641,13.122,14.212,11.788,12.004,12.333,12.167,13.593,13.598,13.911,14.464,12.260,12.542,13.155,12.764,13.095,12.574,11.812,12.061,13.210,13.143,12.270,12.968
TAVG,NDJF,9.999,12.750,10.284,11.537,11.177,10.682,10.754,11.736,11.495,12.592,10.097,10.495,11.410,10.644,12.184,11.985,11.832,12.712,10.688,10.750,11.827,10.833,11.281,11.567,9.806,9.993,11.719,11.932,10.161,11.135
RH,year,69.682,71.423,71.624,68.939,67.131,68.425,68.620,68.586,67.852,67.275,67.841,66.701,70.922,70.070,66.904,69.805,70.737,69.827,70.058,71.210,70.969,71.599,69.976,69.064,65.298,69.868,68.786,70.259,66.869,68.819
RH,MAMJJASO,67.130,65.150,67.575,63.680,61.102,62.091,63.062,63.286,62.204,60.561,61.822,61.055,65.689,64.070,60.257,64.188,64.363,65.237,66.174,65.940,66.764,65.849,63.706,62.905,59.916,63.984,63.087,65.098,59.713,62.568
RH,AMJJAS,64.600,63.187,66.848,61.594,60.030,58.400,59.053,61.675,60.140,58.130,57.442,58.591,63.068,60.289,57.903,61.412,63.703,64.084,63.271,64.711,61.871,62.531,59.525,59.005,56.669,58.938,61.545,63.019,57.617,59.120
RH,ONDJFM,72.046,78.538,76.446,76.543,77.715,75.373,77.165,77.400,74.969,76.180,78.707,74.598,75.950,81.036,77.844,77.922,76.328,78.097,75.130,77.150,81.645,77.929,81.081,80.934,74.444,78.744,80.060,75.503,75.665,79.151
RH,NDJF,71.028,81.657,79.960,79.850,81.954,80.322,79.172,79.996,77.975,81.948,80.696,77.566,78.736,83.844,81.050,81.579,82.247,82.286,76.840,79.814,83.477,78.968,83.318,83.965,76.061,80.242,83.842,78.797,80.481,82.272
RHmin,year,50.347,52.586,52.772,51.135,49.075,50.374,51.286,50.906,50.573,49.843,49.887,48.656,52.811,51.452,49.427,52.404,52.962,51.159,51.137,52.139,52.582,53.189,52.046,50.223,46.692,51.662,49.282,50.954,48.439,50.745
RHmin,MAMJJASO,48.369,46.348,48.761,45.863,43.050,44.591,46.113,45.669,44.628,43.645,44.391,43.630,48.369,46.037,42.551,46.371,46.498,47.145,48.331,47.154,48.791,47.624,46.125,44.729,42.273,46.501,44.335,46.474,41.516,44.365
RHmin,AMJJAS,45.902,44.625,48.211,43.967,42.131,41.406,42.203,44.590,42.876,40.925,39.971,41.204,45.822,42.548,40.688,44.043,46.073,46.569,45.405,46.427,43.476,44.351,42.092,40.866,39.091,41.373,43.127,44.776,39.715,40.766
RHmin,ONDJFM,51.536,58.627,57.568,58.278,59.841,56.953,57.664,60.277,55.661,59.679,60.835,55.126,57.487,61.942,58.887,61.418,57.288,60.978,54.040,56.578,64.186,58.084,62.917,62.259,54.163,59.690,61.457,54.854,55.493,60.940
RHmin,NDJF,49.214,61.952,60.801,61.801,64.586,62.229,59.232,63.486,58.337,65.927,61.783,57.603,59.680,64.475,61.821,65.900,63.911,65.586,55.119,58.135,66.351,58.444,65.132,65.053,54.660,60.256,64.626,57.851,59.965,64.197
PREC,year,749.350,645.333,811.136,854.579,949.408,707.313,973.883,798.908,1072.588,662.763,646.912,592.835,797.980,722.815,892.293,1160.117,1107.990,610.612,733.300,1036.831,981.245,976.425,918.709,566.147,508.807,1004.180,538.863,686.192,897.598,1041.848
PREC,MAMJJASO,349.616,245.953,308.246,432.865,226.822,243.542,441.024,427.584,333.109,354.917,293.297,336.537,589.338,279.310,187.670,333.406,396.979,354.286,509.080,415.569,533.855,415.477,406.203,365.542,306.125,546.828,264.336,360.413,215.958,382.415
PREC,AMJJAS,209.377,184.217,258.650,217.671,179.697,174.137,209.030,309.093,189.217,108.952,87.479,213.449,320.964,190.141,113.260,201.786,260.583,292.391,238.804,327.880,139.556,214.187,193.351,121.695,85.206,193.028,220.049,283.296,121.079,129.121
PREC,ONDJFM,119.667,608.464,353.689,696.726,866.300,651.775,525.403,715.412,374.623,897.337,735.013,324.220,352.543,656.325,484.580,1088.442,593.460,857.489,304.767,386.129,1299.340,445.252,856.851,563.344,332.016,590.177,750.687,330.879,489.984,941.502
PREC,NDJF,40.552,527.459,304.720,536.645,729.020,616.547,443.515,517.592,225.941,752.678,395.710,212.734,233.020,412.219,380.476,958.080,540.954,683.314,204.426,168.576,989.043,201.053,689.675,357.241,90.647,300.985,490.314,282.475,429.596,758.641
SRAD,year,5992.456,6025.846,5767.292,5796.714,6006.306,6140.912,5878.104,5950.013,6005.882,6182.518,6133.414,5922.374,5755.932,6049.287,6126.047,5999.041,5833.923,6017.957,6024.972,5974.737,5977.885,5829.989,5914.583,6125.282,6278.987,6237.323,6329.980,6161.668,6305.324,6132.647
SRAD,MAMJJASO,4898.069,5024.417,4796.546,4832.561,5083.184,5158.228,4918.514,4918.699,5084.450,5140.096,5113.689,4865.526,4706.219,5031.414,5158.025,5064.665,4907.429,4942.176,4911.017,4977.167,4938.372,4871.769,4948.987,5076.387,5144.980,5147.387,5248.743,5098.978,5319.769,5205.379
SRAD,AMJJAS,4093.555,4095.812,3875.935,4014.343,4145.842,4267.032,4130.820,3982.832,4171.590,4280.124,4310.582,4045.300,3900.430,4125.884,4207.552,4175.139,3916.791,4003.431,4074.149,4039.161,4219.276,4049.355,4148.779,4254.485,4313.278,4384.816,4263.998,4176.908,4331.946,4329.339
SRAD,ONDJFM,1041.369,1978.641,1890.258,1786.813,1783.673,1867.341,1916.470,1809.221,1988.757,1816.004,1800.559,1933.928,1884.391,1844.041,1933.847,1777.528,2014.148,1876.808,2031.178,1993.555,1669.996,1904.234,1725.986,1787.160,1986.469,1882.362,1862.012,2082.892,2051.927,1783.064
SRAD,NDJF,627.998,1033.430,994.595,968.188,894.896,921.495,1028.324,954.635,1091.678,896.628,1033.420,1079.277,1075.301,963.654,1040.990,898.396,976.906,962.553,1124.841,1122.285,891.057,1079.288,935.682,960.834,1167.144,1099.566,994.807,1118.986,1060.079,912.482
WIND,year,2.508,2.458,2.434,2.572,2.484,2.554,2.458,2.553,2.324,2.359,2.418,2.422,2.396,2.488,2.593,2.405,2.053,2.021,2.184,2.103,2.774,2.765,2.766,2.679,2.701,2.609,2.585,2.536,2.652,2.701
WIND,MAMJJASO,2.459,2.498,2.553,2.609,2.524,2.494,2.556,2.521,2.393,2.393,2.469,2.544,2.554,2.493,2.537,2.415,2.114,2.136,2.235,2.161,2.861,2.799,2.814,2.777,2.796,2.765,2.699,2.691,2.663,2.683
WIND,AMJJAS,2.377,2.372,2.529,2.596,2.554,2.528,2.518,2.394,2.308,2.362,2.450,2.436,2.558,2.548,2.497,2.441,2.146,2.190,2.231,2.210,2.781,2.848,2.846,2.792,2.831,2.714,2.725,2.657,2.684,2.658
WIND,ONDJFM,2.806,2.589,2.439,2.522,2.509,2.547,2.396,2.695,2.275,2.341,2.426,2.393,2.210,2.529,2.668,2.415,1.993,1.975,2.020,1.906,2.570,2.617,2.747,2.639,2.548,2.561,2.553,2.321,2.483,2.753
WIND,NDJF,2.666,2.460,2.284,2.528,2.401,2.646,2.328,2.562,2.129,2.318,2.313,2.210,2.046,2.569,2.554,2.509,1.987,1.924,1.952,1.837,2.424,2.622,2.825,2.525,2.466,2.398,2.387,2.117,2.428,2.832
VPD,year,0.745,0.680,0.661,0.713,0.799,0.747,0.799,0.735,0.827,0.834,0.826,0.801,0.679,0.725,0.856,0.737,0.737,0.760,0.721,0.723,0.721,0.699,0.808,0.799,0.902,0.822,0.760,0.708,0.867,0.834
VPD,MAMJJASO,0.917,0.904,0.843,0.927,1.048,0.989,1.048,0.952,1.078,1.111,1.099,1.042,0.886,0.956,1.128,0.968,0.975,0.980,0.923,0.950,0.934,0.920,1.087,1.064,1.194,1.105,0.989,0.916,1.159,1.120
VPD,AMJJAS,1.058,1.034,0.917,1.059,1.154,1.154,1.253,1.059,1.209,1.274,1.319,1.198,1.035,1.104,1.260,1.116,1.035,1.091,1.072,1.062,1.121,1.060,1.297,1.259,1.384,1.333,1.111,1.046,1.286,1.330
VPD,ONDJFM,0.414,0.379,0.375,0.377,0.354,0.424,0.372,0.357,0.429,0.439,0.330,0.402,0.379,0.300,0.387,0.393,0.453,0.406,0.403,0.381,0.311,0.365,0.315,0.304,0.402,0.347,0.334,0.424,0.417,0.358
VPD,NDJF,0.396,0.306,0.273,0.287,0.252,0.274,0.293,0.290,0.322,0.278,0.255,0.309,0.308,0.221,0.282,0.275,0.272,0.275,0.328,0.288,0.243,0.294,0.235,0.232,0.314,0.261,0.234,0.331,0.269,0.249
FWI_FD,year,9.891,7.984,9.096,7.849,10.384,9.330,9.308,7.819,9.505,10.502,10.556,9.938,7.548,9.499,11.103,8.612,7.390,8.594,7.863,8.513,9.064,8.745,9.779,10.008,13.110,9.327,9.216,8.526,11.461,10.110
FWI_FD,MAMJJASO,12.082,11.636,12.836,11.251,15.057,13.434,13.555,11.176,13.607,15.285,15.321,14.023,10.610,13.781,16.062,12.459,10.765,11.725,10.948,12.217,12.481,12.629,14.328,14.269,18.110,13.653,12.257,11.991,16.608,14.871
FWI_FD,AMJJAS,14.809,14.111,13.936,13.651,16.527,16.865,17.516,12.411,15.948,18.888,19.709,16.366,13.247,17.038,18.663,15.564,11.809,13.763,13.861,14.201,16.400,16.260,18.484,17.631,21.843,17.787,14.246,14.357,19.308,18.883
FWI_FD,ONDJFM,3.833,3.977,2.919,3.220,1.612,4.165,1.965,1.692,3.231,2.925,1.147,3.351,2.529,1.394,2.547,2.201,3.585,2.101,3.087,2.615,1.289,2.296,0.919,1.120,4.467,1.878,1.511,4.170,3.446,2.000
FWI_FD,NDJF,4.337,3.453,1.596,1.005,0.330,0.874,1.096,0.660,1.576,0.770,0.450,1.623,1.581,0.685,1.023,0.597,1.053,0.423,2.792,1.538,0.390,2.399,0.557,0.597,3.423,0.664,0.640,3.201,1.329,0.638
FWI_3+,year,80.208,60.253,73.360,71.251,102.844,91.224,93.492,71.035,85.967,99.483,102.318,82.883,64.659,89.264,97.861,81.187,38.739,69.357,64.546,76.337,82.886,79.625,96.186,89.079,122.973,87.142,63.544,67.717,107.954,98.672
FWI_3+,MAMJJASO,80.037,60.253,73.360,71.251,102.836,91.224,93.492,71.035,85.967,99.483,102.318,82.883,64.659,89.264,97.781,81.187,38.739,69.357,64.546,76.337,82.886,79.623,96.186,89.079,122.968,87.142,63.076,67.717,107.954,98.672
