Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,14.212,14.704,15.537,13.563,13.875,14.316,13.877,14.726,15.406,15.412,14.069,15.588,14.821,16.071,14.459,13.313,14.962,15.105,14.873,16.081,14.998,15.751,15.941,14.516,14.202,15.205,15.936,15.588,15.177,13.917
TMAX,MAMJJASO,19.213,19.219,20.338,17.659,18.937,19.388,18.299,19.088,19.272,19.708,18.675,19.981,19.304,20.389,18.989,17.727,19.040,19.385,19.804,20.615,19.956,19.900,21.099,19.017,19.341,19.918,20.449,19.570,20.124,18.782
TMAX,AMJJAS,21.191,21.747,22.755,19.673,21.500,21.854,21.230,21.716,20.664,21.230,20.725,23.122,21.959,22.709,20.979,20.327,21.423,21.960,22.102,23.119,21.464,22.079,24.333,21.237,21.618,22.278,23.209,21.879,23.258,21.450
TMAX,ONDJFM,5.456,6.986,8.398,7.098,6.744,6.370,6.526,8.005,9.485,10.412,7.940,7.694,7.631,8.584,8.358,6.529,8.296,8.901,7.299,7.629,9.318,9.298,7.918,7.254,7.390,6.409,10.860,8.058,7.357,7.066
TMAX,NDJF,2.322,4.511,6.221,4.845,4.150,3.605,4.695,6.555,6.692,7.845,4.596,5.851,6.385,5.781,7.232,3.564,6.072,7.725,4.564,5.110,6.839,5.857,5.250,5.939,4.674,3.538,8.752,6.460,4.880,4.839
TMIN,year,5.308,5.777,5.832,4.934,4.838,5.091,5.213,5.875,6.109,5.751,5.206,6.413,5.822,6.965,5.840,5.039,5.956,6.177,6.343,6.895,6.139,6.945,6.170,5.915,5.564,6.214,6.750,6.727,6.568,5.739
TMIN,MAMJJASO,9.401,9.409,9.644,8.046,8.813,9.103,8.708,9.284,9.492,9.090,9.112,9.786,9.375,10.181,9.428,8.684,9.034,9.794,10.335,10.389,10.102,10.186,10.113,9.444,9.513,10.008,10.052,9.890,10.426,9.656
TMIN,AMJJAS,11.009,11.403,11.650,9.841,10.779,11.124,11.153,11.139,11.095,10.504,10.781,12.032,11.448,12.159,11.294,10.793,10.920,11.899,12.282,12.114,11.314,12.229,12.731,11.246,11.662,12.190,12.111,11.900,12.716,12.014
TMIN,ONDJFM,-2.571,-0.653,0.946,-0.873,-0.698,-0.933,-1.419,1.068,1.397,0.955,0.043,0.181,0.165,1.227,0.869,-0.747,0.833,0.975,0.205,0.278,2.143,1.043,0.328,-0.157,0.073,-0.827,2.650,0.687,0.612,0.109
TMIN,NDJF,-5.211,-2.661,-0.733,-2.466,-2.891,-2.952,-2.497,-0.244,-0.746,-0.998,-2.630,-1.257,-0.971,-0.960,0.265,-2.770,-1.090,0.191,-2.068,-1.778,0.088,-1.489,-1.482,-1.020,-1.820,-2.850,1.285,-0.634,-1.206,-1.477
TAVG,year,9.690,10.172,10.626,9.172,9.287,9.643,9.481,10.258,10.686,10.516,9.555,10.954,10.252,11.484,10.097,9.104,10.395,10.590,10.568,11.469,10.529,11.319,11.016,10.163,9.834,10.689,11.318,11.147,10.871,9.801
TAVG,MAMJJASO,14.265,14.268,14.966,12.787,13.831,14.209,13.457,14.167,14.331,14.348,13.837,14.851,14.290,15.262,14.173,13.156,13.984,14.571,15.058,15.504,15.019,15.033,15.602,14.195,14.403,14.974,15.247,14.748,15.303,14.223
TAVG,AMJJAS,16.055,16.537,17.184,14.687,16.097,16.461,16.148,16.409,15.832,15.816,15.698,17.557,16.659,17.424,16.101,15.517,16.127,16.920,17.193,17.625,16.375,17.163,18.563,16.210,16.627,17.252,17.671,16.918,18.028,16.754
TAVG,ONDJFM,1.356,3.066,4.591,3.006,2.938,2.627,2.456,4.471,5.362,5.589,3.894,3.855,3.806,4.831,4.554,2.791,4.477,4.859,3.662,3.881,5.687,5.094,4.034,3.457,3.650,2.707,6.719,4.308,3.944,3.524
TAVG,NDJF,-1.573,0.800,2.654,1.055,0.518,0.215,0.993,3.067,2.877,3.311,0.855,2.207,2.608,2.319,3.697,0.274,2.389,3.872,1.136,1.580,3.402,2.086,1.786,2.373,1.332,0.235,4.970,2.827,1.777,1.605
RH,year,69.629,71.129,67.225,70.977,69.835,69.479,71.185,70.163,69.219,67.250,69.826,67.013,70.060,70.546,72.984,73.584,71.408,70.797,73.057,72.317,73.398,73.776,69.651,73.290,73.413,72.444,72.296,74.277,74.882,75.332
RH,MAMJJASO,67.313,67.941,64.436,67.725,66.507,66.403,67.934,67.244,67.695,63.785,67.788,63.229,66.981,67.234,69.703,70.979,67.872,69.171,70.892,68.742,70.244,70.820,65.385,71.174,70.196,69.627,69.090,72.096,71.642,72.125
RH,AMJJAS,65.692,66.278,62.744,66.845,64.138,64.360,66.039,64.701,67.897,62.737,66.028,59.340,64.825,65.422,68.430,69.103,65.909,67.773,69.861,65.935,67.580,69.759,63.128,69.182,68.966,67.964,66.554,70.403,69.589,70.814
RH,ONDJFM,71.124,74.672,75.277,72.921,75.386,76.643,73.663,76.478,73.671,68.073,74.375,73.234,74.302,77.097,76.404,78.881,76.591,74.122,76.433,77.131,80.361,76.281,78.067,77.241,77.176,78.916,75.522,78.251,80.496,79.634
RH,NDJF,72.256,76.130,76.375,74.986,75.648,78.580,75.641,77.092,74.914,69.816,75.199,74.378,74.403,78.539,77.780,80.941,77.069,75.652,77.177,78.238,80.918,77.701,81.175,78.089,77.436,80.851,76.744,78.303,81.867,81.663
RHmin,year,53.888,55.055,51.013,55.438,53.874,53.424,55.505,54.658,52.980,51.287,53.999,51.958,54.327,54.675,57.130,58.059,55.242,54.846,57.258,55.927,57.124,57.667,52.975,57.294,57.395,56.025,55.980,57.816,58.780,59.705
RHmin,MAMJJASO,51.382,51.789,48.097,51.870,50.322,50.121,52.004,51.507,51.704,47.745,51.960,48.109,51.148,50.894,53.648,55.406,51.302,53.131,54.629,52.137,53.770,54.416,48.533,54.636,53.572,53.011,52.171,55.261,55.089,56.281
RHmin,AMJJAS,49.852,49.963,46.593,51.242,47.710,48.208,50.130,48.647,52.373,46.947,50.223,44.162,48.861,49.365,52.824,53.574,49.248,51.576,53.603,49.035,51.605,53.694,46.372,52.641,52.832,51.860,49.438,53.886,52.467,55.168
RHmin,ONDJFM,55.338,58.677,59.878,56.682,59.837,60.994,57.457,61.806,57.710,51.147,58.291,58.097,59.011,61.507,60.716,62.807,60.930,58.386,61.260,61.284,64.488,59.362,61.985,61.332,61.409,62.842,58.955,62.388,65.335,64.107
RHmin,NDJF,56.378,60.190,61.336,58.969,60.153,63.333,60.029,62.201,59.345,52.842,59.470,59.373,58.978,63.257,62.510,65.761,61.400,60.113,62.241,62.597,65.380,61.418,65.536,62.553,62.688,65.502,60.840,62.663,67.285,66.553
PREC,year,1149.002,1046.819,1004.360,982.455,1185.518,1063.670,1236.512,1199.966,1101.646,1121.379,1128.406,1089.624,1145.465,1055.902,1181.916,1232.021,1178.525,1180.412,1222.022,1258.632,1122.558,1345.548,933.411,1110.312,1258.069,1137.173,1267.645,1141.568,1293.003,1147.523
PREC,MAMJJASO,823.992,753.495,701.497,756.593,880.441,718.435,869.437,846.054,909.708,827.990,809.452,780.996,894.744,784.547,865.998,1023.228,929.680,989.913,879.004,933.211,833.676,1015.634,728.387,829.903,925.441,906.255,924.403,875.206,1016.146,922.584
PREC,AMJJAS,654.244,608.490,587.800,653.588,766.277,582.636,719.554,637.675,810.473,658.553,717.757,518.016,680.644,631.477,722.412,817.847,733.433,740.517,770.865,634.541,704.987,775.584,536.122,670.831,823.130,738.379,759.021,693.784,807.477,810.453
PREC,ONDJFM,201.447,485.354,460.337,397.349,331.313,473.338,501.198,533.138,418.624,337.448,374.679,506.346,539.400,479.937,524.397,288.308,478.059,430.334,509.215,527.073,539.276,411.012,484.038,519.910,410.335,429.486,433.962,430.142,536.478,357.416
PREC,NDJF,140.201,317.368,333.852,278.552,191.201,375.447,344.713,328.991,302.128,226.636,217.797,339.856,331.696,255.836,323.841,223.345,205.209,236.524,318.617,306.973,307.999,262.244,332.041,284.665,269.779,284.238,272.651,252.749,336.503,217.996
SRAD,year,4254.726,4568.262,4491.028,4212.121,4386.136,4342.469,4141.059,4426.454,4301.327,4536.256,4318.023,4575.428,4492.525,4567.981,4339.060,4374.746,4682.786,4515.904,4397.264,4651.982,4489.233,4544.663,4995.228,4488.368,4615.410,4736.246,4772.864,4506.140,4530.090,4296.457
SRAD,MAMJJASO,3676.896,3996.548,3900.720,3664.850,3846.280,3769.295,3631.789,3860.627,3671.237,3937.519,3709.113,4008.824,3928.270,4000.493,3805.464,3777.621,4096.897,3869.143,3835.436,4059.850,3897.937,3993.106,4358.701,3926.157,4018.692,4094.452,4192.973,3902.381,3985.408,3750.455
SRAD,AMJJAS,3103.246,3388.039,3297.164,3023.390,3275.385,3175.517,3049.378,3307.202,3006.538,3289.424,3139.360,3486.029,3349.305,3384.053,3157.771,3186.370,3503.899,3273.609,3208.555,3503.676,3286.934,3339.899,3681.763,3282.557,3318.406,3420.976,3565.578,3299.824,3422.416,3132.641
SRAD,ONDJFM,653.481,1204.474,1121.025,1216.645,1117.358,1120.748,1193.923,1063.243,1202.917,1351.008,1174.766,1162.895,1122.992,1125.514,1156.430,1235.692,1155.906,1279.584,1153.673,1180.461,1106.263,1314.664,1254.033,1225.429,1247.549,1282.478,1298.407,1187.054,1123.035,1174.786
SRAD,NDJF,338.491,582.676,551.513,569.243,562.392,531.605,555.128,529.328,590.771,668.633,600.713,573.166,572.603,556.151,545.841,563.514,598.703,632.231,579.306,585.816,570.360,602.105,590.169,579.757,591.505,615.559,614.664,607.093,543.360,551.318
WIND,year,2.143,1.907,2.083,2.032,2.046,1.994,2.008,2.015,1.871,1.977,2.042,2.136,2.068,2.037,2.116,2.047,2.088,2.118,2.037,2.081,2.112,2.136,2.027,2.033,2.019,1.989,2.036,1.889,1.864,1.926
WIND,MAMJJASO,2.001,1.905,2.021,2.024,2.021,1.900,2.032,1.943,1.900,1.975,2.102,2.163,2.071,2.046,2.113,2.092,2.192,2.163,1.985,2.106,2.104,2.152,2.037,1.984,1.992,2.020,1.980,1.874,1.894,1.964
WIND,AMJJAS,1.960,1.880,2.006,2.016,2.074,1.938,2.019,1.881,1.922,1.961,2.113,2.127,2.036,2.005,2.097,2.095,2.196,2.098,1.950,2.045,2.159,2.130,2.018,1.984,2.003,2.010,1.991,1.852,1.810,1.935
WIND,ONDJFM,2.316,2.194,2.105,2.117,1.960,2.053,1.990,2.092,1.915,1.965,1.904,2.189,2.133,2.089,2.119,1.966,1.979,2.126,2.117,2.194,1.986,2.123,2.049,2.134,2.059,1.940,2.126,1.942,1.949,1.850
WIND,NDJF,2.382,2.212,2.157,2.134,2.008,2.181,2.030,1.998,1.963,1.944,1.893,2.138,2.083,2.011,2.037,1.998,1.914,2.000,2.127,2.130,1.944,2.174,2.027,2.122,2.125,1.909,2.152,1.919,1.911,1.759
VPD,year,0.496,0.477,0.581,0.454,0.498,0.519,0.473,0.507,0.495,0.560,0.483,0.621,0.519,0.556,0.464,0.426,0.481,0.498,0.457,0.519,0.483,0.474,0.599,0.449,0.450,0.497,0.514,0.457,0.453,0.434
VPD,MAMJJASO,0.650,0.627,0.763,0.589,0.664,0.687,0.624,0.665,0.623,0.729,0.630,0.824,0.681,0.732,0.615,0.556,0.626,0.636,0.599,0.689,0.645,0.615,0.810,0.582,0.602,0.657,0.676,0.586,0.605,0.581
VPD,AMJJAS,0.746,0.735,0.893,0.674,0.777,0.800,0.739,0.787,0.676,0.817,0.729,1.009,0.802,0.861,0.706,0.658,0.730,0.746,0.691,0.817,0.749,0.712,0.977,0.680,0.697,0.766,0.808,0.689,0.721,0.684
