Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,14.895,16.112,16.016,14.869,14.586,15.152,14.669,16.000,17.292,16.815,15.643,16.295,15.822,16.991,16.893,14.783,16.806,15.964,16.951,16.614,16.291,16.924,17.657,16.303,16.906,17.396,17.263,16.459,16.975,15.475
TMAX,MAMJJASO,19.042,20.173,20.009,18.162,19.158,19.337,18.981,19.388,21.202,20.651,19.967,20.005,19.820,20.644,21.072,19.136,20.955,19.676,21.344,20.241,20.399,20.544,22.272,20.490,21.585,21.859,21.064,20.009,21.518,20.577
TMAX,AMJJAS,21.000,22.603,22.339,20.033,21.362,21.076,21.240,21.521,22.859,22.170,21.648,22.702,22.147,22.713,23.051,21.264,22.973,21.943,23.622,22.488,22.057,22.578,24.995,22.611,23.363,24.275,23.209,22.422,24.030,22.856
TMAX,ONDJFM,7.974,8.785,9.470,9.240,8.536,8.217,8.704,10.082,11.456,12.086,10.045,9.845,9.876,9.570,11.333,9.208,9.707,11.122,9.526,10.127,10.508,11.432,10.615,9.928,9.775,9.687,12.747,10.700,9.250,9.365
TMAX,NDJF,5.472,7.092,7.693,7.582,6.613,5.462,6.570,8.531,9.226,10.003,6.813,7.921,8.557,7.743,10.208,6.509,6.808,9.501,7.622,8.280,8.983,8.592,8.200,8.685,7.373,6.829,10.754,9.444,6.999,6.999
TMIN,year,7.373,7.803,7.787,7.291,6.376,6.724,6.950,8.426,8.197,7.980,7.042,8.175,7.607,8.619,8.336,6.599,7.972,8.143,8.748,9.034,8.409,8.943,7.949,7.945,8.393,8.810,8.728,8.197,7.991,7.041
TMIN,MAMJJASO,10.520,10.569,10.656,9.422,9.827,9.588,9.941,10.609,10.850,10.209,10.088,10.727,10.365,10.875,11.171,9.388,10.629,10.980,11.673,11.446,11.458,11.196,10.875,10.781,11.417,11.835,11.054,10.683,10.937,10.321
TMIN,AMJJAS,11.794,12.124,12.336,10.783,11.482,10.811,11.722,11.993,11.795,11.152,11.128,12.629,12.164,12.504,12.588,10.998,12.043,12.595,13.378,12.898,12.301,12.744,12.938,12.364,12.670,13.523,12.792,12.296,12.702,11.925
TMIN,ONDJFM,1.781,2.485,3.873,2.768,2.257,1.738,2.515,4.509,4.924,4.885,3.464,3.412,3.350,3.600,4.734,2.664,3.315,4.254,3.651,4.124,5.105,4.898,3.844,3.324,3.528,3.311,6.151,4.035,2.764,3.244
TMIN,NDJF,-0.399,1.231,2.610,1.853,0.411,0.034,1.254,3.511,3.570,3.434,1.152,1.970,3.017,2.129,4.671,0.893,1.361,3.421,2.266,2.929,3.936,2.836,2.488,3.009,1.883,1.586,5.096,3.216,1.283,1.942
TAVG,year,11.123,11.940,11.895,11.051,10.455,10.903,10.782,12.187,12.734,12.395,11.303,12.207,11.657,12.768,12.585,10.645,12.332,12.007,12.828,12.785,12.318,12.935,12.782,12.325,12.692,13.093,13.093,12.322,12.495,11.293
