Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,13.642,14.669,14.878,14.217,13.167,13.774,13.031,15.009,15.878,15.799,14.763,15.656,14.116,15.108,14.875,13.342,14.994,14.125,15.233,15.285,14.644,15.584,15.450,15.032,15.203,15.895,15.769,15.957,15.447,13.637
TMAX,MAMJJASO,17.661,18.741,18.387,17.742,17.367,17.507,16.367,18.212,19.101,19.110,18.245,19.061,17.577,18.622,18.902,17.420,18.876,17.475,18.828,18.377,18.160,19.559,19.331,18.466,18.591,19.537,19.138,19.301,19.351,18.369
TMAX,AMJJAS,19.952,20.864,20.477,19.890,19.346,19.586,18.481,20.617,20.903,20.791,20.085,21.689,19.687,21.013,20.860,19.728,21.227,19.337,21.062,20.227,20.116,22.221,21.881,20.541,20.563,22.028,20.901,21.578,21.867,20.571
TMAX,ONDJFM,5.624,7.002,9.616,8.222,7.333,7.468,7.655,9.487,10.557,11.081,9.266,10.126,9.099,8.038,9.604,6.881,8.678,9.528,8.318,9.767,9.343,10.459,7.827,9.153,9.458,8.909,11.970,10.252,9.366,7.766
TMAX,NDJF,4.687,4.648,8.233,6.813,5.226,5.174,6.400,8.456,9.303,9.380,7.280,8.873,8.115,6.343,8.735,4.449,6.642,8.196,6.626,8.456,8.100,8.547,5.860,8.052,8.452,7.256,10.273,9.153,7.635,5.860
TMIN,year,7.573,8.045,8.418,8.213,6.804,7.241,7.133,8.707,9.044,9.284,8.394,8.948,7.918,8.776,8.062,6.972,8.376,8.493,8.865,9.583,8.655,9.547,8.974,9.164,9.087,9.856,9.743,9.410,9.174,7.395
TMIN,MAMJJASO,10.642,10.977,11.044,10.457,10.312,10.002,9.704,10.973,11.212,11.544,10.907,11.217,10.327,11.160,11.131,9.877,11.031,11.057,11.591,11.737,11.451,12.421,11.759,11.887,11.454,12.372,12.162,11.550,11.856,11.231
TMIN,AMJJAS,12.197,12.278,12.421,11.774,11.735,11.401,11.415,12.733,12.180,12.673,12.257,13.109,11.963,12.832,12.341,11.330,12.792,12.606,13.103,13.034,12.816,14.601,14.021,13.514,13.144,14.366,13.803,13.057,13.659,12.994
TMIN,ONDJFM,1.597,2.235,5.022,3.718,2.940,2.329,2.788,5.190,5.685,5.914,4.482,5.142,4.145,3.824,4.811,2.203,3.799,4.821,3.880,5.130,5.093,5.542,3.238,4.390,4.779,4.166,7.380,5.467,4.912,3.287
TMIN,NDJF,0.883,0.263,3.838,2.621,0.950,0.356,2.008,4.568,4.810,4.610,2.846,4.321,3.723,2.772,4.222,0.093,2.162,4.264,2.382,4.178,4.262,3.885,2.116,3.831,4.169,3.347,6.402,5.062,3.588,1.982
