Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,13.194,13.692,14.439,13.821,12.150,13.280,11.843,13.942,15.140,14.519,14.217,14.464,13.178,13.630,14.430,13.300,14.129,13.518,15.031,15.106,14.349,14.754,14.023,14.097,14.345,15.029,14.979,14.760,13.887,13.649
TMAX,MAMJJASO,17.812,18.122,19.165,18.604,17.757,18.382,16.631,18.953,19.507,18.623,18.395,18.723,17.614,18.678,19.338,18.326,18.695,18.193,20.117,19.401,19.523,20.186,18.706,18.888,19.017,20.067,20.090,18.836,18.598,19.774
TMAX,AMJJAS,20.702,20.764,22.387,21.522,20.388,21.179,19.334,22.171,22.416,21.099,21.023,22.080,20.485,21.970,22.091,21.246,21.940,21.092,23.408,22.045,22.630,24.066,21.828,21.789,22.313,23.586,22.660,21.425,22.009,23.390
TMAX,ONDJFM,2.815,5.780,6.963,6.033,4.209,5.349,4.191,6.051,7.485,7.764,6.687,8.192,6.313,4.356,6.822,4.844,7.088,6.133,5.565,7.169,7.495,7.184,4.022,6.235,6.042,5.763,8.272,7.563,6.987,4.317
TMAX,NDJF,2.468,3.088,5.790,4.384,1.133,2.418,2.055,4.343,5.457,5.992,4.954,6.561,5.507,2.122,5.337,1.935,5.330,4.947,3.038,5.624,5.764,4.593,2.006,4.638,4.951,3.681,5.597,6.158,5.163,2.070
TMIN,year,6.320,6.159,6.976,6.651,5.070,5.889,4.612,6.781,7.832,7.282,7.047,7.121,6.011,6.077,6.899,5.235,6.420,6.317,6.945,7.444,6.902,6.588,6.556,6.759,6.475,6.856,7.335,7.790,6.799,6.009
TMIN,MAMJJASO,9.604,9.237,10.405,9.972,9.766,9.805,8.309,10.409,10.799,9.972,9.891,9.885,8.954,9.605,10.467,8.700,9.503,9.613,10.349,10.011,10.645,10.080,9.801,10.198,9.376,10.037,10.849,10.285,9.913,10.628
TMIN,AMJJAS,11.997,11.119,12.662,12.216,11.540,11.732,10.762,12.913,12.636,11.632,11.742,12.115,10.912,11.855,12.142,10.883,11.811,12.147,12.400,11.760,13.027,12.689,12.326,12.313,12.143,12.541,12.667,11.853,12.220,13.542
TMIN,ONDJFM,-2.752,0.482,1.795,0.805,-0.854,0.077,-1.601,1.367,2.167,2.627,1.918,3.102,1.547,-0.566,2.189,-1.204,1.630,0.894,0.236,2.276,2.392,1.752,-1.284,1.219,0.721,0.185,2.655,3.321,2.451,-0.687
TMIN,NDJF,-2.092,-1.604,1.166,-0.204,-3.675,-2.467,-2.970,0.264,0.745,1.401,0.596,2.115,1.206,-2.275,1.159,-3.137,0.320,0.571,-1.455,1.204,1.779,-0.131,-2.561,0.328,0.541,-0.692,0.845,2.569,1.171,-2.260
TAVG,year,9.672,9.849,10.647,10.153,8.510,9.499,8.071,10.299,11.398,10.824,10.531,10.731,9.495,9.811,10.571,9.132,10.246,9.780,10.959,11.153,10.542,10.670,10.163,10.329,10.371,10.945,11.091,11.238,10.317,9.768
TAVG,MAMJJASO,13.515,13.530,14.670,14.155,13.569,13.938,12.206,14.567,15.024,14.194,13.991,14.201,13.129,14.062,14.742,13.318,14.023,13.673,15.179,14.505,14.935,15.096,14.074,14.339,14.121,15.034,15.336,14.504,14.192,15.072
TAVG,AMJJAS,16.146,15.804,17.395,16.707,15.744,16.308,14.801,17.460,17.410,16.263,16.257,17.028,15.538,16.874,16.943,15.843,16.837,16.405,17.887,16.690,17.640,18.417,16.918,16.850,17.197,18.060,17.552,16.604,17.046,18.328
TAVG,ONDJFM,0.095,3.143,4.350,3.444,1.673,2.724,1.269,3.634,4.738,5.155,4.278,5.543,3.895,1.854,4.447,1.818,4.325,3.474,2.827,4.723,4.931,4.418,1.300,3.706,3.401,2.916,5.438,5.438,4.733,1.833
TAVG,NDJF,0.305,0.883,3.496,2.147,-1.257,0.081,-0.379,2.302,3.134,3.679,2.812,4.337,3.371,-0.086,3.285,-0.557,2.878,2.797,0.821,3.464,3.791,2.275,-0.240,2.545,2.819,1.520,3.286,4.398,3.229,-0.039
RH,year,81.265,79.129,79.218,79.886,81.012,79.508,80.328,80.183,79.913,80.461,81.694,79.104,78.737,79.279,79.632,78.684,77.537,80.015,77.810,79.365,79.342,76.216,79.359,79.857,78.742,77.632,80.102,80.461,80.782,81.504
RH,MAMJJASO,78.789,76.129,77.012,77.513,79.159,77.303,77.975,78.367,77.289,76.885,79.552,75.657,76.565,75.986,77.210,75.361,73.577,77.111,73.748,75.964,76.688,72.035,76.131,76.082,75.310,73.398,76.577,77.176,77.098,78.079
RH,AMJJAS,77.677,73.999,74.690,75.789,77.451,75.689,77.273,76.293,74.731,75.415,77.616,72.887,74.550,73.951,74.954,73.309,70.963,76.485,71.066,74.409,75.155,69.391,75.295,73.251,74.028,69.536,73.782,74.312,74.393,75.798
RH,ONDJFM,81.271,85.573,84.523,82.340,84.968,84.412,83.172,84.614,84.037,84.874,85.714,85.979,84.524,83.617,84.423,83.003,83.627,85.212,84.521,83.459,84.228,84.294,81.116,86.725,84.387,84.022,86.279,86.929,87.102,87.639
RH,NDJF,83.892,86.518,84.615,82.731,84.983,85.103,84.455,84.711,84.550,86.794,86.512,86.218,85.002,84.249,85.654,84.379,85.034,87.136,86.431,84.673,86.408,85.540,83.288,87.606,86.747,85.261,86.702,87.433,88.242,88.212
RHmin,year,66.309,63.373,63.708,64.799,65.317,63.854,64.187,65.048,64.618,65.179,65.974,64.196,63.660,63.909,63.843,61.991,62.176,64.545,61.988,63.502,63.810,60.905,63.690,64.475,62.790,61.959,64.445,66.103,66.160,65.281
RHmin,MAMJJASO,61.568,58.535,59.738,60.218,62.258,60.043,60.158,61.215,60.109,59.797,61.792,58.885,59.221,58.748,59.637,56.740,56.443,59.536,56.042,57.549,59.144,54.381,58.506,58.888,56.831,55.571,58.740,60.627,60.252,59.881
