Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,21.464,21.971,21.979,20.712,21.859,21.709,21.792,22.278,22.203,22.515,21.474,22.316,22.337,23.183,21.895,21.532,22.880,22.662,22.739,23.343,23.161,22.870,23.618,22.640,22.237,23.330,23.699,23.282,23.347,22.218
TMAX,MAMJJASO,26.007,26.225,26.382,24.422,26.441,26.308,26.034,26.581,26.023,26.764,25.864,26.331,26.642,27.487,25.895,25.482,26.966,26.988,27.311,27.585,27.750,26.824,28.546,26.781,26.961,27.754,27.909,27.386,27.958,26.645
TMAX,AMJJAS,27.927,28.959,28.677,26.542,28.953,28.504,28.790,28.772,27.779,28.538,27.987,28.713,29.182,29.507,27.880,28.022,28.929,29.470,29.601,30.017,29.346,28.623,31.482,28.925,29.322,30.119,30.437,29.504,30.586,29.181
TMAX,ONDJFM,12.635,14.950,15.253,14.526,14.614,15.001,14.689,15.998,16.588,16.769,15.370,15.036,15.692,16.319,16.064,15.326,16.601,16.509,15.311,16.046,17.110,17.022,16.153,15.594,16.078,15.105,18.160,16.511,16.209,15.823
TMAX,NDJF,10.277,12.907,13.328,12.572,12.671,12.606,12.841,14.191,13.819,14.733,12.409,13.059,14.116,13.605,14.630,13.077,14.663,14.758,12.934,13.596,14.962,13.889,13.750,13.986,13.537,12.837,16.312,14.615,13.734,13.763
TMIN,year,11.858,12.736,12.251,11.744,12.257,12.433,12.396,12.746,12.352,12.708,11.876,12.920,12.612,13.569,12.268,12.420,12.884,12.636,13.000,13.494,13.308,13.575,13.752,13.246,12.674,13.301,13.359,13.482,13.549,13.020
TMIN,MAMJJASO,15.668,15.954,15.763,14.545,15.647,16.044,15.505,16.246,15.480,16.106,15.469,16.107,16.007,16.741,15.250,15.307,15.722,16.117,16.792,16.828,16.824,16.573,17.462,16.405,16.417,16.689,16.544,16.633,16.987,16.303
TMIN,AMJJAS,17.110,18.070,17.694,16.121,17.520,17.851,17.598,18.045,17.212,17.475,16.944,17.912,17.968,18.612,17.121,17.215,17.443,18.273,18.759,18.664,17.912,18.299,19.842,17.913,18.376,18.493,18.430,18.387,19.185,18.305
TMIN,ONDJFM,3.977,6.850,7.370,6.617,7.132,7.360,6.463,8.178,7.572,7.614,7.547,6.676,7.408,8.347,7.753,7.513,8.159,7.920,6.595,7.423,9.483,7.999,8.174,7.939,7.914,7.365,9.338,7.774,8.048,7.964
TMIN,NDJF,1.853,5.251,5.793,5.200,5.521,5.719,5.359,6.790,5.164,6.396,4.862,4.951,6.068,6.519,6.864,6.226,7.016,6.921,4.615,5.505,7.698,5.596,6.846,6.703,5.949,5.539,7.941,6.282,6.391,6.694
