Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,16.389,17.668,17.585,16.396,15.475,16.290,15.606,17.227,18.347,18.151,16.793,17.765,16.695,17.979,17.980,15.717,17.698,17.325,18.408,18.014,17.639,18.164,18.675,17.874,18.231,18.752,18.563,17.975,18.130,16.381
TMAX,MAMJJASO,20.805,21.924,21.563,19.768,20.092,20.440,19.770,20.429,22.220,21.829,21.146,21.693,20.739,21.660,22.387,20.362,21.988,21.001,22.605,21.659,21.670,21.994,23.171,22.004,22.509,23.144,22.374,21.692,22.741,21.652
TMAX,AMJJAS,22.874,24.227,23.793,21.568,22.211,22.299,21.985,22.595,23.910,23.280,22.673,24.465,22.897,23.869,24.413,22.557,24.054,23.186,24.886,23.807,23.543,24.209,25.872,24.113,24.270,25.724,24.457,24.132,25.305,23.850
TMAX,ONDJFM,8.997,9.815,11.369,10.774,9.686,9.158,9.834,11.517,12.572,13.391,11.356,11.113,10.994,10.484,12.425,9.279,10.624,12.305,10.916,11.942,11.396,13.062,11.350,11.411,11.420,11.067,14.238,12.012,10.413,10.294
TMAX,NDJF,6.507,7.815,9.452,9.013,7.405,6.477,7.908,10.023,10.701,11.243,8.069,9.076,9.590,8.419,11.454,6.212,7.617,10.614,9.025,10.294,9.903,10.416,8.946,10.171,9.217,8.496,12.287,10.720,8.102,7.689
TMIN,year,8.356,8.796,8.921,8.386,7.439,7.581,7.787,9.455,9.109,9.137,7.982,9.287,8.393,9.266,8.804,6.995,8.661,9.212,9.401,9.809,9.161,9.401,8.271,8.908,9.063,9.712,9.711,9.125,8.777,7.415
TMIN,MAMJJASO,11.518,11.566,11.638,10.474,10.896,10.268,10.571,11.486,11.573,11.097,10.815,11.721,10.938,11.583,11.624,9.901,11.272,11.866,12.021,12.033,12.049,11.737,10.851,11.476,11.564,12.357,11.950,11.456,11.491,10.819
TMIN,AMJJAS,12.728,12.913,13.198,11.706,12.366,11.455,12.289,12.864,12.389,11.946,11.809,13.551,12.602,13.134,13.020,11.389,12.650,13.289,13.455,13.265,12.969,13.463,12.871,12.910,12.634,13.905,13.548,13.053,13.132,12.138
TMIN,ONDJFM,3.205,3.187,5.466,4.033,3.389,3.008,3.377,5.871,6.186,6.372,4.526,4.872,4.535,4.522,5.619,2.597,3.992,5.540,4.817,5.588,5.591,6.151,3.850,4.484,4.863,4.609,7.480,5.296,3.981,3.926
TMIN,NDJF,1.209,1.684,4.131,3.085,1.286,1.291,2.291,5.114,5.013,4.924,2.366,3.577,4.250,3.003,5.491,0.615,2.052,4.762,3.398,4.433,4.510,4.346,2.641,4.362,3.462,3.093,6.549,4.612,2.616,2.441
TAVG,year,12.415,13.263,13.328,12.409,11.518,12.025,11.794,13.387,13.811,13.778,12.477,13.598,12.598,13.726,13.479,11.448,13.258,13.328,13.996,14.002,13.487,13.837,13.565,13.468,13.726,14.353,14.229,13.658,13.606,12.113
TAVG,MAMJJASO,16.171,16.783,16.675,15.182,15.539,15.451,15.250,15.991,17.046,16.644,16.109,16.809,15.907,16.712,17.084,15.242,16.699,16.500,17.386,16.921,16.931,16.897,17.143,16.804,17.118,17.910,17.256,16.689,17.260,16.416
TAVG,AMJJAS,17.833,18.648,18.577,16.716,17.390,17.032,17.269,17.770,18.340,17.852,17.430,19.134,17.890,18.629,18.818,17.169,18.449,18.266,19.283,18.603,18.361,18.872,19.595,18.610,18.585,19.995,19.126,18.717,19.359,18.235
TAVG,ONDJFM,6.128,6.501,8.483,7.395,6.549,6.098,6.668,8.725,9.440,9.836,7.967,8.025,7.749,7.510,9.071,5.963,7.369,8.986,7.958,8.862,8.550,9.682,7.637,7.936,8.215,7.813,10.957,8.731,7.303,7.295
TAVG,NDJF,3.914,4.802,6.887,6.067,4.344,3.986,5.181,7.650,7.910,8.020,5.257,6.385,6.928,5.739,8.616,3.478,4.942,7.755,6.290,7.504,7.272,7.522,5.863,7.297,6.431,5.856,9.496,7.739,5.472,5.322
RH,year,81.228,78.856,78.711,80.437,81.360,78.683,80.906,80.441,78.123,78.685,79.899,80.295,82.397,81.327,81.020,79.713,80.635,83.649,80.832,81.988,81.696,81.030,77.519,80.379,80.443,79.016,81.435,80.340,79.720,79.947
