Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,17.875,18.342,19.248,17.099,17.359,17.992,17.375,18.417,19.065,19.179,17.623,19.353,18.503,19.950,18.087,16.769,18.571,18.833,18.564,19.967,18.683,19.571,19.756,18.208,17.942,18.996,19.810,19.401,18.975,17.534
TMAX,MAMJJASO,23.677,23.676,24.917,21.935,23.261,23.838,22.613,23.542,23.750,24.225,23.051,24.577,23.824,24.994,23.458,22.018,23.452,23.886,24.373,25.312,24.455,24.453,25.852,23.493,23.897,24.498,25.157,24.130,24.769,23.185
TMAX,AMJJAS,26.011,26.617,27.767,24.288,26.279,26.722,25.971,26.629,25.474,26.061,25.487,28.214,26.938,27.778,25.855,25.047,26.272,26.936,27.079,28.242,26.313,27.119,29.635,26.130,26.592,27.296,28.382,26.869,28.396,26.273
TMAX,ONDJFM,7.778,9.249,10.960,9.529,8.947,8.672,8.871,10.531,11.955,12.959,10.508,10.149,9.958,11.071,11.002,8.635,10.623,11.361,9.749,10.146,11.914,11.842,10.371,9.682,9.891,8.664,13.800,10.538,9.832,9.543
TMAX,NDJF,4.233,6.235,8.449,6.859,5.881,5.591,6.594,8.730,8.680,9.937,6.684,7.899,8.340,7.863,9.597,5.192,7.924,9.914,6.546,7.226,9.014,7.945,7.313,8.065,6.783,5.396,11.252,8.565,6.968,6.853
TMIN,year,8.324,8.799,8.797,7.908,7.738,8.072,8.165,8.909,9.093,8.749,8.141,9.476,8.792,10.074,8.904,8.021,8.887,9.247,9.403,10.011,9.192,10.053,9.204,8.975,8.634,9.336,9.832,9.844,9.708,8.805
TMIN,MAMJJASO,12.852,12.856,13.140,11.413,12.229,12.475,12.150,12.768,12.946,12.489,12.524,13.304,12.854,13.700,12.994,12.182,12.425,13.366,13.906,13.979,13.649,13.736,13.673,12.960,13.040,13.571,13.615,13.457,14.049,13.188
TMIN,AMJJAS,14.659,15.007,15.411,13.406,14.438,14.781,14.844,14.856,14.802,14.075,14.442,15.820,15.158,15.949,15.079,14.513,14.581,15.674,16.118,15.919,15.051,16.101,16.618,14.994,15.464,16.029,15.965,15.725,16.601,15.824
TMIN,ONDJFM,-0.425,1.610,3.384,1.385,1.498,1.294,0.804,3.475,3.693,3.182,2.408,2.474,2.388,3.548,3.299,1.508,3.059,3.230,2.574,2.629,4.546,3.389,2.586,2.117,2.441,1.406,5.144,3.002,3.032,2.479
TMIN,NDJF,-3.175,-0.689,1.450,-0.454,-0.977,-0.885,-0.490,1.960,1.293,0.968,-0.499,0.838,0.994,1.099,2.525,-0.833,0.844,2.243,-0.019,0.339,2.220,0.551,0.602,1.062,0.340,-0.815,3.564,1.469,1.003,0.614
