Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,21.254,21.030,21.506,20.929,21.406,21.583,21.018,21.355,21.897,22.543,20.216,21.827,22.027,23.051,21.315,20.761,20.754,21.470,22.290,22.931,22.288,22.408,22.098,22.348,21.413,22.196,23.519,23.253,22.944,22.720
TMAX,MAMJJASO,26.915,26.080,26.880,26.018,26.877,27.297,26.025,26.807,26.741,27.473,25.474,27.114,27.622,28.530,26.417,25.710,25.156,26.759,27.525,28.234,28.133,27.034,27.726,27.277,26.449,27.518,28.811,28.574,27.928,27.339
TMAX,AMJJAS,28.830,28.897,29.399,28.435,30.338,30.618,29.886,29.884,29.028,29.347,28.013,29.468,30.260,31.305,29.064,29.546,28.009,29.740,30.391,31.260,29.944,29.341,31.090,29.551,29.248,30.118,31.897,30.854,30.975,30.659
TMAX,ONDJFM,10.326,13.144,14.649,12.267,12.553,13.425,11.945,13.690,13.644,14.792,14.003,12.858,13.750,15.044,14.289,10.955,14.322,13.575,12.930,13.619,16.220,14.834,13.124,14.185,14.700,13.403,16.449,14.082,14.759,14.892
TMAX,NDJF,6.883,10.038,11.986,10.089,9.057,11.368,10.104,12.045,10.536,11.572,11.247,10.142,10.877,11.406,12.036,8.671,12.958,12.142,9.619,10.687,13.644,11.298,10.408,11.759,12.041,10.637,14.373,10.737,12.156,12.579
TMIN,year,10.999,11.080,10.828,11.151,10.731,10.917,10.725,10.989,10.985,11.391,10.727,10.894,10.799,12.440,11.011,11.206,10.421,11.726,12.370,11.778,11.875,12.140,10.870,11.215,11.149,11.353,12.230,12.005,12.073,12.280
TMIN,MAMJJASO,15.466,15.387,15.166,14.845,15.054,15.413,14.502,15.439,15.326,15.276,15.241,15.269,15.488,16.817,15.106,15.114,13.902,16.108,16.828,15.958,16.654,16.350,15.310,15.458,15.377,15.887,16.453,16.249,16.011,16.259
TMIN,AMJJAS,17.234,17.674,17.791,16.764,17.699,17.936,17.590,18.155,17.401,17.315,17.357,17.328,17.493,19.153,17.600,17.939,16.572,18.855,19.288,18.576,18.484,18.560,18.346,17.474,17.966,18.093,18.788,18.472,18.369,19.060
TMIN,ONDJFM,1.993,4.193,5.049,4.235,3.988,4.962,2.777,5.355,3.787,4.297,4.982,3.902,3.819,5.818,5.226,3.287,5.094,4.438,4.864,4.543,6.896,4.601,3.792,4.007,5.103,4.016,6.346,4.732,5.394,5.721
TMIN,NDJF,-0.310,1.862,2.881,2.823,1.171,3.665,1.389,4.105,1.277,1.940,2.971,1.746,1.173,3.265,3.190,1.750,3.871,3.803,2.293,2.441,4.988,1.614,2.058,1.990,3.122,1.771,4.544,2.048,3.690,3.923
TAVG,year,15.926,15.745,15.797,15.803,15.856,16.019,15.723,15.877,16.148,16.679,15.170,16.037,16.163,17.471,15.767,15.718,15.308,16.395,16.998,17.167,16.821,16.824,16.268,16.442,15.871,16.335,17.553,17.251,17.135,17.079
TAVG,MAMJJASO,21.034,20.464,20.661,20.275,20.813,21.206,20.205,20.897,20.836,21.186,20.134,20.933,21.415,22.492,20.439,20.257,19.346,21.325,21.919,22.021,22.251,21.307,21.374,21.042,20.532,21.322,22.443,22.085,21.649,21.415
TAVG,AMJJAS,22.962,23.065,23.265,22.522,23.978,24.220,23.807,23.889,23.092,23.236,22.601,23.201,23.845,25.154,23.092,23.713,22.213,24.303,24.637,24.989,24.173,23.627,24.632,23.234,23.297,23.804,25.268,24.457,24.413,24.515
TAVG,ONDJFM,5.862,8.319,9.454,7.823,7.877,8.847,6.940,9.068,8.293,9.062,9.003,7.895,8.298,9.984,9.250,6.626,9.103,8.628,8.473,8.663,11.073,9.125,8.023,8.814,9.383,8.142,10.816,8.841,9.583,9.838
TAVG,NDJF,3.012,5.641,7.028,6.060,4.738,7.211,5.331,7.619,5.510,6.242,6.640,5.519,5.530,6.884,7.113,4.734,7.802,7.611,5.550,6.153,8.806,5.853,5.811,6.584,7.087,5.679,8.858,5.846,7.489,7.802
RH,year,64.962,66.991,65.515,67.716,62.923,64.036,65.567,65.478,63.474,62.231,68.387,60.354,59.841,62.532,67.522,67.190,65.825,65.254,67.321,59.590,63.745,67.247,63.875,66.111,68.843,66.486,63.733,66.041,69.199,72.506
