Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,24.696,24.407,24.303,24.396,25.044,24.686,24.333,24.753,24.766,25.497,23.633,24.460,25.109,25.850,24.488,23.985,24.318,25.029,25.456,25.422,25.503,25.005,24.934,24.893,24.098,24.314,25.222,25.293,24.995,25.427
TMAX,MAMJJASO,29.672,28.771,28.931,28.667,29.381,29.331,28.419,29.643,29.047,29.905,28.276,28.889,29.933,30.603,28.722,27.986,28.160,29.529,30.191,29.920,30.752,29.014,29.691,29.148,28.435,28.722,29.630,29.542,28.882,29.167
TMAX,AMJJAS,31.425,31.357,31.404,30.746,32.475,32.116,31.843,32.498,31.334,31.710,30.341,30.935,32.142,32.965,31.300,31.263,30.803,32.320,32.705,32.708,32.365,31.083,32.424,31.142,30.859,31.156,32.176,31.706,31.358,31.840
TMAX,ONDJFM,14.800,17.761,17.859,16.918,17.801,18.080,16.634,17.614,17.442,18.593,18.085,16.836,17.874,19.133,18.325,16.121,18.318,17.615,17.538,17.688,19.987,18.103,17.465,18.066,18.312,17.145,18.737,18.056,18.161,19.079
TMAX,NDJF,11.876,15.340,15.591,15.196,15.249,16.740,15.398,16.190,14.698,16.223,15.493,14.507,15.249,16.160,16.410,14.488,17.434,16.512,14.939,15.035,17.754,15.018,15.389,15.838,15.832,15.063,17.042,15.561,16.349,17.419
TMIN,year,14.252,14.270,13.979,14.441,14.522,14.384,14.402,14.397,14.096,14.619,13.891,13.994,14.228,15.464,14.442,14.629,14.158,14.677,14.883,14.099,14.765,14.760,14.916,14.699,14.763,14.771,15.229,15.342,15.474,15.791
TMIN,MAMJJASO,18.006,17.634,17.442,17.331,17.605,18.037,17.290,18.093,17.690,17.886,17.696,17.796,17.856,19.060,17.544,17.524,16.931,18.126,18.595,17.576,18.668,18.130,18.405,18.264,18.436,18.794,18.872,18.834,18.649,18.815
TMIN,AMJJAS,19.426,19.467,19.618,18.809,19.796,19.937,19.680,20.393,19.603,19.682,19.195,19.531,19.696,20.830,19.742,19.801,19.062,20.570,20.697,19.766,20.256,20.058,20.752,19.973,20.591,20.620,20.882,20.756,20.823,20.927
TMIN,ONDJFM,6.301,8.978,8.744,9.426,9.559,9.799,8.032,9.660,7.963,8.503,9.675,7.735,8.362,10.417,9.733,8.896,9.328,9.022,8.796,8.314,10.424,8.319,8.934,9.339,9.457,8.841,9.556,9.359,9.921,10.513
TMIN,NDJF,4.514,7.139,6.796,8.415,7.724,8.937,7.022,8.556,5.633,6.998,7.855,5.617,6.150,8.800,7.925,8.068,8.539,8.554,6.948,6.693,8.683,6.051,7.937,7.505,7.630,6.999,7.575,7.250,8.846,9.314
TAVG,year,19.441,19.219,18.996,19.355,19.798,19.575,19.222,19.544,19.308,19.925,18.631,19.175,19.558,20.629,19.452,19.308,19.198,20.210,20.475,20.062,20.522,20.134,20.243,20.059,19.651,19.679,20.514,20.479,20.367,20.826
TAVG,MAMJJASO,23.845,23.116,23.093,22.985,23.596,23.804,22.712,23.885,23.285,23.785,22.863,23.287,23.815,24.885,23.184,22.806,22.556,24.434,24.939,24.349,25.366,24.058,24.645,24.187,23.811,24.104,24.731,24.519,24.019,24.336
TAVG,AMJJAS,25.501,25.362,25.432,24.798,26.281,26.180,25.672,26.505,25.426,25.635,24.700,25.204,25.916,27.058,25.598,25.633,24.984,27.251,27.427,27.075,27.152,26.234,27.375,26.206,26.184,26.340,27.141,26.702,26.404,26.865
TAVG,ONDJFM,10.437,13.249,13.011,13.035,13.529,13.893,12.184,13.417,12.573,13.362,13.682,12.192,12.908,14.586,13.837,12.481,13.644,13.245,13.049,12.865,14.971,13.095,13.070,13.603,13.795,12.888,14.097,13.568,13.959,14.743
TAVG,NDJF,8.146,11.113,10.885,11.653,11.312,12.726,11.069,12.167,10.054,11.390,11.540,9.985,10.533,12.367,11.940,11.246,12.751,12.456,10.760,10.660,12.912,10.331,11.481,11.472,11.562,10.837,12.182,11.199,12.500,13.242
