Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,15.782,16.201,17.086,15.738,14.448,15.473,13.991,16.098,17.380,17.100,16.508,17.048,15.543,16.540,16.571,15.275,16.164,15.740,17.410,17.446,16.700,17.764,16.414,16.099,16.665,17.460,17.361,17.434,16.471,16.242
TMAX,MAMJJASO,21.152,21.248,22.522,20.974,20.598,20.894,19.139,21.485,22.185,21.473,21.518,22.079,20.582,21.940,22.328,21.068,21.356,20.917,23.296,22.276,22.282,23.733,21.846,21.350,21.944,23.114,23.018,22.303,21.851,22.783
TMAX,AMJJAS,24.097,24.157,25.892,23.877,23.565,23.849,22.084,24.989,25.104,23.774,24.474,25.806,23.688,25.654,25.293,24.321,24.802,24.095,26.754,24.892,25.436,27.841,25.463,24.198,25.477,26.823,25.786,25.209,25.697,26.587
TMAX,ONDJFM,4.799,7.331,8.863,7.521,5.459,6.743,5.913,7.768,9.210,9.998,8.535,9.278,7.563,6.624,8.377,5.578,8.184,7.883,6.978,8.334,9.399,9.187,5.943,7.394,7.719,6.910,10.584,8.934,8.284,6.209
TMAX,NDJF,3.336,4.378,7.102,5.371,2.010,3.545,3.714,5.932,7.020,7.719,6.198,7.198,6.465,4.228,6.687,2.258,5.648,6.417,3.871,6.321,7.074,6.340,3.418,5.622,6.136,4.324,7.609,6.968,6.024,3.744
TMIN,year,7.676,7.594,8.320,7.785,6.490,7.169,5.821,7.874,8.871,8.683,8.093,8.265,7.288,7.794,8.003,6.412,7.723,7.920,8.324,8.701,8.367,8.362,7.890,7.847,7.644,8.180,8.658,8.842,8.003,7.523
TMIN,MAMJJASO,11.334,10.817,11.894,11.240,11.220,10.928,9.595,11.536,11.984,11.251,11.342,11.242,10.525,11.312,11.870,10.179,10.903,11.350,11.853,11.341,12.206,12.016,11.296,11.316,10.754,11.561,12.346,11.669,11.269,11.960
TMIN,AMJJAS,13.490,12.771,14.097,13.351,13.152,13.048,12.194,14.253,13.746,12.828,13.352,13.625,12.682,13.723,13.708,12.598,13.134,13.815,13.938,12.988,14.483,14.521,13.851,13.170,13.449,14.041,14.280,13.451,13.613,15.132
TMIN,ONDJFM,-1.182,1.732,3.087,1.874,0.158,1.050,-0.275,2.294,3.162,3.974,3.066,3.357,2.214,1.392,2.887,-0.561,2.349,2.830,1.516,3.325,3.786,3.014,0.483,2.306,2.161,0.966,4.153,3.859,3.073,0.907
TMIN,NDJF,-1.650,-0.327,2.142,0.667,-2.742,-1.365,-1.512,1.454,1.849,2.493,1.656,2.291,1.813,-0.240,1.797,-2.530,0.897,2.277,-0.389,2.039,2.928,1.117,-1.113,1.254,1.499,-0.058,2.343,2.847,1.608,-0.484
TAVG,year,11.550,11.719,12.561,11.569,10.262,11.152,9.721,11.792,12.966,12.697,12.095,12.538,11.242,11.998,12.094,10.742,11.825,11.638,12.856,12.944,12.371,12.991,12.016,11.833,12.065,12.811,12.896,13.087,12.184,11.860
TAVG,MAMJJASO,15.966,15.780,17.004,15.849,15.603,15.672,14.087,16.266,16.875,16.130,16.169,16.489,15.314,16.422,16.865,15.491,15.991,15.909,17.573,16.637,17.043,17.784,16.384,16.135,16.247,17.342,17.521,16.922,16.452,17.308
TAVG,AMJJAS,18.498,18.244,19.807,18.335,18.034,18.249,16.898,19.393,19.234,18.112,18.684,19.599,17.975,19.539,19.335,18.359,18.872,18.773,20.480,18.841,19.788,21.187,19.524,18.529,19.422,20.494,19.909,19.333,19.594,20.849
TAVG,ONDJFM,1.781,4.433,5.844,4.618,2.708,3.807,2.677,4.885,5.992,6.835,5.619,6.154,4.779,3.875,5.396,2.395,5.112,5.178,4.031,5.719,6.419,5.917,3.080,4.758,4.801,3.820,7.247,6.316,5.612,3.527
TAVG,NDJF,0.890,2.045,4.562,2.999,-0.407,1.113,1.061,3.624,4.354,5.013,3.851,4.692,4.121,1.933,4.112,-0.174,3.214,4.224,1.635,4.192,4.910,3.657,1.139,3.423,3.740,2.102,4.945,4.896,3.830,1.688
RH,year,79.232,76.748,76.401,78.040,78.911,78.260,78.791,78.498,78.446,77.919,78.480,76.055,75.717,75.374,77.267,75.492,76.292,78.416,76.047,76.899,78.900,73.865,76.889,78.903,77.747,76.537,78.275,77.933,79.399,80.754
RH,MAMJJASO,75.726,72.665,73.006,75.547,76.760,75.147,75.515,75.932,75.164,73.896,75.257,71.398,72.910,70.969,74.004,71.142,72.482,75.157,70.920,72.060,76.366,68.856,72.147,74.952,73.611,71.403,74.042,73.905,75.171,77.407
