Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,20.956,21.327,22.046,20.574,20.176,21.512,20.479,20.936,21.836,22.663,20.350,21.733,21.170,23.011,21.219,20.309,20.469,21.361,22.044,23.305,22.066,22.606,21.696,21.603,20.998,21.765,23.376,22.907,23.003,21.977
TMAX,MAMJJASO,27.147,27.192,28.298,26.313,26.762,28.064,26.401,26.894,27.331,28.275,26.254,27.842,27.212,28.975,27.302,26.113,25.688,27.278,28.103,29.246,28.441,28.344,28.189,27.477,26.757,27.779,29.521,28.611,29.054,27.604
TMAX,AMJJAS,29.445,30.248,31.133,29.005,30.228,31.626,30.404,30.144,29.752,30.274,29.035,30.881,30.322,32.130,30.036,29.880,28.719,30.557,31.297,32.415,30.741,31.202,32.334,30.116,29.887,30.664,32.838,31.214,32.632,31.206
TMAX,ONDJFM,9.540,11.632,14.341,11.276,10.269,11.917,10.284,12.576,12.621,14.362,13.226,11.831,11.882,13.797,13.269,9.570,12.667,13.004,11.788,12.291,15.683,13.649,11.037,11.991,12.730,11.745,15.971,12.652,13.757,12.894
TMAX,NDJF,6.108,7.998,11.179,8.422,6.025,9.111,7.753,10.336,9.034,10.664,9.834,8.655,9.190,10.061,10.709,6.291,10.006,11.460,7.938,9.196,12.671,9.497,7.940,9.314,9.809,8.543,13.106,9.191,10.761,9.886
TMIN,year,10.302,10.174,10.213,10.067,8.982,10.017,9.637,10.339,10.886,10.599,10.142,10.225,9.768,11.703,10.467,10.249,9.976,10.529,11.319,11.001,11.020,11.508,10.426,10.817,10.524,10.788,11.842,11.628,11.547,11.517
TMIN,MAMJJASO,15.026,14.973,15.003,14.239,14.209,14.727,14.003,14.869,15.341,14.415,14.951,14.828,14.699,16.179,15.159,14.664,13.874,15.445,16.122,15.257,16.077,16.173,15.259,15.262,15.095,15.528,16.299,15.991,15.846,16.110
TMIN,AMJJAS,16.974,17.433,17.721,16.355,17.097,17.595,17.211,17.684,17.623,16.491,17.311,17.219,17.054,18.866,17.712,17.700,16.759,18.187,18.823,17.961,18.124,18.779,18.441,17.433,18.070,18.186,18.828,18.312,18.339,19.316
TMIN,ONDJFM,0.659,2.592,4.384,2.364,1.082,3.212,0.910,4.434,3.056,4.047,3.913,2.699,2.433,4.494,3.955,1.445,3.832,3.571,3.042,3.043,5.405,3.638,2.266,3.425,3.716,2.708,5.680,3.989,4.592,4.399
TMIN,NDJF,-1.710,-0.251,2.274,0.470,-2.394,1.672,-0.593,2.959,0.794,1.661,1.867,0.380,0.156,1.886,2.076,-0.568,2.137,2.748,0.162,0.724,3.647,0.647,-0.070,1.397,1.962,0.329,4.028,1.492,2.637,2.330
TAVG,year,15.288,15.275,15.719,14.944,14.190,15.412,14.707,15.260,15.960,16.218,14.793,15.675,15.080,16.926,15.405,14.915,14.763,15.511,16.205,16.763,16.065,16.623,15.691,15.758,15.281,15.713,17.231,16.790,16.862,16.210
TAVG,MAMJJASO,20.727,20.650,21.228,19.898,20.104,21.050,19.860,20.542,20.963,20.988,20.138,21.081,20.623,22.175,20.785,20.083,19.333,20.971,21.667,21.936,21.813,21.855,21.418,20.916,20.469,21.090,22.588,21.849,22.056,21.296
TAVG,AMJJAS,22.966,23.506,24.100,22.397,23.394,24.370,23.584,23.707,23.395,23.158,22.818,23.908,23.461,25.228,23.561,23.612,22.411,24.093,24.711,25.077,24.109,24.679,25.223,23.440,23.615,23.980,25.633,24.460,25.206,24.798
TAVG,ONDJFM,4.695,6.605,8.816,6.342,5.171,7.069,5.104,8.004,7.307,8.661,7.953,6.793,6.655,8.562,8.045,4.955,7.695,7.635,6.873,7.082,9.788,8.054,6.127,7.153,7.641,6.573,10.171,7.747,8.542,8.119
TAVG,NDJF,1.902,3.469,6.270,4.065,1.405,5.014,3.184,6.200,4.488,5.672,5.327,4.165,4.214,5.466,5.937,2.427,5.615,6.510,3.599,4.477,7.481,4.581,3.496,4.867,5.383,3.875,8.007,4.864,6.191,5.702
