Variable,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
TMAX,year,13.049,13.889,14.258,12.592,12.388,13.231,12.244,13.536,14.322,14.384,13.163,14.486,13.691,14.847,13.512,11.952,13.544,13.797,14.089,14.972,13.418,14.353,14.697,13.680,13.695,14.409,14.851,14.609,14.152,12.841
TMAX,MAMJJASO,17.840,18.590,18.945,16.604,17.286,17.986,16.655,17.754,18.518,18.479,17.622,18.976,18.103,19.036,18.145,16.530,17.800,18.057,18.856,19.274,18.003,18.630,19.596,18.189,18.503,19.074,19.284,18.402,18.898,17.657
TMAX,AMJJAS,19.736,20.717,21.385,18.353,19.549,20.155,19.211,20.312,20.031,19.954,19.542,21.884,20.639,21.495,20.165,18.868,20.066,20.459,21.147,21.516,19.645,21.106,22.728,20.312,20.689,21.524,21.718,20.647,21.872,20.012
TMAX,ONDJFM,5.420,5.925,7.719,6.443,5.508,5.827,5.486,7.173,7.868,9.210,7.265,7.090,6.555,7.531,7.635,4.825,6.818,7.842,6.441,6.959,8.273,8.079,6.378,6.514,6.907,5.817,10.111,7.307,6.846,6.362
TMAX,NDJF,2.461,3.027,5.546,4.162,2.490,3.133,3.416,5.609,5.097,6.518,4.281,4.991,4.904,5.135,6.332,1.764,4.036,6.444,3.707,4.757,6.020,4.962,3.880,5.102,4.442,2.997,7.899,5.510,4.528,4.151
TMIN,year,4.659,4.897,5.072,4.527,3.937,4.397,4.139,5.221,5.480,5.275,4.437,5.518,4.732,5.792,5.171,3.980,4.673,5.320,5.515,6.090,5.258,5.764,4.963,4.976,4.838,5.398,5.840,5.886,5.607,4.590
TMIN,MAMJJASO,8.031,8.041,8.239,7.073,7.553,7.684,7.215,7.842,8.261,7.724,7.566,8.241,7.681,8.361,8.240,7.332,7.334,8.369,8.630,8.882,8.646,8.731,8.137,7.855,7.853,8.589,8.361,8.221,8.756,7.978
TMIN,AMJJAS,9.234,9.522,9.890,8.452,9.132,9.295,9.277,9.429,9.603,8.912,9.013,10.157,9.395,10.124,9.677,8.977,9.085,10.042,10.292,10.087,9.719,10.592,10.314,9.337,9.733,10.492,10.059,9.873,10.485,10.011
TMIN,ONDJFM,-1.095,-0.500,1.272,-0.397,-0.779,-0.653,-1.445,1.538,1.337,1.440,0.514,0.505,-0.168,1.284,1.015,-1.118,0.247,0.855,0.460,0.740,1.991,1.075,-0.319,-0.025,0.275,-0.746,2.891,1.052,0.973,0.148
TMIN,NDJF,-3.325,-2.535,-0.109,-1.772,-3.129,-2.466,-2.477,0.795,-0.244,-0.175,-1.395,-0.501,-1.170,-0.278,0.632,-3.165,-1.739,0.326,-1.469,-0.715,0.260,-1.140,-1.940,-0.818,-0.880,-2.484,2.096,0.143,-0.485,-1.223
TAVG,year,8.675,9.147,9.476,8.325,7.922,8.563,8.018,9.175,9.621,9.541,8.548,9.784,8.952,10.067,9.134,7.741,8.844,9.340,9.584,10.298,9.111,9.801,9.599,9.113,9.025,9.622,10.119,10.005,9.658,8.536
TAVG,MAMJJASO,12.682,13.032,13.386,11.564,12.116,12.546,11.689,12.573,13.099,12.792,12.295,13.380,12.598,13.438,12.938,11.662,12.235,12.980,13.466,13.799,13.048,13.368,13.620,12.752,12.886,13.491,13.562,13.048,13.520,12.549
TAVG,AMJJAS,14.236,14.920,15.462,13.199,14.075,14.489,14.007,14.665,14.592,14.212,14.054,15.857,14.766,15.616,14.743,13.709,14.311,15.035,15.490,15.560,14.459,15.566,16.337,14.589,14.980,15.726,15.681,15.062,15.886,14.803
TAVG,ONDJFM,2.030,2.536,4.254,2.789,2.154,2.337,1.806,4.180,4.358,4.910,3.613,3.498,2.933,4.134,4.052,1.631,3.290,4.073,3.228,3.681,4.874,4.306,2.812,3.036,3.326,2.293,6.217,3.921,3.720,3.095
TAVG,NDJF,-0.521,0.198,2.549,1.053,-0.438,0.193,0.341,3.060,2.277,2.807,1.306,2.066,1.682,2.205,3.327,-0.803,1.035,3.175,0.993,1.951,2.952,1.765,0.854,1.985,1.578,0.139,4.841,2.653,1.944,1.420
RH,year,79.373,77.926,77.133,79.560,79.429,78.367,80.362,79.030,78.923,76.681,78.046,75.985,77.032,77.564,79.585,80.425,78.588,78.269,78.715,78.574,81.478,79.399,74.915,78.769,78.518,78.535,77.863,78.943,80.180,80.365
RH,MAMJJASO,76.843,74.844,73.768,77.001,77.423,75.685,77.641,75.562,76.101,72.810,75.582,71.593,73.854,74.097,76.569,78.356,75.173,75.779,75.194,74.888,79.077,76.396,70.036,75.367,74.631,74.832,73.555,76.155,76.621,77.088
RH,AMJJAS,75.575,73.638,72.256,76.950,76.146,74.886,77.441,73.643,75.490,72.429,74.404,69.206,71.950,72.372,75.287,77.086,74.239,74.688,73.635,72.042,77.246,75.287,67.699,73.620,73.739,72.872,71.308,74.408,73.924,76.873
RH,ONDJFM,81.316,82.388,83.458,80.887,82.760,82.782,82.292,84.488,83.330,80.201,82.080,82.121,81.756,83.095,82.972,84.537,83.310,80.994,84.315,84.556,85.492,83.228,83.216,83.203,83.672,84.813,83.113,83.996,86.456,84.412
