Variable,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
TMAX,year,20.578,20.000,20.408,19.045,20.315,19.709,20.312,20.029,20.989,20.695,19.843,19.896,19.265,20.978,21.290,19.744,20.968,20.662,20.386,20.692,20.685,20.515,21.021,20.523,20.821,21.368,20.460,20.306,21.441,20.048
TMAX,MAMJJASO,24.006,23.879,24.131,22.664,24.478,23.737,24.375,23.681,24.724,24.696,23.950,23.490,22.691,24.861,25.050,23.566,24.894,24.316,24.552,24.470,24.962,23.933,25.472,24.351,25.480,25.874,24.034,23.914,25.778,24.418
TMAX,AMJJAS,25.617,26.204,25.579,24.858,26.509,25.715,26.823,25.198,26.257,26.882,26.592,25.874,24.984,26.613,26.656,25.521,25.917,25.913,26.817,26.403,26.729,25.673,27.989,26.562,27.723,27.996,26.080,25.913,27.480,26.905
TMAX,ONDJFM,13.893,15.369,13.844,13.993,13.549,14.025,14.207,14.140,15.326,15.882,13.029,13.620,14.060,14.053,15.431,14.820,15.671,15.729,14.424,14.554,14.649,14.903,14.603,14.096,14.112,13.924,15.222,15.421,14.026,14.349
TMAX,NDJF,12.059,13.822,11.739,12.303,11.822,11.340,12.010,12.411,13.011,13.835,10.951,11.984,12.919,12.171,13.803,12.562,12.932,13.174,12.527,12.426,12.587,12.515,12.210,12.977,11.637,11.304,13.359,13.885,11.472,12.021
TMIN,year,8.610,8.827,8.668,7.800,8.369,8.132,8.940,8.483,9.476,9.057,8.325,8.223,7.841,8.903,9.382,8.757,9.747,8.923,8.865,8.802,9.161,9.365,9.733,8.954,8.681,9.864,8.652,8.805,9.452,9.030
TMIN,MAMJJASO,11.432,11.303,11.320,10.123,11.096,10.937,11.700,11.023,11.883,12.019,11.244,10.999,10.489,11.564,11.729,11.062,12.248,11.678,12.208,11.491,12.361,11.669,12.817,11.817,12.285,13.159,11.460,11.471,12.344,11.912
TMIN,AMJJAS,12.591,13.016,12.731,11.789,12.740,12.275,13.319,12.472,13.237,13.534,12.820,12.673,12.071,12.737,13.072,12.565,13.433,13.273,13.719,13.096,13.195,12.848,14.488,13.311,13.850,14.472,13.121,13.071,13.788,13.756
TMIN,ONDJFM,2.613,5.250,3.766,4.417,3.964,4.156,4.094,4.847,4.276,6.234,3.983,3.170,3.992,4.214,5.072,5.852,5.297,6.100,3.606,4.012,5.724,4.638,5.496,4.901,3.526,4.334,5.616,4.338,4.011,5.211
TMIN,NDJF,0.691,4.433,2.276,3.649,3.238,2.809,2.364,4.044,2.512,5.455,1.990,1.852,2.927,2.917,3.949,4.734,4.320,4.729,2.099,2.165,4.337,2.417,4.070,3.906,1.413,2.168,4.320,3.127,2.442,3.837
TAVG,year,14.546,14.362,14.495,13.403,14.348,13.907,14.602,14.237,15.217,14.861,14.078,14.039,13.523,14.918,15.300,14.228,15.319,14.741,14.558,14.682,14.855,14.868,15.324,14.677,14.670,15.538,14.498,14.415,15.319,14.427
TAVG,MAMJJASO,17.656,17.515,17.671,16.350,17.771,17.296,17.987,17.309,18.281,18.333,17.576,17.204,16.555,18.184,18.342,17.280,18.531,17.942,18.309,17.926,18.586,17.729,19.088,18.022,18.804,19.437,17.695,17.555,18.928,18.043
TAVG,AMJJAS,19.028,19.523,19.094,18.269,19.596,18.935,20.012,18.789,19.717,20.179,19.670,19.228,18.483,19.644,19.806,18.998,19.628,19.536,20.187,19.696,19.872,19.178,21.185,19.870,20.703,21.148,19.549,19.359,20.509,20.200
TAVG,ONDJFM,8.234,10.288,8.763,9.223,8.783,9.134,9.170,9.497,9.799,11.065,8.520,8.406,9.022,9.120,10.224,10.352,10.459,10.864,8.975,9.199,10.143,9.714,10.004,9.431,8.757,9.060,10.354,9.759,8.884,9.678
TAVG,NDJF,6.355,9.127,6.964,8.009,7.574,7.128,7.211,8.265,7.760,9.655,6.483,6.941,7.921,7.537,8.849,8.663,8.603,8.893,7.268,7.200,8.415,7.399,8.097,8.376,6.460,6.660,8.762,8.382,6.839,7.834
RH,year,66.996,69.275,67.996,69.739,67.762,68.754,69.564,70.767,68.263,68.691,68.257,67.603,69.649,67.449,65.896,69.032,68.537,67.521,67.449,67.234,67.296,68.289,67.667,68.086,64.110,67.167,67.698,68.061,64.154,67.212
RH,MAMJJASO,63.609,63.342,62.648,64.807,62.111,63.297,63.400,66.360,62.936,63.047,62.875,62.629,64.743,61.490,59.549,63.106,62.173,62.795,62.811,61.862,61.851,62.873,61.321,62.645,58.329,61.043,63.140,62.845,57.353,61.189
RH,AMJJAS,61.571,60.879,61.170,62.429,60.707,59.484,59.686,65.500,61.081,60.685,58.234,59.530,61.911,57.527,57.322,60.450,61.694,61.364,59.534,59.769,57.488,59.441,57.199,59.544,54.814,57.206,61.074,60.415,54.843,58.588
RH,ONDJFM,71.003,74.527,76.242,76.144,77.186,75.558,78.077,78.651,74.726,76.080,79.148,74.817,75.986,78.065,76.452,77.414,74.601,76.198,73.247,75.050,77.935,75.386,77.745,78.897,73.472,76.417,76.593,73.551,75.357,75.220
RH,NDJF,72.387,77.565,79.191,79.638,80.883,79.750,80.053,82.053,77.320,80.745,80.496,76.775,77.890,80.585,79.033,81.102,80.788,80.641,75.108,77.550,80.186,76.983,80.564,80.648,76.312,78.764,79.940,75.872,79.111,78.834
RHmin,year,47.954,50.775,49.089,51.186,48.839,50.071,50.992,51.388,49.905,49.854,49.861,49.032,50.642,48.573,47.653,51.184,50.485,48.736,48.927,48.512,48.907,50.302,49.820,49.360,45.840,48.923,48.586,49.190,46.169,49.519
