Variable,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
TMAX,year,16.562,16.442,17.314,15.440,16.066,16.098,16.092,16.959,17.012,17.558,16.052,17.779,17.030,18.075,16.765,15.643,16.766,17.262,17.122,18.952,17.573,17.813,18.158,16.750,16.217,17.457,18.280,18.173,18.042,16.523
TMAX,MAMJJASO,21.281,20.844,22.075,19.595,20.908,20.858,20.599,21.197,20.909,21.649,20.483,22.080,21.715,22.309,20.892,19.980,20.834,21.654,21.807,23.268,22.391,21.833,23.300,21.077,20.830,21.907,22.598,22.158,22.849,20.845
TMAX,AMJJAS,22.820,23.249,24.216,21.535,23.414,23.374,23.460,23.562,22.220,23.060,22.460,24.589,24.154,24.467,22.784,22.423,23.030,23.981,23.840,25.605,23.798,23.634,26.367,23.123,23.007,24.114,25.385,24.151,25.531,23.403
TMAX,ONDJFM,8.384,9.618,10.853,9.014,8.577,8.992,8.626,10.750,10.860,12.598,10.352,10.084,10.330,11.046,10.922,8.968,10.539,11.249,9.737,10.420,13.015,11.374,10.307,10.040,10.029,9.172,13.504,10.355,10.760,10.275
TMAX,NDJF,5.132,6.950,8.640,6.612,5.716,6.836,6.753,8.996,7.965,10.051,7.143,8.184,8.534,7.951,9.751,6.187,8.212,10.104,6.655,7.664,10.814,7.805,7.594,8.557,7.309,6.641,11.739,8.569,7.968,8.076
TMIN,year,6.730,7.319,6.938,6.590,6.098,6.592,6.742,7.077,7.347,7.215,6.645,7.762,7.285,8.543,7.474,6.811,7.103,7.418,7.797,8.304,7.650,8.247,7.388,7.252,6.733,7.472,7.793,8.013,7.905,7.341
TMIN,MAMJJASO,10.656,10.728,10.588,9.505,9.811,10.120,10.088,10.281,10.493,10.139,10.218,10.911,10.914,11.717,10.553,10.069,9.788,10.922,11.601,11.361,11.331,11.173,11.101,10.448,10.295,10.692,10.754,10.892,11.201,10.603
TMIN,AMJJAS,11.809,12.440,12.631,10.864,11.660,12.202,12.280,12.116,12.169,11.504,11.873,12.795,12.693,13.653,12.312,11.937,11.670,12.984,13.381,12.921,12.399,12.922,13.455,11.957,12.293,12.513,12.540,12.665,13.203,12.720
TMIN,ONDJFM,-0.478,1.520,2.681,1.095,0.909,1.392,0.405,3.174,2.013,2.440,2.250,1.651,2.017,3.374,2.790,1.470,2.681,2.687,1.622,1.951,4.881,2.293,2.037,1.808,1.828,1.659,4.433,2.154,2.765,2.509
TMIN,NDJF,-3.093,-0.799,0.946,-0.417,-1.609,0.068,-0.538,1.980,-0.195,1.003,0.049,0.359,0.577,1.098,2.047,-0.091,1.178,2.187,-0.828,0.002,3.227,-0.266,0.432,0.818,-0.021,-0.114,3.298,0.803,1.213,1.201
TAVG,year,11.385,11.602,11.822,10.786,10.841,11.055,11.154,11.703,11.773,12.083,11.075,12.564,11.904,12.971,11.754,10.948,11.655,12.007,12.145,13.357,12.293,12.658,12.382,11.596,11.093,12.115,12.685,12.707,12.628,11.617
TAVG,MAMJJASO,15.684,15.511,16.030,14.308,15.117,15.199,15.078,15.419,15.319,15.600,15.075,16.333,16.044,16.683,15.324,14.754,15.030,16.016,16.394,17.087,16.542,16.099,16.827,15.333,15.174,15.926,16.347,16.129,16.635,15.400
TAVG,AMJJAS,17.059,17.593,18.196,16.016,17.369,17.531,17.644,17.579,16.874,17.067,16.967,18.586,18.217,18.792,17.197,16.967,17.140,18.258,18.373,19.123,17.843,17.858,19.571,17.136,17.302,17.963,18.681,18.084,19.033,17.780
TAVG,ONDJFM,3.758,5.240,6.467,4.744,4.487,4.866,4.152,6.639,5.991,7.032,5.967,5.523,5.863,6.926,6.425,4.852,6.249,6.557,5.303,5.763,8.603,6.401,5.836,5.484,5.503,5.092,8.525,5.851,6.351,6.059
TAVG,NDJF,0.889,2.756,4.557,2.842,1.894,3.176,2.778,5.191,3.487,5.093,3.365,3.991,4.265,4.338,5.505,2.776,4.372,5.758,2.555,3.484,6.701,3.413,3.721,4.235,3.255,2.967,7.136,4.343,4.266,4.406
RH,year,74.716,76.159,72.433,76.731,74.821,76.215,75.145,74.371,75.412,72.622,74.249,71.880,73.018,73.545,74.853,75.167,72.450,73.466,75.520,70.518,72.705,75.768,70.868,76.610,75.439,74.787,72.904,74.327,74.018,77.242
RH,MAMJJASO,72.923,73.866,69.512,72.973,71.778,73.514,71.551,71.690,73.839,69.519,72.296,68.142,69.324,70.168,72.549,71.635,68.038,70.799,72.695,66.391,69.811,73.389,65.826,74.769,72.861,72.165,69.321,72.196,70.083,74.164
RH,AMJJAS,72.120,72.460,68.820,71.969,69.582,71.770,70.159,70.329,74.763,69.205,71.292,65.839,67.567,69.157,71.743,70.504,67.609,70.981,72.511,63.880,67.876,74.078,63.953,73.051,72.113,71.363,66.909,70.967,69.136,73.365
RH,ONDJFM,74.250,78.063,78.978,78.762,80.925,81.552,78.691,80.035,77.750,72.913,78.286,76.715,77.647,79.613,77.570,80.077,77.562,75.403,78.577,77.933,78.365,75.854,78.284,79.772,78.460,79.937,77.946,77.928,78.799,80.190
RH,NDJF,75.567,79.522,80.396,81.718,81.026,83.507,81.030,82.487,79.631,75.294,79.857,78.454,78.592,82.616,78.674,82.873,80.928,78.801,81.086,80.559,79.539,78.530,81.940,80.831,79.269,81.755,79.668,78.291,81.516,83.464
RHmin,year,55.158,57.614,52.620,58.612,55.411,57.053,56.482,54.858,55.663,53.243,55.511,53.452,54.469,54.812,56.073,57.424,54.068,54.269,56.570,51.339,53.677,56.484,51.113,57.059,56.082,55.057,53.253,54.413,54.521,58.212
RHmin,MAMJJASO,53.010,54.566,49.254,53.908,51.817,53.446,52.229,51.689,53.805,49.420,53.129,49.384,50.415,50.991,52.776,53.307,48.664,51.377,53.461,46.971,50.191,53.090,45.916,54.155,52.886,51.418,49.061,51.292,49.399,54.497
RHmin,AMJJAS,52.064,52.646,48.994,52.613,49.448,51.738,50.597,50.426,55.334,49.418,52.340,47.150,48.488,50.365,52.374,52.028,48.285,51.535,53.403,44.519,48.714,53.624,43.948,52.306,52.459,50.608,46.098,50.606,48.186,53.609
RHmin,ONDJFM,55.604,59.746,60.676,60.624,63.025,63.592,59.881,62.278,57.858,52.569,60.027,58.161,59.196,62.150,59.015,62.419,60.276,57.050,59.984,58.708,60.142,56.329,60.011,60.334,59.649,62.286,57.945,59.688,60.518,62.219
RHmin,NDJF,57.370,61.246,62.413,64.286,63.674,66.327,63.186,65.150,60.133,55.765,62.953,60.544,60.307,65.855,60.654,66.897,64.218,60.822,62.759,62.044,61.801,59.853,64.402,61.701,61.611,64.904,60.256,60.714,64.849,66.462
