Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,12.636,13.342,13.655,12.323,12.629,12.833,12.599,13.472,14.274,14.113,13.132,13.725,13.281,14.426,13.358,12.523,14.049,13.621,13.383,14.225,13.497,14.071,14.899,13.449,13.340,14.251,14.241,13.675,13.976,12.596
TMAX,MAMJJASO,16.814,16.925,17.645,15.660,17.118,16.974,16.440,17.129,17.743,17.931,17.246,17.374,16.922,18.038,17.150,16.291,17.764,17.472,17.689,17.974,17.608,17.491,19.561,17.367,17.963,18.306,18.058,17.095,18.354,16.929
TMAX,AMJJAS,18.567,19.220,19.628,17.408,19.175,18.684,18.617,19.303,18.989,19.340,19.106,19.859,19.234,19.626,18.664,18.278,19.421,19.551,19.584,20.079,18.691,19.069,22.285,19.224,19.630,20.267,20.218,19.107,20.885,19.074
TMAX,ONDJFM,5.187,6.975,7.614,6.699,6.687,6.391,6.624,7.961,8.935,9.939,7.419,7.179,7.691,7.789,8.410,7.530,8.122,8.661,6.778,7.395,8.615,8.815,8.005,7.416,7.230,6.641,10.272,7.887,6.581,6.983
TMAX,NDJF,2.518,5.367,5.780,4.834,4.726,3.559,4.707,6.612,6.454,7.892,4.346,5.202,6.723,5.599,7.211,4.797,5.816,7.076,4.402,5.022,6.800,5.650,5.269,6.341,4.516,3.851,8.513,6.444,4.237,4.900
TMIN,year,4.397,5.214,5.079,4.081,3.949,4.496,4.692,5.353,5.401,5.352,4.721,5.587,5.203,6.385,5.172,4.607,5.434,5.123,5.420,5.876,5.407,5.933,5.646,5.291,4.934,5.792,5.685,5.494,5.581,4.743
TMIN,MAMJJASO,7.827,7.868,8.149,6.394,7.304,7.676,7.530,8.128,8.010,8.203,7.866,8.466,8.011,8.976,8.089,7.332,8.078,8.220,8.819,8.646,8.643,8.374,9.117,8.266,8.549,8.974,8.460,8.243,8.855,8.111
TMIN,AMJJAS,9.152,9.566,9.758,7.826,8.835,9.098,9.171,9.591,9.255,9.336,9.167,10.234,9.808,10.374,9.434,8.947,9.433,9.797,10.489,10.127,9.486,9.798,11.359,9.633,10.114,10.653,10.197,9.868,10.817,9.901
TMIN,ONDJFM,-1.813,0.068,0.846,-0.365,-0.197,-0.592,-0.305,1.556,1.665,1.549,0.657,0.203,0.932,1.358,1.421,0.682,1.138,1.237,0.067,0.548,2.030,1.279,0.967,0.266,0.391,-0.330,2.526,0.716,0.109,0.223
TMIN,NDJF,-4.106,-1.192,-0.533,-1.537,-1.755,-2.509,-1.600,0.373,-0.102,0.180,-1.757,-1.348,0.154,-0.339,0.858,-1.078,-0.440,0.143,-1.873,-1.176,0.458,-0.972,-0.603,-0.465,-1.650,-2.279,1.324,-0.461,-1.626,-1.154
TAVG,year,8.230,8.957,9.044,7.950,8.009,8.357,8.327,9.100,9.416,9.326,8.616,9.372,8.920,10.094,8.980,8.308,9.419,9.089,9.112,9.771,9.134,9.689,9.947,9.078,8.840,9.710,9.675,9.320,9.537,8.457
TAVG,MAMJJASO,12.012,12.049,12.556,10.745,11.856,11.973,11.617,12.290,12.483,12.647,12.221,12.626,12.123,13.153,12.281,11.529,12.561,12.580,12.910,13.004,12.755,12.606,13.988,12.509,12.915,13.323,12.953,12.411,13.325,12.238
TAVG,AMJJAS,13.553,14.063,14.389,12.351,13.657,13.571,13.507,14.088,13.792,13.950,13.812,14.744,14.176,14.681,13.733,13.350,14.101,14.408,14.711,14.819,13.763,14.141,16.513,14.146,14.583,15.139,14.932,14.232,15.567,14.231
TAVG,ONDJFM,1.443,3.235,3.940,2.881,3.042,2.655,2.868,4.460,4.909,5.197,3.738,3.388,4.037,4.297,4.671,3.801,4.351,4.602,3.195,3.705,5.056,4.660,4.192,3.520,3.503,2.881,6.051,3.996,3.144,3.410
TAVG,NDJF,-0.985,1.812,2.404,1.414,1.323,0.384,1.312,3.186,2.826,3.506,1.069,1.646,3.162,2.399,3.851,1.646,2.461,3.268,1.086,1.723,3.409,2.045,2.141,2.632,1.170,0.588,4.591,2.677,1.148,1.750
RH,year,76.879,76.088,74.141,74.241,73.396,76.664,77.796,77.458,73.367,74.333,75.591,76.329,75.943,77.147,77.320,77.101,75.352,73.868,77.506,76.002,76.744,76.518,71.795,75.565,75.423,75.487,75.931,76.249,75.032,75.781
RH,MAMJJASO,75.446,73.771,72.226,71.756,70.564,75.109,75.596,76.234,72.521,72.774,73.896,74.831,74.781,75.227,75.546,75.060,73.302,72.745,76.215,74.235,75.814,74.387,68.777,73.769,73.585,74.154,74.163,75.196,72.388,73.430
RH,AMJJAS,74.160,72.273,71.076,71.013,69.202,74.528,74.598,74.747,72.735,72.236,71.991,73.007,74.153,75.231,75.312,74.525,72.762,71.875,75.836,72.836,74.478,74.699,67.471,72.317,72.883,72.877,73.220,74.209,71.305,73.108
RH,ONDJFM,78.011,80.083,78.746,77.389,77.925,77.801,79.824,80.397,77.426,72.917,79.903,78.288,78.203,79.440,79.423,79.093,78.719,76.430,78.652,78.870,80.011,76.197,78.013,77.857,78.662,79.509,77.549,76.880,80.364,77.647
RH,NDJF,78.347,81.013,79.264,78.993,79.251,79.241,81.317,80.318,78.413,73.666,80.385,78.203,78.621,80.471,81.177,80.816,79.919,77.705,79.228,79.863,78.825,77.755,81.368,78.397,79.063,80.010,78.178,76.990,81.308,79.977
RHmin,year,59.278,58.891,56.644,57.516,56.070,58.920,60.610,59.957,55.276,56.374,58.067,59.252,58.900,59.963,59.808,60.293,57.561,56.786,60.335,58.701,59.465,59.437,54.059,58.661,58.069,57.929,58.196,59.069,58.007,59.593
RHmin,MAMJJASO,57.259,55.705,54.001,54.079,52.163,56.327,57.251,57.699,53.692,53.842,55.449,57.146,56.880,56.855,57.069,57.019,54.288,55.079,57.884,55.943,57.456,56.342,50.212,55.975,55.254,55.808,55.361,57.418,54.321,56.202
RHmin,AMJJAS,55.772,53.880,52.932,53.382,50.546,55.817,55.822,55.449,54.197,53.262,53.356,54.750,55.670,56.935,56.946,56.306,53.718,53.789,57.506,54.144,56.375,56.639,48.972,54.274,54.970,54.699,54.357,56.294,52.780,55.739
RHmin,ONDJFM,61.640,63.426,62.773,60.963,62.162,61.697,63.182,64.804,60.706,54.807,63.672,61.832,62.551,64.046,63.070,62.927,62.712,59.808,63.034,62.864,64.179,59.217,62.110,61.296,62.537,62.959,59.959,60.400,64.923,62.308
RHmin,NDJF,62.440,64.713,64.112,63.526,63.883,64.648,65.613,64.892,62.603,56.296,65.298,62.431,62.998,65.711,65.749,66.309,65.030,61.563,64.227,64.930,63.732,62.050,66.907,62.247,63.947,64.959,61.334,60.875,66.776,65.538
PREC,year,1604.463,1326.059,1255.159,1246.010,1135.468,1413.583,1427.837,1477.216,1035.925,1338.790,1121.826,1330.163,1328.203,1355.747,1504.165,1209.011,1202.577,1203.990,1700.803,1348.206,1552.034,1587.907,955.982,1189.940,1083.432,1313.477,1366.114,1333.657,1173.155,1208.897
PREC,MAMJJASO,1083.471,928.799,859.308,825.780,778.905,948.849,1080.191,1047.194,792.584,833.894,770.259,912.266,1021.795,946.083,947.213,841.351,843.691,932.027,1090.701,944.490,1194.619,1021.250,675.106,840.336,803.384,1041.860,959.654,1016.822,743.794,861.579
PREC,AMJJAS,712.727,676.537,726.102,685.019,688.544,753.334,894.453,645.168,626.890,655.987,609.506,619.739,824.199,788.412,763.654,671.882,711.998,700.137,920.529,717.737,856.297,803.272,471.633,623.461,679.499,797.821,853.057,761.591,552.637,717.976
PREC,ONDJFM,366.260,806.895,649.128,582.137,498.576,533.077,582.168,746.144,521.759,543.110,560.384,565.546,594.430,665.200,790.274,356.314,592.445,502.551,729.322,643.667,806.389,479.847,721.307,605.496,467.443,483.947,520.965,472.018,596.654,537.993
PREC,NDJF,204.480,486.616,431.868,463.728,336.789,432.955,382.954,406.286,286.332,415.830,334.634,363.731,394.103,428.818,551.023,289.223,416.469,353.565,485.577,459.979,412.718,325.912,543.255,371.893,268.019,229.448,374.056,328.321,334.145,397.600
SRAD,year,4321.558,4526.401,4498.110,4441.069,4658.069,4442.071,4217.689,4293.637,4585.398,4572.058,4541.163,4348.604,4322.749,4306.902,4398.806,4374.734,4607.522,4497.173,4311.135,4460.585,4410.854,4366.321,4933.673,4442.614,4539.396,4528.647,4597.959,4347.681,4570.453,4342.224
