Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,7.103,7.775,8.160,8.377,6.079,7.209,6.186,8.068,9.415,8.705,8.245,8.368,7.769,8.078,8.389,8.061,8.452,7.409,8.514,9.483,8.313,8.571,8.784,8.789,9.466,9.264,9.196,8.873,8.591,7.664
TMAX,MAMJJASO,11.863,12.253,13.185,12.910,12.469,12.711,11.729,13.255,13.821,13.082,12.449,12.118,11.881,13.049,13.189,12.725,13.067,12.125,13.769,13.737,13.270,14.093,13.659,13.465,13.831,13.967,14.139,12.513,13.361,13.890
TMAX,AMJJAS,15.015,14.959,16.254,16.065,15.039,15.228,14.140,16.470,16.910,15.753,15.238,15.490,14.663,16.161,15.785,15.262,16.365,15.011,16.745,16.314,16.610,17.868,16.655,16.395,16.988,17.788,16.437,15.170,16.829,17.221
TMAX,ONDJFM,-2.794,-0.587,1.225,-0.251,-2.069,-1.055,-2.004,0.121,1.391,1.233,0.594,2.708,0.806,-0.956,1.915,-0.169,1.284,-0.225,-0.502,1.585,1.731,0.848,-1.459,1.010,1.347,0.891,1.720,2.525,1.647,-1.035
TMAX,NDJF,-3.023,-3.520,0.030,-2.145,-5.353,-4.532,-4.886,-2.349,-0.662,-0.549,-1.211,1.407,0.329,-3.088,0.556,-3.010,-0.649,-1.531,-3.162,-0.187,0.231,-1.439,-3.915,-0.670,0.257,-0.736,-0.647,1.359,-0.026,-3.044
TMIN,year,-0.890,-0.055,0.078,0.728,-2.106,-0.437,-1.685,0.220,2.003,1.080,0.808,0.990,0.208,0.019,0.658,-0.021,0.266,-0.237,0.639,2.036,0.499,0.177,0.738,1.055,1.627,1.126,1.567,1.771,0.817,-0.268
TMIN,MAMJJASO,3.348,3.904,4.961,4.281,4.068,4.715,3.646,4.904,5.771,4.579,4.543,4.141,3.424,4.283,4.945,3.791,4.131,3.832,5.040,5.381,4.664,4.779,5.144,5.009,4.756,4.569,5.805,4.338,4.449,5.321
TMIN,AMJJAS,6.280,5.910,7.536,6.992,6.034,6.388,5.645,7.492,7.785,6.739,6.865,6.867,5.793,6.723,6.673,5.884,6.533,6.593,7.143,7.312,7.659,7.888,7.429,7.396,7.669,7.877,7.441,6.338,7.195,8.240
TMIN,ONDJFM,-12.081,-7.315,-5.351,-7.485,-8.550,-7.989,-9.006,-5.953,-5.226,-4.767,-6.326,-3.136,-5.609,-7.491,-3.776,-7.605,-5.635,-6.936,-6.615,-4.753,-4.240,-5.857,-8.546,-5.331,-5.225,-5.804,-4.500,-2.835,-4.091,-7.599
TMIN,NDJF,-11.223,-10.659,-6.519,-9.078,-12.156,-11.987,-11.798,-8.667,-7.831,-6.179,-8.113,-4.796,-5.650,-9.288,-5.166,-10.130,-7.854,-7.753,-9.074,-6.484,-4.960,-7.963,-11.240,-6.882,-5.486,-6.579,-6.750,-3.604,-5.424,-8.963
TAVG,year,3.282,4.052,4.306,4.733,2.127,3.512,2.347,4.272,5.833,5.007,4.610,4.811,4.035,4.147,4.621,4.089,4.498,3.598,4.620,5.782,4.440,4.470,4.834,4.978,5.606,5.282,5.417,5.370,4.768,3.759
TAVG,MAMJJASO,7.693,8.202,9.198,8.735,8.373,8.772,7.722,9.156,9.846,8.895,8.510,8.190,7.605,8.714,9.072,8.278,8.683,7.893,9.399,9.495,8.938,9.459,9.400,9.180,9.292,9.326,9.940,8.404,8.918,9.577
TAVG,AMJJAS,10.705,10.554,11.972,11.650,10.639,10.864,9.907,12.041,12.390,11.282,11.022,11.217,10.129,11.484,11.194,10.589,11.544,10.673,11.921,11.679,12.058,12.896,12.008,11.829,12.310,12.918,11.911,10.686,12.006,12.634
