Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,19.915,19.726,19.568,19.645,20.360,19.978,19.744,20.130,19.975,20.669,18.986,19.743,20.457,21.124,19.671,19.299,19.628,20.278,20.723,20.650,20.755,20.184,20.344,20.155,19.298,19.591,20.472,20.526,20.222,20.569
TMAX,MAMJJASO,24.595,23.877,23.819,23.620,24.441,24.398,23.606,24.729,23.935,24.873,23.254,23.872,25.012,25.649,23.598,23.017,23.211,24.554,25.160,24.888,25.671,23.895,24.768,24.124,23.321,23.707,24.568,24.480,23.858,24.084
TMAX,AMJJAS,26.280,26.388,26.137,25.570,27.351,26.994,26.881,27.472,26.117,26.583,25.174,25.846,27.129,27.974,26.016,26.092,25.700,27.239,27.575,27.550,27.240,25.857,27.397,26.023,25.611,26.003,26.986,26.574,26.215,26.643
TMAX,ONDJFM,10.938,13.431,13.406,12.666,13.548,13.744,12.399,13.283,13.188,14.195,13.708,12.607,13.585,14.733,13.829,11.977,13.950,13.331,13.156,13.299,15.382,13.869,13.216,13.773,13.941,12.879,14.290,13.746,13.801,14.603
TMAX,NDJF,8.270,11.176,11.356,11.097,11.178,12.366,11.274,12.001,10.665,12.094,11.195,10.494,11.217,11.956,12.088,10.452,13.175,12.328,10.768,10.830,13.348,11.077,11.298,11.777,11.658,10.984,12.755,11.516,12.160,13.074
TMIN,year,9.402,9.473,9.197,9.516,9.632,9.503,9.619,9.562,9.247,9.715,9.043,9.149,9.381,10.530,9.524,9.720,9.314,9.719,9.878,9.118,9.728,9.757,10.001,9.777,9.886,9.920,10.324,10.436,10.590,10.851
TMIN,MAMJJASO,12.757,12.503,12.220,12.028,12.289,12.806,12.132,12.842,12.424,12.672,12.390,12.544,12.582,13.751,12.215,12.218,11.700,12.811,13.145,12.184,13.176,12.687,13.070,12.921,13.161,13.522,13.522,13.523,13.394,13.505
TMIN,AMJJAS,14.000,14.155,14.153,13.318,14.219,14.495,14.297,14.907,14.121,14.194,13.692,14.075,14.205,15.378,14.165,14.233,13.577,15.041,15.046,14.088,14.558,14.432,15.182,14.438,15.090,15.172,15.310,15.246,15.373,15.424
TMIN,ONDJFM,2.527,4.765,4.480,5.145,5.301,5.500,3.804,5.376,3.801,4.325,5.349,3.526,4.153,6.090,5.340,4.660,5.096,4.763,4.431,3.960,5.980,4.008,4.651,5.019,5.126,4.656,5.248,5.099,5.587,6.153
TMIN,NDJF,0.890,3.100,2.777,4.297,3.712,4.739,2.950,4.461,1.696,2.998,3.636,1.651,2.168,4.673,3.766,3.990,4.469,4.423,2.795,2.533,4.425,2.055,3.846,3.428,3.516,3.018,3.534,3.237,4.690,5.130
TAVG,year,14.581,14.440,14.191,14.471,14.959,14.735,14.502,14.778,14.445,14.997,13.854,14.358,14.747,15.757,14.557,14.489,14.396,15.400,15.633,15.202,15.672,15.244,15.515,15.252,14.847,14.907,15.726,15.650,15.532,15.925
TAVG,MAMJJASO,18.589,18.022,17.831,17.723,18.372,18.637,17.662,18.733,18.010,18.555,17.642,18.085,18.608,19.685,17.900,17.628,17.404,19.337,19.727,19.145,20.130,18.804,19.537,19.027,18.654,18.977,19.571,19.351,18.874,19.149
TAVG,AMJJAS,20.096,20.106,19.933,19.346,20.794,20.772,20.392,21.150,19.959,20.201,19.282,19.842,20.518,21.744,20.084,20.195,19.599,21.989,22.067,21.654,21.811,20.830,22.094,20.910,20.851,21.062,21.819,21.410,21.100,21.523
TAVG,ONDJFM,6.605,9.009,8.703,8.796,9.297,9.608,7.995,9.131,8.403,9.088,9.337,8.006,8.676,10.226,9.411,8.323,9.367,9.017,8.706,8.519,10.470,8.850,8.829,9.313,9.455,8.679,9.738,9.287,9.596,10.315
TAVG,NDJF,4.537,7.063,6.818,7.574,7.304,8.481,7.001,8.045,6.127,7.352,7.299,6.040,6.546,8.213,7.729,7.221,8.606,8.337,6.624,6.505,8.608,6.382,7.419,7.424,7.429,6.827,8.044,7.179,8.303,8.965
RH,year,68.597,69.867,69.049,70.114,67.035,67.623,68.202,66.739,65.775,65.026,69.607,64.767,64.128,66.537,67.771,69.490,66.923,67.050,68.326,63.811,63.683,68.827,66.225,67.056,66.579,66.442,63.544,67.357,69.624,69.309
