Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,11.567,11.972,12.712,11.880,10.422,11.513,10.242,12.064,13.267,12.906,12.428,12.720,11.485,12.036,12.467,11.499,12.161,11.725,13.218,13.274,12.535,12.971,12.166,12.078,12.263,13.073,12.953,12.994,12.077,11.731
TMAX,MAMJJASO,16.043,16.125,17.122,16.396,15.749,16.234,14.721,16.671,17.274,16.598,16.386,16.735,15.695,16.675,17.234,16.413,16.415,16.171,18.009,17.180,17.331,17.977,16.550,16.538,16.618,17.730,17.620,16.886,16.487,17.462
TMAX,AMJJAS,18.605,18.511,19.932,19.008,18.205,18.714,17.187,19.590,19.789,18.577,18.795,19.765,18.325,19.657,19.703,19.126,19.298,18.766,20.899,19.423,20.060,21.471,19.429,19.056,19.546,20.817,19.811,19.282,19.641,20.643
TMAX,ONDJFM,2.604,4.549,5.953,4.844,2.786,4.123,3.136,5.045,6.330,6.892,5.723,6.766,5.031,3.596,5.609,3.182,5.688,5.210,4.255,5.844,6.534,6.029,3.062,4.826,4.788,4.267,7.433,6.141,5.570,3.270
TMAX,NDJF,1.649,1.941,4.705,3.122,-0.245,1.245,1.100,3.437,4.461,5.016,3.892,5.145,4.202,1.446,4.103,0.217,3.792,3.976,1.546,4.276,4.751,3.587,1.007,3.315,3.631,2.016,4.941,4.677,3.795,1.062
TMIN,year,4.868,4.695,5.683,5.088,3.519,4.410,3.046,5.191,6.238,6.059,5.611,5.597,4.547,4.747,5.245,3.754,4.923,4.970,5.591,6.105,5.408,5.151,5.034,5.055,4.604,5.196,5.537,6.015,5.037,4.685
TMIN,MAMJJASO,8.031,7.512,8.728,8.187,8.084,7.872,6.550,8.536,8.800,8.155,8.215,8.023,7.284,7.950,8.684,7.196,7.683,8.055,8.738,8.286,8.897,8.318,7.876,8.090,7.118,7.976,8.596,8.119,7.709,8.856
TMIN,AMJJAS,10.022,9.177,10.648,10.024,9.624,9.589,8.841,10.817,10.315,9.510,9.870,10.084,9.118,9.960,10.198,9.172,9.686,10.272,10.588,9.726,10.937,10.592,10.092,9.816,9.599,10.079,10.105,9.474,9.730,11.543
TMIN,ONDJFM,-2.421,-0.614,1.211,0.021,-2.151,-0.892,-2.572,0.380,1.243,1.982,1.214,1.998,0.412,-1.168,1.052,-2.690,0.544,0.461,-0.887,1.393,1.805,0.760,-2.118,0.322,-0.150,-1.152,1.994,2.180,1.237,-1.382
TMIN,NDJF,-2.396,-2.672,0.595,-1.027,-5.169,-3.402,-3.899,-0.479,-0.013,0.842,0.089,1.148,0.262,-2.842,0.115,-4.804,-0.746,0.118,-2.775,0.413,1.134,-0.965,-3.481,-0.477,-0.391,-1.972,0.408,1.610,0.037,-2.723
