Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,14.271,15.344,15.357,14.426,14.069,14.759,14.231,15.559,16.607,16.145,14.912,15.619,15.227,16.264,16.126,14.239,15.968,15.370,16.391,15.949,15.630,16.179,16.765,15.701,16.156,16.690,16.637,15.978,16.405,14.933
TMAX,MAMJJASO,17.890,18.896,18.796,17.242,18.122,18.346,18.056,18.395,20.040,19.496,18.697,18.881,18.729,19.370,19.770,18.110,19.608,18.634,20.143,19.076,19.223,19.301,20.740,19.330,20.159,20.550,19.914,19.099,20.404,19.507
TMAX,AMJJAS,19.478,20.903,20.718,18.792,19.968,19.822,19.927,20.139,21.440,20.777,20.015,21.137,20.678,21.107,21.437,19.903,21.294,20.518,22.034,20.927,20.643,20.986,23.034,21.103,21.675,22.609,21.734,21.099,22.504,21.416
TMAX,ONDJFM,8.599,8.960,9.786,9.573,8.899,8.719,9.157,10.498,11.651,12.100,10.195,9.961,10.224,9.769,11.583,9.337,9.721,11.210,9.948,10.525,10.675,11.494,10.704,10.281,10.100,9.849,12.911,11.015,9.658,9.808
TMAX,NDJF,6.357,7.327,8.162,8.066,7.048,6.292,7.247,9.056,9.753,10.183,7.283,8.118,9.025,8.051,10.619,6.919,7.000,9.755,8.196,8.854,9.294,8.989,8.563,9.153,7.998,7.305,11.215,9.860,7.530,7.612
TMIN,year,7.117,7.535,7.542,7.155,6.436,6.825,7.023,8.326,8.044,7.809,6.903,7.993,7.449,8.406,8.085,6.481,7.744,7.936,8.595,8.791,8.190,8.637,7.766,7.829,8.212,8.698,8.679,8.215,7.974,6.967
TMIN,MAMJJASO,9.860,9.965,10.090,9.007,9.505,9.275,9.686,10.196,10.433,9.807,9.605,10.257,9.901,10.382,10.643,8.976,10.110,10.461,11.107,10.897,10.879,10.641,10.323,10.327,10.845,11.340,10.741,10.416,10.592,9.947
TMIN,AMJJAS,10.960,11.308,11.576,10.191,10.950,10.336,11.267,11.386,11.224,10.617,10.488,11.937,11.496,11.813,11.916,10.350,11.337,11.843,12.586,12.139,11.658,11.992,12.149,11.717,11.935,12.838,12.253,11.836,12.127,11.312
TMIN,ONDJFM,2.568,2.781,4.118,3.129,2.720,2.489,3.171,4.859,5.287,5.074,3.812,3.710,3.752,3.840,5.053,2.934,3.559,4.575,4.045,4.571,5.269,5.141,4.143,3.743,3.949,3.717,6.453,4.590,3.321,3.766
TMIN,NDJF,0.739,1.625,3.017,2.280,1.080,1.026,2.038,3.993,4.130,3.671,1.742,2.363,3.475,2.509,5.016,1.328,1.722,3.808,2.830,3.509,4.251,3.313,2.969,3.482,2.532,2.154,5.561,3.832,2.009,2.525
