Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,14.307,15.124,15.568,13.814,13.600,14.516,13.499,14.823,15.475,15.587,14.354,15.799,14.944,16.130,14.758,13.205,14.765,15.036,15.381,16.260,14.644,15.630,16.055,14.971,14.981,15.675,16.149,15.886,15.456,14.104
TMAX,MAMJJASO,19.129,19.935,20.335,17.869,18.559,19.316,17.968,19.111,19.774,19.763,18.864,20.402,19.459,20.403,19.474,17.860,19.136,19.408,20.223,20.655,19.291,20.020,21.073,19.546,19.837,20.436,20.664,19.766,20.296,18.998
TMAX,AMJJAS,21.109,22.173,22.869,19.673,20.898,21.579,20.539,21.743,21.420,21.375,20.872,23.413,22.091,22.996,21.606,20.249,21.504,21.893,22.616,23.017,21.060,22.616,24.322,21.770,22.114,22.984,23.221,22.123,23.342,21.416
TMAX,ONDJFM,6.748,7.009,8.848,7.591,6.573,6.972,6.617,8.337,8.857,10.111,8.315,8.173,7.646,8.587,8.735,5.895,7.800,8.909,7.512,8.098,9.313,9.084,7.466,7.681,8.067,6.896,11.167,8.393,7.951,7.504
TMAX,NDJF,3.872,4.106,6.723,5.286,3.572,4.333,4.481,6.768,6.142,7.432,5.424,6.071,5.952,6.232,7.430,2.841,5.023,7.477,4.787,5.901,7.092,6.040,4.984,6.235,5.646,4.064,9.038,6.576,5.655,5.274
TMIN,year,5.796,6.026,6.183,5.669,5.083,5.580,5.343,6.314,6.488,6.308,5.536,6.644,5.857,6.902,6.261,5.179,5.758,6.380,6.594,7.163,6.341,6.867,6.162,6.092,5.971,6.555,6.898,6.965,6.746,5.778
TMIN,MAMJJASO,9.122,9.156,9.369,8.197,8.655,8.803,8.398,8.978,9.314,8.782,8.627,9.394,8.842,9.493,9.360,8.508,8.440,9.491,9.709,9.964,9.739,9.890,9.325,8.970,8.980,9.721,9.468,9.349,9.886,9.179
TMIN,AMJJAS,10.363,10.664,11.050,9.568,10.249,10.451,10.383,10.571,10.718,10.028,10.116,11.338,10.552,11.315,10.827,10.122,10.216,11.175,11.402,11.214,10.871,11.804,11.517,10.460,10.846,11.635,11.206,11.027,11.632,11.220
TMIN,ONDJFM,0.246,0.668,2.370,0.726,0.434,0.547,-0.163,2.612,2.286,2.303,1.605,1.558,0.985,2.267,2.082,0.107,1.282,1.875,1.489,1.776,3.008,2.031,0.853,1.124,1.463,0.405,3.817,2.073,2.064,1.338
TMIN,NDJF,-1.803,-1.330,1.035,-0.685,-1.824,-1.184,-1.258,1.835,0.737,0.695,-0.195,0.555,-0.051,0.737,1.655,-1.928,-0.678,1.302,-0.419,0.327,1.320,-0.158,-0.714,0.297,0.294,-1.312,3.055,1.128,0.647,-0.038
TAVG,year,9.881,10.357,10.710,9.514,9.125,9.817,9.261,10.385,10.725,10.676,9.702,11.040,10.152,11.295,10.320,8.981,10.021,10.504,10.795,11.505,10.282,11.014,10.916,10.336,10.260,10.870,11.320,11.207,10.909,9.780
TAVG,MAMJJASO,13.895,14.302,14.692,12.775,13.339,13.807,12.960,13.855,14.289,14.000,13.473,14.729,13.884,14.743,14.201,12.936,13.494,14.252,14.734,15.071,14.271,14.686,15.013,14.027,14.160,14.783,14.850,14.340,14.826,13.852
TAVG,AMJJAS,15.518,16.268,16.849,14.439,15.344,15.819,15.253,15.997,15.882,15.523,15.298,17.287,16.104,17.030,16.089,14.996,15.639,16.370,16.833,16.925,15.783,16.983,17.812,15.929,16.302,17.085,17.062,16.436,17.248,16.148
TAVG,ONDJFM,3.350,3.657,5.355,3.913,3.299,3.511,3.019,5.294,5.329,5.791,4.675,4.559,4.043,5.147,5.126,2.780,4.300,5.105,4.269,4.764,5.907,5.272,3.936,4.191,4.493,3.416,7.205,4.962,4.827,4.266
TAVG,NDJF,0.922,1.331,3.689,2.141,0.757,1.421,1.484,4.149,3.278,3.687,2.449,3.116,2.744,3.244,4.367,0.350,2.052,4.159,2.040,3.030,4.020,2.769,2.007,3.098,2.751,1.260,5.881,3.659,3.076,2.577
RH,year,78.513,77.228,76.278,78.811,78.759,77.610,79.594,78.075,78.292,75.781,77.270,74.961,76.025,76.437,78.668,79.559,77.648,77.183,77.584,77.401,80.553,78.345,73.831,77.721,77.519,77.588,76.585,77.679,79.017,79.205
RH,MAMJJASO,75.649,73.653,72.489,75.827,76.359,74.493,76.532,74.197,74.924,71.400,74.314,70.091,72.312,72.452,75.266,77.004,73.752,74.149,73.602,73.181,77.702,74.847,68.370,73.894,73.209,73.353,71.824,74.435,74.961,75.516
RH,AMJJAS,73.956,71.962,70.561,75.360,74.610,73.201,75.916,71.865,73.803,70.470,72.642,67.248,69.867,70.188,73.494,75.275,72.372,72.632,71.608,69.802,75.371,73.296,65.516,71.639,71.792,70.859,69.073,72.217,71.917,74.861
RH,ONDJFM,81.131,82.531,83.462,80.803,83.099,82.906,82.461,84.430,83.425,80.544,82.307,82.107,81.874,82.956,82.905,84.634,83.341,80.973,84.124,84.230,85.649,83.116,83.140,83.136,83.597,84.870,82.989,83.676,86.174,84.053
RH,NDJF,82.682,84.510,84.850,83.608,83.700,84.298,85.237,86.358,86.224,82.846,83.969,84.859,83.701,84.411,84.699,86.044,84.998,83.715,85.743,85.271,86.679,84.891,85.697,84.709,86.011,86.812,85.980,85.078,87.296,86.352
RHmin,year,60.925,58.799,57.866,61.568,60.798,59.334,62.239,60.686,59.591,57.513,58.995,57.450,57.828,58.091,61.252,62.448,59.326,59.552,59.885,59.273,62.841,60.314,55.567,59.748,59.325,59.111,58.589,59.527,61.288,61.956
RHmin,MAMJJASO,56.168,53.343,52.748,56.603,56.668,54.490,57.262,55.053,54.772,51.451,54.429,50.873,52.668,52.534,55.926,58.247,53.361,55.391,53.949,53.531,58.620,55.384,48.808,53.999,52.906,53.241,51.863,54.706,55.197,56.453
RHmin,AMJJAS,53.917,51.500,50.442,56.087,54.328,52.871,56.125,51.892,54.003,50.672,52.787,47.644,49.792,50.257,54.070,56.142,51.957,53.262,51.776,49.595,56.211,53.411,45.657,51.424,51.749,50.949,48.989,52.544,51.089,55.898
RHmin,ONDJFM,65.770,67.116,67.356,64.421,67.913,67.108,66.227,70.019,67.420,62.287,66.081,65.929,65.633,67.134,66.496,69.922,67.400,64.401,68.934,68.545,69.576,66.246,67.274,67.054,67.290,68.653,65.567,67.949,71.060,69.021
RHmin,NDJF,68.439,70.735,70.139,68.396,69.945,70.037,70.584,73.171,71.954,65.832,69.670,70.468,68.500,69.857,69.985,73.433,70.583,68.377,71.954,71.046,71.613,69.300,71.155,69.488,71.622,72.693,70.695,70.978,74.087,72.843
PREC,year,869.521,546.068,609.715,643.271,703.863,746.898,769.092,717.691,580.658,596.268,599.873,624.661,692.613,678.311,815.594,714.310,745.753,734.425,646.931,700.356,812.276,887.788,507.082,673.172,728.641,711.181,746.974,625.569,752.567,870.605
PREC,MAMJJASO,639.181,398.478,429.925,483.861,506.374,538.004,555.017,474.198,455.706,402.053,417.623,455.067,473.731,498.173,609.979,598.076,578.307,628.248,436.345,517.454,618.865,646.569,369.599,455.472,490.113,552.516,513.086,474.767,562.988,658.974
PREC,AMJJAS,462.346,333.124,358.970,433.796,455.387,442.546,480.381,368.881,389.054,344.269,372.709,300.675,390.812,384.591,527.843,504.762,480.745,450.931,369.930,344.219,516.851,507.764,286.717,364.478,453.346,443.962,428.769,362.732,414.593,608.059
PREC,ONDJFM,153.761,349.120,277.389,207.178,204.520,260.056,328.891,321.634,250.710,212.261,208.148,320.891,282.050,336.683,318.995,194.181,245.634,250.546,334.116,357.354,273.072,297.452,308.978,306.478,306.170,269.389,282.109,282.070,293.779,293.198
PREC,NDJF,91.132,197.359,202.928,162.468,137.502,208.027,229.693,209.771,192.411,155.214,144.609,222.679,180.568,208.973,212.858,145.805,136.291,145.593,175.745,203.405,149.583,226.286,198.517,192.101,236.064,185.276,200.135,178.975,168.397,184.773
SRAD,year,3822.562,4197.243,4042.191,3747.735,3885.509,4018.270,3747.708,3999.335,3961.947,4114.731,3955.030,4209.272,4129.817,4147.768,3919.880,3824.244,4174.237,3969.130,4038.858,4119.949,3853.671,4047.403,4528.420,4066.421,4194.728,4277.748,4249.649,4053.465,4073.759,3876.737
SRAD,MAMJJASO,3433.085,3785.480,3636.316,3349.757,3485.940,3592.921,3389.741,3610.364,3540.544,3700.019,3536.406,3815.797,3728.544,3743.504,3549.058,3398.209,3767.802,3527.166,3655.546,3705.325,3433.177,3645.579,4069.116,3676.404,3799.999,3838.039,3871.351,3621.652,3700.184,3503.401
SRAD,AMJJAS,2987.437,3246.033,3169.169,2814.962,3035.874,3091.422,2884.469,3160.023,3007.327,3132.609,3055.660,3347.433,3236.931,3265.125,3056.882,2934.827,3238.349,3054.288,3160.320,3279.690,2999.583,3155.768,3524.550,3172.705,3211.580,3312.808,3351.776,3125.117,3300.229,2963.353
SRAD,ONDJFM,488.674,929.854,830.675,947.462,851.307,899.210,925.464,816.950,900.325,1025.702,888.709,912.907,908.016,831.182,893.000,877.954,906.580,981.465,837.734,847.994,832.612,953.240,943.764,895.946,941.457,956.766,972.324,909.777,801.020,877.320
SRAD,NDJF,232.515,403.224,383.035,416.880,410.082,406.042,395.849,360.070,392.533,469.886,408.369,385.250,419.917,379.834,395.506,390.029,422.952,432.492,390.305,403.045,422.578,424.942,422.403,417.963,395.439,422.422,397.543,418.780,370.797,386.941
WIND,year,2.892,2.607,2.872,2.742,2.665,2.768,2.712,2.830,2.601,2.773,2.598,2.774,2.786,2.792,2.774,2.524,2.524,2.679,2.449,2.362,2.308,2.444,2.254,2.352,2.246,2.219,2.379,2.242,2.116,2.090
WIND,MAMJJASO,2.652,2.466,2.638,2.564,2.567,2.532,2.613,2.572,2.504,2.570,2.487,2.646,2.592,2.656,2.575,2.435,2.482,2.639,2.228,2.230,2.209,2.294,2.156,2.216,2.100,2.157,2.161,2.049,2.076,2.034
WIND,AMJJAS,2.472,2.324,2.469,2.512,2.612,2.413,2.494,2.399,2.402,2.374,2.425,2.484,2.501,2.406,2.495,2.374,2.419,2.417,2.127,2.050,2.193,2.154,2.088,2.126,2.029,2.100,2.146,1.924,1.951,1.941
WIND,ONDJFM,3.238,3.125,3.257,3.051,2.804,2.937,2.921,3.190,3.000,3.090,2.798,3.074,3.024,3.181,3.308,2.604,2.644,2.819,2.876,2.847,2.377,2.657,2.410,2.671,2.513,2.274,2.684,2.512,2.390,2.180
WIND,NDJF,3.202,3.160,3.358,3.181,2.841,3.118,2.999,3.170,3.085,3.085,2.835,3.067,3.085,3.078,3.353,2.748,2.676,2.711,2.883,2.842,2.334,2.845,2.375,2.686,2.604,2.280,2.810,2.583,2.413,2.113
VPD,year,0.348,0.384,0.433,0.324,0.334,0.370,0.313,0.367,0.366,0.420,0.363,0.467,0.411,0.447,0.374,0.319,0.372,0.393,0.396,0.427,0.337,0.385,0.509,0.383,0.383,0.419,0.435,0.401,0.381,0.358
VPD,MAMJJASO,0.461,0.513,0.583,0.423,0.443,0.494,0.415,0.490,0.483,0.557,0.480,0.633,0.547,0.599,0.500,0.422,0.495,0.516,0.534,0.573,0.450,0.509,0.700,0.513,0.519,0.571,0.586,0.525,0.516,0.483
VPD,AMJJAS,0.531,0.598,0.690,0.477,0.515,0.569,0.479,0.580,0.548,0.626,0.555,0.765,0.651,0.718,0.588,0.499,0.575,0.606,0.627,0.690,0.530,0.599,0.849,0.603,0.603,0.683,0.701,0.626,0.625,0.560
VPD,ONDJFM,0.170,0.163,0.165,0.179,0.153,0.158,0.157,0.156,0.174,0.217,0.175,0.175,0.170,0.171,0.171,0.131,0.165,0.194,0.153,0.153,0.155,0.181,0.159,0.159,0.157,0.139,0.200,0.161,0.135,0.157
VPD,NDJF,0.120,0.114,0.130,0.126,0.114,0.114,0.109,0.121,0.115,0.159,0.122,0.124,0.135,0.128,0.143,0.090,0.122,0.151,0.109,0.123,0.119,0.131,0.108,0.129,0.110,0.092,0.143,0.133,0.105,0.111
FWI_FD,year,1.846,2.320,3.201,1.738,1.645,1.955,1.143,2.125,1.857,2.917,2.411,3.406,2.497,2.665,1.818,1.237,1.892,2.082,2.122,2.411,1.288,1.733,3.380,1.900,1.978,2.392,2.369,1.914,1.892,1.382
FWI_FD,MAMJJASO,2.652,3.127,4.325,2.195,2.320,2.719,1.583,3.026,2.518,4.049,3.371,4.937,3.546,3.748,2.599,1.703,2.635,2.833,3.029,3.448,1.785,2.446,4.794,2.706,2.706,3.416,3.406,2.593,2.727,1.943
FWI_FD,AMJJAS,3.357,3.534,5.021,2.305,2.218,2.908,1.677,3.579,2.866,4.529,3.565,6.050,4.331,4.644,2.989,2.068,3.077,3.558,3.674,4.325,2.117,3.003,5.897,3.278,2.909,3.772,4.262,3.222,3.406,2.204
FWI_FD,ONDJFM,0.368,0.449,1.042,1.573,0.865,1.096,0.905,0.658,0.856,1.273,0.948,1.114,0.818,0.539,0.682,0.577,0.516,0.930,0.333,0.438,0.539,0.695,0.503,0.649,0.474,0.941,1.236,0.431,0.393,0.484
FWI_FD,NDJF,0.225,0.250,0.651,0.958,0.714,0.298,0.335,0.335,0.388,0.803,0.380,0.341,0.351,0.280,0.454,0.193,0.290,0.685,0.206,0.278,0.357,0.338,0.199,0.499,0.205,0.489,0.411,0.388,0.281,0.182
FWI_3+,year,13.691,16.964,35.938,9.100,4.896,14.580,3.146,17.920,12.446,31.251,15.581,45.445,29.217,32.594,17.006,4.917,12.061,20.529,21.252,28.796,7.230,10.078,42.977,16.606,9.531,24.674,26.461,13.858,14.741,9.958
FWI_3+,MAMJJASO,13.675,16.386,35.786,8.554,4.879,14.562,3.143,17.917,12.319,31.041,15.570,45.441,29.160,32.355,17.003,4.915,12.040,20.487,21.251,28.790,7.224,10.041,42.909,16.572,9.391,24.643,26.423,13.823,14.737,9.888
FWI_3+,AMJJAS,13.605,15.216,34.388,8.293,2.653,11.875,2.623,17.175,11.852,29.231,13.736,44.025,29.003,31.688,16.798,4.906,11.596,20.397,21.066,28.308,7.215,9.999,42.548,16.400,8.883,21.216,26.378,13.791,13.989,9.851
FWI_3+,ONDJFM,0.061,0.034,1.847,1.607,0.645,2.258,2.688,0.523,0.811,1.255,1.300,1.896,1.441,0.167,0.889,0.190,0.024,0.582,0.089,0.106,0.488,0.069,0.221,0.310,0.139,0.630,3.538,0.019,0.050,0.776
FWI_3+,NDJF,0.002,0.014,0.579,0.172,0.529,0.016,0.018,0.003,0.058,0.277,0.009,0.011,0.056,0.002,0.241,0.000,0.003,0.061,0.002,0.003,0.010,0.020,0.021,0.098,0.002,0.139,0.069,0.012,0.023,0.004
FWI_4+,year,0.326,0.141,3.331,0.169,0.028,0.648,0.026,1.041,0.317,4.678,0.317,5.030,3.049,5.399,0.712,0.046,0.069,0.825,0.504,1.368,0.203,0.094,3.295,0.313,0.105,1.384,0.786,0.063,0.758,0.178
FWI_4+,MAMJJASO,0.325,0.120,3.326,0.129,0.026,0.646,0.026,1.041,0.317,4.674,0.317,5.029,3.045,5.393,0.712,0.046,0.068,0.823,0.504,1.368,0.203,0.091,3.294,0.313,0.101,1.384,0.784,0.061,0.756,0.177
FWI_4+,AMJJAS,0.324,0.077,3.322,0.129,0.004,0.491,0.014,1.028,0.314,4.638,0.271,5.005,3.043,5.354,0.710,0.045,0.057,0.818,0.504,1.364,0.203,0.088,3.292,0.309,0.089,1.344,0.782,0.061,0.744,0.174
FWI_4+,ONDJFM,0.002,0.000,0.065,0.009,0.040,0.024,0.157,0.012,0.012,0.011,0.033,0.049,0.028,0.002,0.045,0.001,0.001,0.019,0.001,0.001,0.004,0.005,0.002,0.005,0.002,0.015,0.044,0.000,0.002,0.015
FWI_4+,NDJF,0.001,0.000,0.022,0.005,0.040,0.002,0.002,0.000,0.000,0.004,0.001,0.002,0.004,0.000,0.007,0.000,0.000,0.003,0.001,0.000,0.000,0.001,0.002,0.001,0.000,0.004,0.002,0.000,0.002,0.002
