Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,12.446,13.440,13.620,13.059,12.050,12.673,11.977,13.742,14.531,14.450,13.516,14.303,12.893,13.862,13.589,12.246,13.699,12.884,13.939,14.040,13.431,14.207,14.152,13.790,13.959,14.628,14.443,14.610,14.142,12.440
TMAX,MAMJJASO,16.198,17.177,16.878,16.324,15.952,16.094,15.065,16.709,17.524,17.541,16.717,17.433,16.144,17.077,17.358,16.031,17.309,16.047,17.258,16.894,16.692,17.917,17.697,16.953,17.080,17.938,17.555,17.703,17.733,16.844
TMAX,AMJJAS,18.273,19.080,18.763,18.244,17.727,17.964,16.957,18.877,19.142,19.070,18.379,19.825,18.073,19.235,19.109,18.100,19.451,17.734,19.263,18.557,18.439,20.341,20.019,18.826,18.832,20.150,19.154,19.755,20.011,18.825
TMAX,ONDJFM,5.749,6.316,8.842,7.532,6.773,6.822,7.100,8.700,9.620,10.115,8.482,9.258,8.308,7.269,8.830,6.300,7.889,8.649,7.512,8.936,8.624,9.564,7.086,8.399,8.714,8.246,11.072,9.374,8.605,7.148
TMAX,NDJF,4.744,4.078,7.521,6.154,4.763,4.631,5.890,7.684,8.414,8.481,6.606,8.059,7.381,5.640,7.986,3.954,5.931,7.361,5.846,7.661,7.427,7.730,5.218,7.374,7.737,6.654,9.508,8.299,6.967,5.362
TMIN,year,6.589,7.143,7.425,7.337,5.961,6.449,6.351,7.678,7.984,8.188,7.420,7.891,6.931,7.812,7.070,6.180,7.388,7.451,7.866,8.597,7.719,8.433,7.981,8.174,8.134,8.941,8.638,8.369,8.159,6.446
TMIN,MAMJJASO,9.473,9.829,9.877,9.396,9.215,8.935,8.717,9.801,10.040,10.319,9.711,9.965,9.181,9.974,9.996,8.876,9.856,9.893,10.388,10.563,10.342,11.123,10.499,10.679,10.304,11.209,10.857,10.362,10.606,10.028
TMIN,AMJJAS,10.883,10.968,11.101,10.505,10.464,10.160,10.178,11.372,10.890,11.340,10.942,11.719,10.680,11.483,11.034,10.124,11.482,11.283,11.737,11.688,11.480,13.133,12.580,12.132,11.765,12.916,12.363,11.696,12.249,11.608
TMIN,ONDJFM,1.852,1.660,4.411,3.152,2.642,1.877,2.493,4.557,4.818,5.071,3.842,4.423,3.501,3.151,4.198,1.782,3.189,4.076,3.189,4.430,4.615,4.833,2.663,3.777,4.224,3.748,6.704,4.716,4.290,2.855
TMIN,NDJF,1.098,-0.225,3.271,2.025,0.750,-0.022,1.696,3.898,3.965,3.768,2.290,3.646,3.129,2.162,3.629,-0.340,1.575,3.542,1.715,3.480,3.774,3.159,1.598,3.318,3.580,2.885,5.808,4.293,3.029,1.666
TAVG,year,9.444,10.224,10.467,10.131,8.938,9.501,9.102,10.658,11.213,11.259,10.422,11.051,9.861,10.813,10.296,9.173,10.510,10.112,10.847,11.253,10.518,11.261,10.965,10.899,10.960,11.705,11.521,11.470,11.113,9.425
TAVG,MAMJJASO,12.760,13.428,13.322,12.775,12.517,12.451,11.826,13.199,13.736,13.863,13.165,13.654,12.602,13.488,13.645,12.409,13.543,12.913,13.761,13.647,13.444,14.447,13.960,13.723,13.588,14.474,14.171,14.003,14.101,13.398
TAVG,AMJJAS,14.491,14.945,14.866,14.276,14.025,13.987,13.501,15.064,14.957,15.133,14.612,15.730,14.311,15.316,15.043,14.063,15.426,14.448,15.434,15.029,14.888,16.654,16.169,15.378,15.184,16.423,15.716,15.683,16.049,15.179
TAVG,ONDJFM,3.744,3.931,6.573,5.297,4.658,4.291,4.744,6.589,7.176,7.547,6.124,6.792,5.856,5.194,6.491,4.015,5.499,6.328,5.304,6.652,6.560,7.158,4.813,6.025,6.426,5.926,8.848,7.053,6.462,5.005
TAVG,NDJF,2.853,1.867,5.345,4.045,2.699,2.244,3.735,5.756,6.145,6.070,4.413,5.808,5.208,3.893,5.783,1.792,3.709,5.424,3.728,5.545,5.543,5.429,3.384,5.286,5.629,4.695,7.636,6.302,5.030,3.540
RH,year,82.703,83.117,82.436,82.963,83.488,82.184,84.152,82.222,81.976,81.912,81.926,81.384,83.283,82.170,81.805,82.429,82.016,83.402,84.091,85.550,84.513,84.255,82.574,83.488,82.918,83.910,83.040,81.127,82.558,83.378
RH,MAMJJASO,81.843,80.606,81.013,80.475,82.041,80.639,82.757,80.082,79.410,79.225,79.939,78.278,81.006,79.490,79.766,80.196,78.646,81.366,82.119,83.733,83.049,82.194,79.357,81.530,81.403,81.790,81.399,78.386,79.279,81.414
RH,AMJJAS,80.479,78.259,80.159,79.488,80.395,78.335,81.947,78.808,77.360,77.774,78.195,76.793,79.732,78.223,78.068,78.616,77.716,81.514,80.946,82.557,81.951,81.616,78.196,80.443,80.266,80.898,80.914,77.304,78.188,80.201
RH,ONDJFM,85.556,86.301,87.066,84.355,87.105,86.185,85.728,87.541,85.632,85.720,86.476,84.863,85.946,87.644,85.560,85.864,86.600,85.264,87.167,86.725,88.715,87.019,87.435,86.627,84.962,87.156,86.445,84.244,86.640,87.062
RH,NDJF,84.773,86.588,86.751,86.281,87.118,85.406,86.089,88.887,86.025,87.171,86.313,86.239,87.639,88.435,87.394,86.280,87.656,88.152,88.066,88.148,89.695,87.418,88.814,88.608,85.475,88.428,87.411,85.806,87.806,89.305
RHmin,year,69.059,68.834,68.436,69.955,69.231,68.080,70.755,68.518,67.528,67.905,68.165,67.336,69.650,68.813,67.330,68.789,68.032,70.621,70.049,72.547,70.984,70.781,68.443,70.223,69.341,70.738,69.822,67.574,69.157,69.560
RHmin,MAMJJASO,66.898,64.891,65.946,65.494,67.089,65.208,68.297,65.241,63.827,63.971,64.927,62.964,65.908,64.644,64.370,64.970,63.144,67.623,67.083,69.248,68.624,67.069,63.746,67.415,66.254,66.908,66.709,63.254,64.119,66.481
RHmin,AMJJAS,64.554,61.624,64.158,63.241,64.835,62.156,66.937,63.213,60.801,61.971,62.842,60.862,64.275,62.565,61.848,62.250,61.679,67.349,65.002,67.281,66.620,65.980,62.612,65.787,64.892,65.402,66.248,61.176,62.124,64.900
RHmin,ONDJFM,75.129,74.001,75.425,73.190,76.024,73.330,73.732,76.586,73.486,73.015,74.458,72.592,73.583,76.791,73.762,74.157,74.364,73.745,75.640,75.054,77.796,74.811,75.723,74.580,73.507,75.285,75.402,72.864,75.712,75.980
