Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,14.217,15.267,15.749,14.129,13.288,14.321,13.185,14.791,15.930,15.748,14.537,15.596,14.417,15.566,14.881,13.369,14.491,14.732,15.667,16.377,14.866,15.996,15.519,15.003,15.388,15.859,16.070,16.111,15.427,14.364
TMAX,MAMJJASO,18.957,19.887,20.351,18.354,18.364,18.997,17.670,19.065,20.037,19.605,18.925,20.091,18.800,19.890,19.725,18.177,18.790,19.091,20.379,20.488,19.504,20.762,20.168,19.516,20.026,20.651,20.626,19.988,20.022,19.583
TMAX,AMJJAS,21.033,22.087,22.890,20.356,20.726,21.233,20.124,21.658,21.967,21.162,21.048,23.054,21.294,22.517,21.840,20.737,21.266,21.663,22.857,22.561,21.532,23.579,23.305,21.612,22.577,23.439,22.947,22.247,23.120,22.160
TMAX,ONDJFM,6.495,7.202,9.303,7.696,6.112,6.792,6.406,8.380,9.316,10.345,8.459,8.366,7.625,7.942,8.698,5.447,7.930,8.567,7.423,8.330,9.861,9.253,6.737,7.793,8.395,6.968,11.216,8.810,8.469,7.169
TMAX,NDJF,4.067,4.336,7.293,5.642,2.815,4.134,4.345,6.797,6.947,7.999,5.712,6.312,6.271,5.504,7.269,2.304,5.300,7.309,4.731,6.346,7.711,6.358,4.254,6.218,6.420,4.306,8.976,7.018,6.306,4.882
TMIN,year,6.326,6.366,6.930,6.453,5.583,5.899,5.308,6.646,7.179,7.039,6.199,6.716,6.095,6.881,6.352,5.480,6.333,6.655,7.076,7.469,6.817,7.097,6.354,6.585,6.315,6.826,7.346,7.394,6.691,6.008
TMIN,MAMJJASO,9.614,9.247,9.988,9.276,9.443,9.101,8.478,9.291,9.737,9.215,9.080,9.335,8.996,9.535,9.675,8.864,9.106,9.695,10.047,9.904,10.138,10.377,9.318,9.451,8.994,9.961,10.084,9.716,9.596,9.747
TMIN,AMJJAS,11.034,10.730,11.534,10.711,11.027,10.809,10.460,11.233,10.932,10.463,10.590,11.273,10.705,11.338,11.143,10.678,10.874,11.535,11.717,11.113,11.588,12.336,11.527,10.806,10.890,11.939,11.786,11.164,11.355,12.027
TMIN,ONDJFM,0.728,1.236,3.054,1.644,0.273,0.903,-0.145,2.942,2.687,3.583,2.225,2.242,1.606,2.063,2.388,-0.538,1.699,2.558,1.518,2.586,3.381,2.604,0.281,1.735,2.351,0.483,4.222,2.791,2.578,1.110
TMIN,NDJF,-0.727,-0.759,1.914,0.342,-2.534,-1.002,-1.395,2.356,1.642,2.033,0.770,1.221,0.943,0.510,1.736,-2.794,0.029,2.030,-0.318,1.317,2.141,0.621,-1.479,0.838,1.423,-0.978,3.259,1.860,1.167,-0.413
TAVG,year,10.104,10.640,11.206,10.066,9.239,9.930,9.047,10.573,11.439,11.237,10.221,11.077,10.150,11.171,10.511,9.168,10.166,10.427,11.145,11.676,10.599,11.290,10.690,10.572,10.597,11.116,11.455,11.518,10.820,9.979
TAVG,MAMJJASO,14.045,14.402,15.031,13.575,13.655,13.845,12.819,14.026,14.793,14.268,13.842,14.659,13.790,14.721,14.601,13.260,13.700,14.145,14.988,14.953,14.571,15.328,14.516,14.240,14.252,15.108,15.106,14.659,14.565,14.432
TAVG,AMJJAS,15.832,16.342,17.110,15.345,15.652,15.884,15.074,16.346,16.437,15.768,15.734,17.219,15.953,17.041,16.508,15.500,15.902,16.399,17.152,16.683,16.394,17.787,17.277,16.037,16.583,17.594,17.192,16.630,17.028,16.921
TAVG,ONDJFM,3.423,4.010,5.971,4.470,2.972,3.660,2.931,5.450,5.754,6.734,5.114,5.089,4.434,4.813,5.330,2.225,4.450,5.225,4.155,5.183,6.238,5.587,3.184,4.477,5.052,3.377,7.324,5.455,5.199,3.873
