Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,14.140,15.200,15.644,14.042,13.242,14.249,13.116,14.716,15.840,15.651,14.459,15.523,14.338,15.485,14.802,13.292,14.425,14.650,15.598,16.288,14.794,15.896,15.453,14.912,15.305,15.806,15.999,16.021,15.363,14.295
TMAX,MAMJJASO,18.855,19.803,20.219,18.239,18.283,18.890,17.568,18.957,19.933,19.490,18.822,19.998,18.696,19.788,19.611,18.064,18.699,18.976,20.278,20.376,19.404,20.626,20.068,19.401,19.913,20.562,20.527,19.874,19.945,19.482
TMAX,AMJJAS,20.924,21.989,22.748,20.228,20.617,21.110,20.005,21.534,21.856,21.035,20.917,22.955,21.165,22.400,21.708,20.596,21.161,21.526,22.746,22.442,21.414,23.430,23.182,21.485,22.432,23.330,22.837,22.125,23.031,22.049
TMAX,ONDJFM,6.453,7.164,9.247,7.632,6.119,6.789,6.380,8.346,9.259,10.281,8.428,8.327,7.579,7.888,8.662,5.472,7.886,8.526,7.404,8.291,9.814,9.214,6.719,7.767,8.341,6.983,11.176,8.772,8.420,7.146
TMAX,NDJF,4.037,4.315,7.240,5.596,2.846,4.136,4.344,6.777,6.895,7.948,5.684,6.284,6.224,5.457,7.244,2.347,5.270,7.272,4.739,6.321,7.679,6.340,4.252,6.204,6.367,4.339,8.946,6.999,6.270,4.881
TMIN,year,6.250,6.288,6.853,6.372,5.532,5.820,5.229,6.560,7.077,6.951,6.114,6.610,6.012,6.781,6.245,5.367,6.240,6.585,6.982,7.386,6.725,7.001,6.251,6.492,6.229,6.750,7.256,7.297,6.600,5.914
TMIN,MAMJJASO,9.531,9.171,9.897,9.189,9.365,9.005,8.374,9.190,9.632,9.125,8.986,9.215,8.901,9.418,9.547,8.720,9.001,9.606,9.926,9.810,10.017,10.261,9.199,9.345,8.893,9.851,9.969,9.602,9.488,9.614
TMIN,AMJJAS,10.945,10.643,11.431,10.619,10.937,10.703,10.358,11.118,10.815,10.366,10.490,11.150,10.602,11.211,11.004,10.518,10.759,11.437,11.586,11.003,11.455,12.206,11.403,10.695,10.772,11.807,11.667,11.049,11.229,11.872
TMIN,ONDJFM,0.655,1.143,3.019,1.572,0.255,0.857,-0.186,2.880,2.611,3.507,2.147,2.166,1.518,1.996,2.312,-0.578,1.607,2.497,1.472,2.519,3.332,2.549,0.219,1.658,2.276,0.467,4.171,2.724,2.500,1.071
TMIN,NDJF,-0.808,-0.853,1.871,0.269,-2.534,-1.042,-1.414,2.311,1.549,1.958,0.688,1.145,0.862,0.450,1.674,-2.813,-0.059,1.975,-0.352,1.257,2.095,0.578,-1.525,0.771,1.347,-0.985,3.223,1.810,1.098,-0.421
TAVG,year,10.026,10.566,11.116,9.982,9.181,9.851,8.975,10.490,11.342,11.151,10.139,10.991,10.074,11.085,10.423,9.074,10.088,10.350,11.062,11.590,10.522,11.192,10.604,10.478,10.504,11.050,11.376,11.427,10.744,9.898
TAVG,MAMJJASO,13.951,14.321,14.918,13.475,13.563,13.739,12.715,13.918,14.686,14.171,13.743,14.557,13.693,14.612,14.485,13.133,13.603,14.041,14.875,14.850,14.467,15.202,14.406,14.127,14.136,15.006,14.999,14.548,14.473,14.318
