Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,23.153,22.155,22.210,21.567,22.487,21.800,22.743,22.032,23.320,22.966,22.545,22.514,21.241,22.602,23.814,22.237,23.498,23.255,22.580,22.741,22.713,22.780,23.174,23.087,23.489,23.484,22.895,22.625,23.809,23.154
TMAX,MAMJJASO,25.881,25.609,25.333,24.818,26.092,25.285,26.258,25.199,26.816,26.751,26.388,25.908,24.201,25.890,27.405,25.836,27.084,26.485,25.978,26.100,26.334,25.948,27.150,26.709,27.745,27.578,26.265,25.773,27.840,27.355
TMAX,AMJJAS,27.452,27.398,26.280,26.628,27.668,26.875,28.534,26.376,28.112,28.681,28.869,27.836,26.031,27.071,28.676,27.495,27.615,27.642,27.851,27.433,28.206,27.418,29.277,28.925,29.736,29.780,27.829,27.422,28.945,29.851
TMAX,ONDJFM,16.973,18.740,16.758,17.197,16.661,17.124,17.528,16.919,18.158,18.514,15.985,17.124,17.002,16.735,18.500,17.699,19.129,18.932,17.924,17.805,17.356,17.743,17.497,17.034,17.168,16.714,17.724,18.601,17.700,17.427
TMAX,NDJF,15.937,17.394,14.585,15.706,14.943,14.722,15.403,15.472,16.104,16.180,14.227,15.267,15.840,14.855,16.713,15.448,16.034,16.473,16.212,15.834,15.631,15.656,15.367,15.724,15.044,14.514,15.909,17.025,14.960,15.156
TMIN,year,11.207,10.951,11.029,10.440,10.743,10.355,11.658,10.945,11.956,11.508,10.913,10.700,10.392,10.987,11.988,11.244,12.235,11.326,10.801,10.965,11.196,11.310,11.670,11.037,10.786,11.776,10.642,10.710,11.334,11.475
TMIN,MAMJJASO,13.494,12.941,13.075,12.348,12.816,12.563,13.900,12.879,13.901,13.927,13.412,12.931,12.488,13.040,13.848,13.266,14.259,13.599,13.527,13.062,13.697,13.135,14.149,13.420,13.895,14.610,12.978,12.824,13.570,13.878
TMIN,AMJJAS,14.424,14.278,13.992,13.659,14.044,13.497,15.240,13.939,14.848,15.056,14.731,14.228,13.687,13.606,14.846,14.445,15.001,14.780,14.617,14.266,14.222,13.818,15.316,14.692,15.049,15.576,14.245,14.078,14.337,15.303
TMIN,ONDJFM,5.768,8.511,7.140,7.666,7.594,7.377,7.496,8.198,7.764,9.552,7.253,6.650,7.436,7.506,8.520,9.130,8.532,9.615,6.536,7.136,8.839,7.554,8.584,7.960,6.194,7.184,8.418,7.513,6.801,8.383
TMIN,NDJF,4.032,7.902,5.772,7.045,7.010,6.326,5.857,7.698,6.345,8.647,5.582,5.413,6.602,6.288,7.430,8.201,7.384,8.525,5.031,5.483,7.837,5.664,7.099,7.209,4.171,5.149,7.211,6.531,5.282,7.096
TAVG,year,17.072,16.484,16.551,15.971,16.554,16.035,17.139,16.433,17.589,17.210,16.686,16.530,15.736,16.695,17.836,16.696,17.821,17.230,16.652,16.771,16.886,16.974,17.353,17.036,17.094,17.582,16.679,16.566,17.477,17.250
TAVG,MAMJJASO,19.547,19.168,19.110,18.521,19.361,18.848,20.017,18.936,20.287,20.293,19.825,19.321,18.236,19.361,20.542,19.475,20.621,19.958,19.739,19.484,19.949,19.443,20.563,19.977,20.733,21.010,19.488,19.185,20.615,20.546
TAVG,AMJJAS,20.791,20.712,19.997,20.076,20.734,20.085,21.800,20.057,21.410,21.812,21.701,20.904,19.728,20.219,21.671,20.880,21.256,21.123,21.211,20.745,21.145,20.509,22.197,21.683,22.296,22.587,20.880,20.626,21.551,22.490
TAVG,ONDJFM,11.297,13.578,11.933,12.458,12.125,12.257,12.496,12.540,12.930,14.030,11.622,11.871,12.208,12.059,13.430,13.427,13.770,14.271,12.161,12.419,13.052,12.601,12.998,12.480,11.773,11.946,13.057,12.992,12.168,12.827
TAVG,NDJF,9.917,12.621,10.163,11.415,11.005,10.536,10.562,11.606,11.240,12.425,9.917,10.320,11.218,10.502,12.000,11.830,11.681,12.494,10.563,10.578,11.695,10.619,11.210,11.449,9.738,9.871,11.553,11.743,10.049,11.019
