Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,17.709,17.799,18.564,17.011,16.731,17.657,16.985,17.754,18.090,18.582,17.064,18.801,17.955,19.106,17.815,16.752,17.593,18.018,17.934,19.775,18.213,19.071,18.926,17.664,17.574,18.389,19.550,19.378,19.137,17.554
TMAX,MAMJJASO,22.827,22.851,23.777,21.669,21.955,23.019,21.850,22.432,22.724,23.150,21.899,23.782,23.137,23.819,22.682,21.553,22.118,22.585,23.252,24.608,23.398,23.794,24.518,22.436,22.539,23.359,24.553,23.690,24.406,22.233
TMAX,AMJJAS,24.755,25.253,26.264,23.699,24.468,25.760,24.733,25.056,24.505,24.890,24.185,26.764,25.810,26.485,24.820,24.167,24.569,25.118,25.621,27.044,25.215,26.252,27.905,24.712,24.927,25.719,27.354,25.910,27.475,24.791
TMAX,ONDJFM,9.757,9.696,11.641,9.961,8.860,9.799,8.935,11.100,10.660,12.626,10.665,10.437,9.996,11.403,11.083,8.935,10.675,11.802,9.816,10.360,13.157,11.406,10.002,10.276,10.431,9.791,13.832,10.937,11.397,10.759
TMAX,NDJF,6.657,6.434,9.142,7.304,5.541,7.434,6.507,9.132,7.508,9.733,7.605,8.224,7.920,8.438,9.437,5.804,7.996,10.483,6.528,7.655,10.543,7.803,7.158,8.447,7.793,6.953,11.409,8.656,8.698,8.196
TMIN,year,8.368,8.562,8.541,8.068,7.528,7.862,7.965,8.322,8.875,8.458,8.080,9.032,8.444,9.638,8.546,8.158,8.146,8.698,9.048,9.442,8.880,9.016,7.922,8.173,7.826,8.429,8.824,8.907,8.796,8.458
TMIN,MAMJJASO,12.108,12.156,12.246,11.165,11.311,11.416,11.407,11.631,12.234,11.352,11.788,12.368,12.166,12.935,11.928,11.721,11.041,12.344,12.879,12.673,12.844,12.269,11.726,11.462,11.412,11.809,11.945,11.903,12.134,11.918
TMIN,AMJJAS,13.569,13.906,14.351,12.744,13.360,13.724,13.688,13.698,14.018,12.956,13.586,14.520,13.996,15.133,13.879,13.798,13.290,14.385,14.897,14.439,14.235,14.440,14.239,13.126,13.621,13.889,13.856,13.724,14.065,14.330
TMIN,ONDJFM,1.832,2.549,4.317,2.323,1.801,2.583,1.268,4.277,2.947,3.598,3.161,2.944,2.809,4.169,3.682,1.812,3.335,3.443,2.829,3.109,5.071,3.147,1.931,2.527,2.678,2.071,4.798,3.069,3.629,3.389
TMIN,NDJF,-0.306,0.337,2.709,0.759,-0.731,1.455,0.206,3.196,1.060,1.936,1.323,1.589,1.325,2.144,2.764,0.087,1.816,3.109,0.404,1.333,3.453,0.679,0.268,1.444,1.104,0.400,3.700,1.599,2.167,1.855
TAVG,year,12.814,12.965,13.334,12.331,11.923,12.624,12.289,12.784,13.189,13.285,12.333,13.724,12.910,14.103,12.973,12.326,12.754,13.155,13.274,14.425,13.283,13.726,13.122,12.587,12.356,13.072,13.904,13.789,13.689,12.674
TAVG,MAMJJASO,17.272,17.331,17.839,16.235,16.433,17.145,16.443,16.813,17.227,17.085,16.626,17.933,17.376,18.141,17.096,16.526,16.484,17.317,17.842,18.526,17.879,17.734,17.889,16.626,16.656,17.246,17.989,17.464,17.982,16.712
TAVG,AMJJAS,19.036,19.485,20.210,18.093,18.746,19.733,19.067,19.242,19.047,18.837,18.747,20.584,19.692,20.629,19.223,18.931,18.919,19.674,20.076,20.732,19.568,20.073,20.900,18.616,19.003,19.521,20.391,19.549,20.526,19.228
TAVG,ONDJFM,5.512,5.776,7.676,5.793,5.083,5.937,4.845,7.374,6.459,7.689,6.585,6.349,6.027,7.425,7.045,5.183,6.765,7.350,6.053,6.429,8.747,6.858,5.641,5.993,6.145,5.536,8.905,6.634,7.123,6.782
TAVG,NDJF,2.892,3.094,5.663,3.681,2.210,4.183,3.126,5.879,3.978,5.377,4.171,4.646,4.251,4.992,5.799,2.841,4.717,6.576,3.212,4.229,6.669,3.872,3.408,4.498,4.040,3.326,7.199,4.781,5.103,4.790
RH,year,70.801,72.815,70.189,74.227,74.160,71.297,71.991,71.925,72.793,69.470,72.544,66.635,68.517,71.996,71.797,73.563,70.275,70.804,72.781,67.099,70.715,72.258,70.049,74.808,74.101,74.230,68.710,71.608,71.991,77.412
RH,MAMJJASO,67.480,68.571,65.725,69.218,70.660,66.268,67.682,67.323,68.882,63.772,69.326,60.745,62.985,67.456,67.648,69.311,64.283,67.180,67.963,60.592,66.853,67.852,63.341,71.685,70.238,70.149,63.012,68.396,65.946,74.162
RH,AMJJAS,65.507,66.324,64.227,68.202,68.318,63.634,66.686,65.578,68.373,62.804,67.644,57.467,59.681,65.537,65.612,67.721,63.681,67.126,67.317,57.729,63.858,67.043,60.589,69.480,69.520,69.179,60.265,67.136,63.376,74.713
RH,ONDJFM,72.978,77.965,78.412,77.437,80.882,81.054,76.440,79.188,77.713,73.893,78.505,75.270,76.315,79.071,77.844,79.807,77.859,73.065,78.397,77.512,77.618,75.975,78.965,80.567,78.811,80.324,77.394,75.274,80.113,79.699
RH,NDJF,74.466,80.641,80.534,81.513,81.517,83.262,79.853,83.602,81.521,77.491,81.122,78.264,78.300,82.073,79.649,82.905,82.015,78.427,81.879,80.696,80.724,79.019,83.111,82.295,81.174,82.879,81.234,77.767,82.803,84.410
RHmin,year,53.488,55.427,52.141,56.962,56.374,53.838,55.163,54.198,55.111,51.739,55.242,50.311,51.685,54.310,54.665,57.273,53.606,53.709,55.973,49.955,53.574,53.685,50.674,56.099,55.031,54.964,50.449,52.135,53.374,58.598
RHmin,MAMJJASO,49.340,50.328,47.114,50.908,51.796,47.795,49.949,49.043,50.579,45.351,51.499,43.946,45.799,49.130,49.410,52.297,46.624,50.040,50.136,43.326,49.281,48.521,43.846,51.764,50.428,49.697,43.955,48.142,46.231,54.332
