Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,14.907,16.034,15.929,14.966,14.124,14.928,14.258,15.660,16.590,16.427,15.205,16.115,15.200,16.353,16.235,14.384,16.023,15.713,16.624,16.341,16.010,16.442,16.894,16.196,16.502,17.006,16.778,16.295,16.439,14.908
TMAX,MAMJJASO,18.640,19.580,19.324,17.798,18.024,18.343,17.787,18.373,19.878,19.533,18.880,19.439,18.658,19.397,20.019,18.323,19.669,18.839,20.190,19.434,19.432,19.670,20.714,19.703,20.126,20.661,20.043,19.474,20.337,19.386
TMAX,AMJJAS,20.369,21.506,21.205,19.293,19.787,19.891,19.617,20.182,21.312,20.805,20.155,21.773,20.489,21.259,21.731,20.153,21.424,20.680,22.108,21.248,21.013,21.542,23.012,21.480,21.611,22.829,21.823,21.540,22.503,21.204
TMAX,ONDJFM,9.064,9.322,10.777,10.209,9.352,8.826,9.550,10.823,11.695,12.313,10.716,10.435,10.421,9.882,11.660,8.948,9.998,11.420,10.310,11.170,10.763,12.043,10.731,10.763,10.748,10.425,13.188,11.214,9.881,9.829
TMAX,NDJF,6.941,7.579,9.178,8.701,7.418,6.588,7.902,9.526,10.106,10.540,7.955,8.683,9.234,8.108,10.829,6.338,7.422,10.004,8.662,9.743,9.482,9.835,8.684,9.706,8.868,8.278,11.524,10.088,7.910,7.621
TMIN,year,7.212,7.659,7.722,7.251,6.440,6.556,6.772,8.177,7.852,7.869,6.860,8.062,7.225,8.077,7.614,6.034,7.509,7.968,8.152,8.533,7.969,8.184,7.156,7.736,7.862,8.518,8.403,7.907,7.634,6.408
TMIN,MAMJJASO,9.906,9.971,10.086,9.001,9.364,8.734,9.129,9.926,9.974,9.524,9.245,10.136,9.411,10.014,10.076,8.467,9.748,10.248,10.421,10.445,10.456,10.189,9.354,9.955,10.003,10.776,10.348,9.916,9.942,9.276
TMIN,AMJJAS,10.988,11.144,11.485,10.071,10.652,9.766,10.627,11.144,10.702,10.284,10.121,11.783,10.880,11.395,11.319,9.758,10.996,11.517,11.712,11.558,11.269,11.760,11.164,11.236,10.940,12.129,11.786,11.349,11.413,10.432
TMIN,ONDJFM,3.188,2.754,4.790,3.482,3.048,2.650,3.048,5.069,5.322,5.435,3.984,4.188,3.922,3.855,4.891,2.312,3.446,4.745,4.150,4.802,4.880,5.302,3.363,3.856,4.223,4.016,6.520,4.543,3.458,3.464
TMIN,NDJF,1.514,1.495,3.729,2.711,1.328,1.258,2.219,4.456,4.355,4.216,2.215,3.132,3.763,2.594,4.841,0.666,1.840,4.157,2.961,3.854,4.012,3.781,2.398,3.842,3.047,2.785,5.693,4.009,2.354,2.281
TAVG,year,11.119,11.883,11.903,11.145,10.364,10.864,10.621,11.958,12.302,12.286,11.154,12.156,11.282,12.311,12.011,10.339,11.852,11.894,12.472,12.505,12.060,12.367,12.148,12.044,12.267,12.861,12.672,12.203,12.185,10.878
TAVG,MAMJJASO,14.279,14.800,14.759,13.463,13.733,13.653,13.530,14.159,15.050,14.698,14.204,14.865,14.099,14.774,15.109,13.529,14.775,14.579,15.354,14.976,14.974,14.943,15.190,14.875,15.136,15.821,15.268,14.787,15.269,14.501
TAVG,AMJJAS,15.701,16.389,16.398,14.764,15.299,15.000,15.228,15.675,16.177,15.769,15.341,16.859,15.798,16.421,16.605,15.160,16.300,16.102,16.987,16.433,16.211,16.662,17.307,16.429,16.400,17.605,16.891,16.538,17.079,16.035
TAVG,ONDJFM,6.166,6.095,7.860,6.891,6.244,5.825,6.393,8.004,8.580,8.843,7.419,7.377,7.208,6.920,8.344,5.711,6.807,8.164,7.346,8.093,7.889,8.741,7.133,7.355,7.583,7.234,9.930,7.977,6.802,6.850
TAVG,NDJF,4.325,4.653,6.580,5.785,4.431,4.107,5.179,7.105,7.318,7.353,5.193,6.009,6.543,5.441,7.977,3.641,4.771,7.179,5.933,6.959,6.839,6.964,5.676,6.840,6.094,5.640,8.699,7.149,5.283,5.224
RH,year,83.202,81.110,81.057,82.479,83.334,80.949,82.924,82.479,80.486,80.977,82.138,82.436,84.245,83.361,83.125,81.845,82.692,85.420,82.935,83.865,83.682,82.985,79.955,82.470,82.518,81.234,83.335,82.399,81.916,82.084
RH,MAMJJASO,80.373,78.179,78.493,80.066,81.489,78.463,80.217,79.781,76.735,77.563,79.156,78.944,81.513,80.623,80.470,79.205,79.882,83.699,79.782,81.818,80.430,80.480,76.444,78.907,79.501,77.788,80.572,79.445,78.329,78.085
RH,AMJJAS,78.505,75.942,76.753,78.859,79.862,76.496,79.562,77.317,74.644,75.957,77.743,76.717,80.793,79.261,78.992,77.324,78.216,82.651,77.934,79.870,78.333,79.717,74.661,77.689,77.822,75.527,79.462,77.285,76.157,76.363
RH,ONDJFM,87.772,86.309,86.689,85.142,86.817,85.695,85.740,87.481,87.563,85.206,86.515,87.657,86.939,88.050,87.366,86.753,87.452,86.939,89.165,87.756,88.456,86.666,85.606,86.715,87.334,87.537,86.580,86.873,88.996,87.159
RH,NDJF,89.033,87.402,87.003,86.994,86.626,86.467,87.403,88.368,89.172,86.433,88.476,89.432,89.113,88.969,89.475,87.564,87.866,88.310,90.153,88.483,89.107,88.449,87.581,88.515,89.095,89.433,88.377,87.575,90.338,89.412
