Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,8.067,9.106,9.218,9.060,7.161,8.455,7.520,9.092,10.259,10.189,9.302,9.638,8.832,9.207,8.997,8.694,9.796,8.558,9.503,10.207,9.189,10.021,10.083,9.713,10.203,10.627,10.090,10.070,9.517,8.074
TMAX,MAMJJASO,12.926,13.393,13.481,13.356,12.823,13.236,12.123,13.561,14.092,14.184,13.292,13.232,12.807,13.820,13.495,13.358,14.110,12.572,14.056,14.003,13.512,15.068,14.569,14.047,14.296,14.721,14.691,13.862,14.139,13.805
TMAX,AMJJAS,15.924,15.851,16.098,16.081,15.058,15.468,14.361,16.632,16.538,16.350,15.720,16.226,15.276,16.667,15.681,15.734,16.981,14.970,16.727,16.191,16.170,18.557,17.276,16.644,16.803,18.098,16.764,16.506,17.279,16.564
TMAX,ONDJFM,-0.602,0.562,2.910,1.496,0.295,0.516,0.546,2.070,3.523,3.631,2.740,4.172,2.507,0.647,3.086,1.437,2.700,2.286,1.428,3.365,3.001,3.259,1.190,2.594,3.050,2.713,4.031,3.806,2.420,0.690
TMAX,NDJF,-1.250,-2.126,1.510,-0.364,-2.304,-3.030,-1.772,0.303,1.907,1.746,0.675,2.908,1.695,-1.558,1.730,-1.346,0.511,0.934,-0.727,1.689,1.426,1.142,-1.026,0.924,1.732,1.191,1.940,2.460,0.494,-1.391
TMIN,year,-0.429,0.912,1.165,1.401,-1.034,0.325,-0.295,1.167,2.236,2.490,1.687,1.825,1.025,0.771,1.099,0.500,1.590,1.299,1.556,2.645,1.354,1.667,1.565,1.607,1.916,2.276,2.001,2.064,1.610,-0.148
TMIN,MAMJJASO,3.867,4.625,5.085,4.812,4.380,4.574,3.954,4.799,5.151,5.462,4.990,4.514,4.047,4.466,4.960,4.451,4.860,4.599,5.272,5.452,4.907,5.601,5.406,5.278,4.860,5.202,5.674,4.779,5.127,4.876
TMIN,AMJJAS,6.365,6.170,7.144,7.062,6.135,6.133,5.833,7.259,6.841,7.165,6.763,6.805,6.027,6.665,6.450,6.246,6.999,6.747,7.180,7.084,7.245,8.334,7.580,7.275,7.211,8.003,7.381,6.734,7.530,7.226
TMIN,ONDJFM,-9.094,-6.364,-3.893,-5.621,-6.151,-6.857,-6.749,-3.636,-3.293,-2.714,-3.615,-1.986,-4.079,-6.030,-3.063,-5.686,-4.143,-3.963,-4.673,-3.412,-2.910,-3.454,-5.666,-4.417,-3.918,-4.255,-2.519,-2.362,-3.992,-5.813
TMIN,NDJF,-9.132,-9.491,-5.457,-7.214,-9.064,-10.485,-8.883,-5.202,-4.832,-4.129,-5.471,-3.196,-4.417,-7.887,-4.290,-8.171,-6.348,-4.717,-6.686,-4.729,-3.835,-5.209,-7.940,-5.674,-4.702,-4.854,-4.249,-3.065,-5.750,-7.289
TAVG,year,3.858,5.050,5.216,5.256,3.068,4.385,3.589,5.160,6.278,6.333,5.475,5.755,4.900,5.012,5.012,4.577,5.732,4.868,5.527,6.377,5.245,5.859,5.808,5.630,6.030,6.445,6.019,6.102,5.540,3.930
TAVG,MAMJJASO,8.369,8.985,9.238,9.053,8.540,8.828,7.949,9.152,9.595,9.755,9.049,8.849,8.342,9.136,9.118,8.816,9.485,8.450,9.612,9.610,9.149,10.296,9.901,9.563,9.485,9.911,10.080,9.297,9.574,9.220
