Variable,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
TMAX,year,12.820,13.250,14.104,12.252,12.418,13.002,12.497,13.378,13.859,13.922,12.662,14.158,13.431,14.645,13.082,11.973,13.440,13.659,13.474,14.674,13.552,14.295,14.543,13.174,12.932,13.880,14.530,14.199,13.813,12.584
TMAX,MAMJJASO,17.452,17.532,18.579,16.064,17.161,17.728,16.661,17.454,17.525,17.950,16.946,18.306,17.664,18.658,17.370,16.164,17.299,17.736,18.077,18.921,18.185,18.206,19.394,17.374,17.694,18.318,18.756,17.919,18.438,17.139
TMAX,AMJJAS,19.209,19.773,20.766,17.783,19.452,19.931,19.204,19.793,18.767,19.332,18.804,21.161,20.057,20.837,19.135,18.448,19.466,20.032,20.134,21.153,19.537,20.248,22.421,19.350,19.726,20.418,21.286,19.985,21.260,19.528
TMAX,ONDJFM,5.263,6.090,7.561,6.376,5.859,5.667,5.743,7.271,8.320,9.243,7.043,6.836,6.746,7.630,7.552,5.590,7.220,7.947,6.436,6.814,8.382,8.252,6.977,6.490,6.686,5.648,9.958,7.164,6.632,6.344
TMAX,NDJF,2.344,3.574,5.495,4.135,3.250,3.051,3.796,5.768,5.640,6.731,3.922,4.979,5.436,5.020,6.386,2.632,4.967,6.731,3.747,4.362,5.996,4.984,4.458,5.181,4.112,2.809,7.932,5.534,4.221,4.163
TMIN,year,4.093,4.578,4.604,3.832,3.620,3.939,4.069,4.700,4.819,4.496,4.008,5.181,4.584,5.697,4.674,3.910,4.665,4.943,5.102,5.627,4.886,5.645,4.929,4.740,4.417,5.055,5.466,5.495,5.332,4.532
TMIN,MAMJJASO,7.732,7.820,8.003,6.563,7.235,7.487,7.232,7.721,7.829,7.447,7.487,8.168,7.779,8.508,7.908,7.214,7.401,8.234,8.658,8.727,8.457,8.540,8.455,7.878,7.940,8.472,8.368,8.275,8.786,8.069
TMIN,AMJJAS,9.132,9.534,9.783,8.072,8.952,9.258,9.307,9.312,9.266,8.688,8.991,10.164,9.555,10.338,9.494,8.993,9.097,10.048,10.388,10.193,9.488,10.374,10.830,9.424,9.830,10.393,10.209,10.029,10.805,10.172
TMIN,ONDJFM,-2.293,-1.173,0.399,-1.334,-1.279,-1.385,-1.873,0.573,0.678,0.182,-0.566,-0.389,-0.411,0.551,0.298,-1.185,0.098,0.325,-0.389,-0.304,1.450,0.361,-0.294,-0.691,-0.383,-1.347,1.969,0.082,0.076,-0.421
TMIN,NDJF,-4.643,-3.051,-1.081,-2.835,-3.347,-3.200,-2.974,-0.600,-1.240,-1.579,-2.925,-1.669,-1.479,-1.382,-0.218,-3.141,-1.709,-0.382,-2.480,-2.167,-0.400,-2.005,-1.912,-1.463,-2.094,-3.253,0.819,-1.106,-1.562,-1.879
TAVG,year,8.404,8.857,9.292,7.993,7.974,8.434,8.242,8.996,9.265,9.143,8.280,9.615,8.941,10.118,8.836,7.904,8.995,9.241,9.248,10.108,9.177,9.921,9.690,8.917,8.643,9.449,9.945,9.817,9.562,8.549
TAVG,MAMJJASO,12.540,12.623,13.252,11.270,12.156,12.574,11.910,12.562,12.625,12.648,12.170,13.191,12.669,13.543,12.609,11.654,12.303,12.950,13.337,13.792,13.288,13.343,13.887,12.596,12.787,13.388,13.529,13.094,13.607,12.603
TAVG,AMJJAS,14.118,14.605,15.238,12.884,14.156,14.564,14.213,14.524,13.974,13.970,13.856,15.619,14.752,15.557,14.287,13.686,14.241,15.011,15.241,15.643,14.483,15.297,16.604,14.359,14.753,15.401,15.719,15.011,16.026,14.860
TAVG,ONDJFM,1.418,2.405,3.904,2.451,2.253,2.098,1.893,3.863,4.406,4.598,3.176,3.154,3.095,4.008,3.870,2.159,3.589,4.049,2.957,3.199,4.861,4.223,3.279,2.842,3.104,2.121,5.881,3.558,3.338,2.935
