Variable,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
TMAX,year,13.457,13.875,14.040,14.068,12.983,12.691,13.479,13.775,14.430,14.425,13.827,13.710,13.564,13.772,14.706,13.562,14.635,14.301,14.330,14.070,14.102,14.286,14.621,14.315,14.371,14.626,14.872,13.997,13.887,13.103
TMAX,MAMJJASO,15.646,16.183,16.152,16.470,15.361,14.838,15.663,15.728,16.691,16.716,16.286,15.747,15.453,15.589,17.331,15.976,16.905,16.247,16.581,16.403,16.483,16.217,17.015,16.374,16.673,17.005,16.902,16.063,16.447,16.358
TMAX,AMJJAS,16.980,17.514,17.449,18.001,16.477,15.719,17.172,16.870,17.937,17.875,17.545,17.194,16.818,16.511,18.749,17.342,17.993,17.249,17.749,17.654,17.685,17.317,18.262,17.753,17.685,18.416,17.990,17.426,17.440,17.663
TMAX,ONDJFM,10.003,9.736,10.099,10.317,9.705,9.299,10.130,10.193,11.325,10.946,10.104,10.554,10.356,9.935,11.069,10.211,10.477,11.570,11.082,10.904,9.739,11.607,10.856,10.913,10.912,10.576,11.469,11.581,10.163,9.553
TMAX,NDJF,9.129,8.953,8.976,9.661,8.433,7.788,9.151,9.382,10.663,9.638,8.548,9.713,9.910,8.979,10.424,8.978,8.857,10.574,10.092,9.697,8.686,10.370,9.541,10.038,10.053,9.493,10.379,10.713,8.956,7.786
TMIN,year,6.728,6.674,7.176,6.343,6.127,5.763,6.475,6.958,7.137,7.184,6.977,6.836,6.735,7.031,7.345,6.611,7.801,7.701,7.692,7.137,6.942,7.481,7.410,7.451,7.768,7.712,7.765,7.054,7.113,6.046
TMIN,MAMJJASO,8.430,8.413,8.658,8.112,8.255,7.463,8.040,8.525,8.691,8.988,8.920,8.389,8.041,8.351,9.198,8.369,9.465,9.176,9.463,8.750,8.799,8.665,9.110,8.916,9.500,9.485,9.177,8.668,9.210,8.771
TMIN,AMJJAS,9.579,9.489,9.500,9.195,9.207,8.280,9.398,9.331,9.426,9.479,9.810,9.467,9.267,9.036,10.066,9.098,10.276,9.889,10.458,9.619,9.560,9.627,10.377,10.165,10.177,10.459,10.024,9.896,9.988,10.004
TMIN,ONDJFM,4.099,3.380,4.079,4.218,3.037,2.997,3.589,4.130,5.028,5.101,3.902,4.880,4.226,3.792,4.999,4.447,4.565,5.904,5.038,4.902,3.677,5.544,4.702,4.348,5.338,4.762,5.188,5.337,4.044,2.906
TMIN,NDJF,3.468,3.089,3.045,3.774,2.069,1.725,2.853,3.669,4.633,3.777,2.222,4.164,4.017,3.266,4.748,3.269,3.240,5.067,4.375,3.982,2.910,4.531,4.299,3.914,5.005,3.802,4.407,4.770,3.258,1.371
TAVG,year,10.075,10.276,10.607,10.207,9.566,9.230,9.972,10.363,10.787,10.788,10.388,10.248,10.136,10.412,11.008,10.076,11.215,10.985,10.995,10.591,10.504,10.879,11.033,10.909,11.097,11.157,11.303,10.501,10.471,9.531
TAVG,MAMJJASO,12.014,12.307,12.403,12.305,11.814,11.151,11.848,12.123,12.698,12.838,12.588,12.044,11.722,11.982,13.259,12.174,13.181,12.687,12.999,12.555,12.611,12.408,13.064,12.645,13.086,13.226,13.022,12.340,12.804,12.533
TAVG,AMJJAS,13.254,13.496,13.474,13.608,12.838,11.988,13.271,13.095,13.691,13.669,13.664,13.307,13.013,12.788,14.401,13.219,14.132,13.542,14.080,13.613,13.591,13.434,14.323,13.946,13.932,14.411,13.989,13.636,13.686,13.788
TAVG,ONDJFM,7.037,6.561,7.087,7.271,6.373,6.175,6.876,7.157,8.174,8.007,6.981,7.696,7.272,6.873,8.026,7.308,7.499,8.740,8.058,7.883,6.715,8.579,7.817,7.675,8.164,7.719,8.328,8.440,7.072,6.227
TAVG,NDJF,6.294,6.011,6.003,6.715,5.240,4.781,6.004,6.519,7.646,6.691,5.368,6.913,6.948,6.138,7.572,6.094,6.015,7.832,7.236,6.833,5.808,7.476,6.974,7.037,7.589,6.714,7.395,7.718,6.078,4.561
RH,year,84.533,83.914,83.924,82.990,84.241,83.132,83.622,83.998,82.263,82.563,83.346,83.269,83.495,83.856,83.397,82.092,83.199,83.807,83.116,84.082,84.007,84.470,83.109,83.135,83.723,83.014,84.020,84.670,85.310,83.305
RH,MAMJJASO,83.639,82.545,83.132,80.918,83.459,82.836,82.535,82.863,80.642,81.180,82.292,81.942,82.705,82.274,81.455,80.767,82.025,82.847,81.558,82.652,82.445,83.324,81.578,81.380,82.323,81.586,82.911,83.220,83.762,81.411
RH,AMJJAS,83.131,81.964,82.406,79.762,82.895,82.350,81.824,81.886,79.201,80.286,81.188,81.209,82.526,81.621,80.309,79.489,81.325,82.437,81.215,81.827,81.555,82.693,81.210,80.687,81.547,80.303,82.258,82.755,82.910,80.803
RH,ONDJFM,85.637,85.687,85.633,85.513,86.223,84.511,85.095,85.634,85.530,85.174,85.778,85.031,84.882,84.933,86.946,85.331,84.450,85.592,84.964,85.765,86.457,85.864,85.717,85.400,85.930,85.635,86.193,85.747,87.139,88.252
RH,NDJF,85.709,86.813,85.566,86.389,86.915,84.184,85.503,85.846,85.712,85.808,85.735,85.333,85.588,85.772,88.050,85.795,84.560,85.844,86.408,86.333,87.541,86.279,86.554,86.881,86.403,86.249,86.843,86.245,88.113,89.652
RHmin,year,68.819,67.490,68.253,65.815,68.355,67.199,67.520,68.314,66.162,66.310,67.692,67.469,67.822,68.375,66.904,66.595,67.802,68.573,67.953,68.192,67.622,68.817,66.968,67.729,68.764,67.512,67.883,68.509,69.367,67.062
RHmin,MAMJJASO,67.269,65.495,66.541,63.301,67.517,66.277,65.594,66.857,63.756,64.546,66.080,65.640,66.139,66.270,64.161,64.542,65.879,66.999,65.928,65.771,65.549,66.391,64.504,65.176,66.570,65.399,65.988,66.634,67.501,64.908
RHmin,AMJJAS,66.631,64.670,65.203,61.785,66.854,65.834,64.904,65.531,61.807,62.645,64.586,64.518,65.886,65.402,62.407,62.383,64.957,66.216,65.470,64.514,64.120,65.732,64.443,64.531,65.398,63.702,65.191,66.219,66.511,64.428
RHmin,ONDJFM,71.041,70.199,70.804,70.600,69.814,69.254,69.325,70.666,70.295,70.829,70.423,71.031,69.899,70.011,71.876,71.146,70.044,71.735,70.283,70.997,71.395,71.106,70.992,69.737,72.358,71.543,70.866,70.516,71.696,71.437
RHmin,NDJF,71.541,72.118,70.785,71.705,70.814,69.312,70.024,71.511,70.950,71.138,69.909,71.457,70.980,71.531,73.578,71.466,70.536,72.257,72.085,72.002,72.790,71.883,73.544,71.903,73.950,72.279,71.970,71.485,73.313,72.703
PREC,year,1280.992,1413.962,1221.305,1208.371,1267.937,1428.006,1113.164,1365.668,1229.594,1401.749,1174.439,1256.796,1307.665,1442.970,1279.386,1234.951,1280.273,1482.095,1392.759,1410.441,961.140,1207.692,839.102,982.015,940.009,1261.302,1213.688,1471.050,1535.743,934.854
PREC,MAMJJASO,857.914,795.891,745.868,576.790,874.107,859.080,729.043,871.152,758.753,671.983,722.874,817.603,745.079,762.635,627.898,754.071,734.510,914.954,747.017,793.506,640.055,647.776,505.807,653.202,589.098,758.545,696.051,957.133,903.360,633.707
PREC,AMJJAS,559.154,486.505,469.416,361.424,688.815,580.982,483.889,566.438,406.114,409.544,457.539,605.386,613.078,540.266,327.696,440.571,580.260,599.700,610.331,522.778,432.044,438.930,380.354,427.257,399.997,501.119,538.539,638.819,693.115,454.409
PREC,ONDJFM,359.245,757.515,888.337,791.657,716.694,637.188,777.895,845.500,766.110,905.290,818.173,684.970,632.065,910.284,922.884,804.275,690.875,780.708,853.212,746.195,859.324,639.269,587.431,515.813,545.451,531.429,884.805,758.184,687.774,782.983
PREC,NDJF,198.969,484.669,596.001,566.661,450.867,419.164,551.374,565.184,426.721,659.103,493.445,410.765,479.666,700.226,738.299,513.046,434.629,562.437,584.241,623.310,544.345,470.868,376.092,366.505,335.000,292.923,652.330,558.599,436.538,545.466
SRAD,year,3198.182,3429.740,3244.071,3468.038,3250.480,3340.450,3252.596,3366.722,3571.434,3525.360,3358.845,3380.740,3168.635,3150.610,3652.121,3466.883,3392.424,3284.597,3394.205,3467.404,3503.678,3396.187,3642.834,3517.105,3426.294,3581.409,3560.934,3454.026,3578.555,3637.821
SRAD,MAMJJASO,2883.863,3103.999,2942.825,3146.216,2905.933,2998.439,2937.939,3023.779,3230.515,3184.040,3021.939,3059.934,2880.754,2855.127,3328.803,3111.052,3071.985,2944.644,3045.447,3121.883,3132.916,3060.362,3274.950,3162.968,3071.807,3219.646,3206.970,3100.464,3234.696,3258.793
SRAD,AMJJAS,2483.510,2652.799,2561.624,2751.521,2498.933,2539.662,2512.627,2609.428,2833.424,2790.239,2637.755,2663.482,2480.758,2426.736,2886.841,2754.632,2638.367,2550.731,2587.262,2695.166,2699.208,2623.673,2757.906,2697.142,2667.348,2801.430,2742.075,2639.982,2782.409,2782.067
SRAD,ONDJFM,407.712,791.189,695.294,688.507,743.100,790.046,763.806,751.282,759.868,728.223,730.530,693.945,709.149,686.050,778.282,712.265,756.782,713.799,810.703,772.956,795.809,805.012,844.133,851.299,754.361,762.984,835.864,793.103,812.651,827.166
SRAD,NDJF,182.213,325.158,314.177,304.820,329.633,354.882,327.081,326.813,342.349,337.332,350.566,319.533,297.561,289.256,310.515,343.384,340.777,328.987,349.784,348.001,358.769,358.450,350.925,368.854,331.217,365.056,362.421,349.932,340.173,372.966
WIND,year,3.589,3.573,3.647,3.482,3.463,3.834,3.221,3.526,3.454,3.710,3.414,3.471,3.489,3.631,3.364,3.240,3.192,3.564,3.612,3.517,3.265,3.428,3.312,3.419,3.354,3.362,3.229,3.295,3.201,2.905
WIND,MAMJJASO,3.467,3.328,3.332,3.198,3.429,3.502,3.159,3.401,3.297,3.390,3.319,3.392,3.084,3.396,3.244,3.107,3.001,3.421,3.413,3.232,3.274,3.164,3.142,3.418,3.236,3.221,3.008,3.219,3.145,3.033
WIND,AMJJAS,3.290,3.116,2.996,3.060,3.495,3.246,3.044,3.246,3.004,3.049,3.295,3.262,3.077,3.130,2.951,2.956,2.931,3.315,3.335,3.070,3.126,3.061,3.083,3.352,3.191,3.112,2.976,2.988,3.129,3.001
WIND,ONDJFM,4.037,3.875,4.231,4.042,3.757,3.757,3.968,3.765,4.013,4.160,3.554,3.729,3.914,4.023,4.134,3.335,3.573,3.407,3.952,3.891,3.713,3.853,3.490,3.503,3.551,3.390,3.801,3.574,3.217,3.043
WIND,NDJF,3.976,3.775,4.470,4.125,3.616,3.835,4.022,3.842,3.992,4.125,3.434,3.608,4.196,4.097,4.295,3.302,3.500,3.584,3.926,4.148,3.642,3.854,3.607,3.472,3.706,3.234,3.942,3.685,3.063,3.085
VPD,year,0.204,0.218,0.223,0.237,0.201,0.207,0.216,0.216,0.256,0.246,0.228,0.229,0.217,0.217,0.249,0.240,0.241,0.226,0.240,0.223,0.222,0.214,0.243,0.239,0.232,0.249,0.229,0.210,0.206,0.224
VPD,MAMJJASO,0.239,0.263,0.262,0.293,0.238,0.236,0.256,0.254,0.308,0.295,0.272,0.272,0.249,0.258,0.310,0.288,0.286,0.262,0.288,0.267,0.270,0.250,0.293,0.288,0.277,0.301,0.267,0.251,0.253,0.283
VPD,AMJJAS,0.264,0.290,0.292,0.332,0.259,0.254,0.286,0.283,0.349,0.325,0.305,0.303,0.272,0.280,0.350,0.324,0.315,0.282,0.313,0.297,0.300,0.274,0.320,0.320,0.303,0.343,0.293,0.277,0.280,0.311
VPD,ONDJFM,0.147,0.144,0.148,0.152,0.137,0.150,0.153,0.149,0.160,0.166,0.148,0.162,0.159,0.154,0.145,0.155,0.165,0.167,0.170,0.157,0.139,0.163,0.155,0.160,0.156,0.156,0.158,0.163,0.135,0.120
VPD,NDJF,0.138,0.127,0.137,0.137,0.119,0.138,0.140,0.140,0.153,0.145,0.131,0.151,0.148,0.138,0.128,0.137,0.147,0.154,0.144,0.140,0.119,0.145,0.135,0.136,0.144,0.138,0.141,0.150,0.115,0.094
FWI_FD,year,0.574,0.711,0.955,1.147,0.384,0.576,0.624,0.577,1.078,0.871,0.874,0.624,0.599,0.480,1.265,0.900,0.695,0.434,0.651,0.515,0.677,0.692,1.198,1.091,1.003,1.062,0.666,0.495,0.437,0.767
FWI_FD,MAMJJASO,0.784,1.026,1.302,1.664,0.488,0.741,0.841,0.778,1.520,1.245,1.224,0.854,0.795,0.681,1.831,1.261,0.972,0.585,0.917,0.729,0.902,0.938,1.626,1.440,1.316,1.456,0.894,0.668,0.598,1.086
FWI_FD,AMJJAS,1.020,1.304,1.684,2.146,0.546,0.786,1.084,0.998,1.972,1.540,1.576,1.041,0.916,0.819,2.381,1.630,1.148,0.711,1.103,0.907,1.141,1.107,1.848,1.774,1.573,1.860,1.103,0.862,0.670,1.310
FWI_FD,ONDJFM,0.121,0.149,0.117,0.225,0.156,0.268,0.299,0.147,0.143,0.249,0.134,0.209,0.249,0.174,0.160,0.178,0.215,0.216,0.142,0.194,0.106,0.253,0.423,0.475,0.434,0.403,0.146,0.219,0.184,0.153
FWI_FD,NDJF,0.148,0.119,0.115,0.213,0.144,0.257,0.133,0.155,0.169,0.137,0.131,0.222,0.169,0.106,0.071,0.153,0.172,0.155,0.087,0.105,0.104,0.198,0.315,0.310,0.405,0.379,0.113,0.224,0.147,0.066
FWI_3+,year,0.001,0.005,0.042,0.325,0.000,0.000,0.000,0.005,0.102,0.125,0.011,0.021,0.000,0.009,0.916,0.001,0.045,0.000,0.000,0.001,0.012,0.544,1.554,1.777,2.500,1.437,0.000,0.003,0.000,0.007
FWI_3+,MAMJJASO,0.001,0.005,0.042,0.325,0.000,0.000,0.000,0.005,0.102,0.125,0.011,0.021,0.000,0.009,0.916,0.001,0.045,0.000,0.000,0.001,0.012,0.464,1.338,1.491,2.045,1.241,0.000,0.003,0.000,0.007
FWI_3+,AMJJAS,0.001,0.005,0.042,0.325,0.000,0.000,0.000,0.005,0.102,0.125,0.011,0.021,0.000,0.009,0.916,0.001,0.045,0.000,0.000,0.001,0.011,0.361,1.146,1.260,1.679,1.088,0.000,0.003,0.000,0.007
