Variable,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
TMAX,year,16.532,17.091,17.142,15.794,17.003,16.770,16.909,17.332,17.324,17.526,16.612,17.429,17.379,18.238,16.949,16.558,17.919,17.718,17.713,18.317,18.134,17.822,18.692,17.716,17.382,18.448,18.720,18.246,18.430,17.226
TMAX,MAMJJASO,20.500,20.777,20.969,19.006,21.083,20.816,20.619,21.079,20.541,21.266,20.426,20.855,21.122,21.993,20.498,20.049,21.530,21.520,21.745,22.064,22.218,21.244,23.153,21.392,21.619,22.404,22.443,21.874,22.578,21.219
TMAX,AMJJAS,22.220,23.278,22.986,20.865,23.327,22.716,23.082,23.022,21.991,22.845,22.383,23.059,23.419,23.849,22.175,22.295,23.269,23.773,23.799,24.276,23.654,22.866,25.934,23.341,23.750,24.569,24.779,23.808,25.013,23.565
TMAX,ONDJFM,9.110,10.885,11.166,10.433,10.524,10.856,10.734,11.704,12.658,12.650,11.124,11.064,11.577,11.923,11.897,11.227,12.296,12.286,11.112,11.841,12.567,12.830,11.838,11.344,11.839,10.922,13.835,12.240,11.884,11.518
TMAX,NDJF,7.091,9.200,9.601,8.723,8.881,8.684,9.102,10.214,10.366,10.847,8.510,9.502,10.403,9.593,10.757,9.124,10.606,10.752,9.096,9.744,10.730,10.090,9.698,10.048,9.626,8.918,12.293,10.677,9.677,9.713
TMIN,year,7.326,8.187,7.792,7.124,7.648,7.838,7.875,8.210,7.891,8.124,7.401,8.366,8.064,9.007,7.755,7.710,8.275,8.014,8.284,8.803,8.535,8.843,8.968,8.506,7.941,8.679,8.682,8.786,8.852,8.236
TMIN,MAMJJASO,10.701,10.993,10.859,9.571,10.656,11.047,10.616,11.285,10.549,11.097,10.583,11.137,11.021,11.785,10.414,10.267,10.771,11.060,11.654,11.719,11.643,11.425,12.285,11.295,11.306,11.662,11.447,11.549,11.948,11.244
TMIN,AMJJAS,11.942,12.892,12.541,10.928,12.307,12.615,12.469,12.850,12.028,12.231,11.925,12.740,12.732,13.430,12.014,11.946,12.249,12.938,13.381,13.290,12.569,12.917,14.440,12.621,13.034,13.271,13.122,13.075,13.919,13.053
TMIN,ONDJFM,0.749,2.979,3.527,2.675,3.104,3.300,2.664,4.196,3.881,3.795,3.511,2.874,3.550,4.312,3.841,3.477,4.141,3.921,2.656,3.408,5.224,3.982,4.067,3.737,3.781,3.203,5.310,3.782,3.909,3.724
TMIN,NDJF,-1.234,1.566,2.206,1.412,1.671,1.802,1.668,3.000,1.808,2.722,1.066,1.396,2.450,2.639,3.135,2.252,3.091,3.041,0.895,1.686,3.647,1.837,2.829,2.745,2.008,1.556,4.134,2.536,2.361,2.558
TAVG,year,11.965,12.658,12.280,11.387,12.210,12.237,12.388,12.752,12.531,12.784,11.923,12.662,12.435,13.370,12.101,11.903,12.821,12.677,12.824,13.375,13.079,13.190,13.674,12.846,12.454,13.250,13.471,13.115,13.213,12.313
