Variable,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
TMAX,year,11.089,11.497,12.266,11.415,9.879,11.016,9.707,11.602,12.861,12.465,11.972,12.238,10.974,11.534,12.023,11.006,11.682,11.239,12.763,12.870,12.100,12.474,11.673,11.604,11.815,12.633,12.493,12.568,11.580,11.240
TMAX,MAMJJASO,15.842,15.913,16.950,16.217,15.531,16.037,14.475,16.505,17.121,16.392,16.191,16.496,15.449,16.465,17.071,16.209,16.179,15.963,17.836,17.033,17.184,17.741,16.325,16.342,16.440,17.600,17.455,16.706,16.247,17.284
TMAX,AMJJAS,18.502,18.385,19.850,18.901,18.063,18.600,17.030,19.532,19.715,18.427,18.682,19.673,18.192,19.562,19.598,19.001,19.189,18.649,20.842,19.323,19.994,21.405,19.350,18.948,19.462,20.777,19.723,19.162,19.528,20.605
TMAX,ONDJFM,1.573,3.701,5.148,4.022,1.851,3.257,2.214,4.205,5.545,6.158,4.918,6.015,4.125,2.636,4.791,2.289,4.916,4.356,3.367,5.026,5.802,5.269,2.062,3.923,3.920,3.424,6.677,5.341,4.785,2.307
TMAX,NDJF,0.556,0.875,3.742,2.104,-1.456,0.133,-0.022,2.406,3.481,4.096,2.890,4.209,3.210,0.292,3.123,-0.943,2.831,3.013,0.437,3.300,3.793,2.610,-0.108,2.282,2.607,0.952,3.922,3.707,2.803,-0.067
TMIN,year,4.251,4.079,5.119,4.491,2.821,3.764,2.318,4.566,5.719,5.532,5.051,5.003,3.918,4.112,4.659,3.088,4.314,4.348,4.998,5.574,4.809,4.531,4.415,4.459,3.979,4.591,4.960,5.502,4.451,4.025
TMIN,MAMJJASO,7.711,7.200,8.469,7.907,7.786,7.569,6.162,8.225,8.545,7.885,7.931,7.694,6.948,7.641,8.419,6.859,7.345,7.738,8.451,8.015,8.619,7.990,7.547,7.805,6.766,7.677,8.336,7.861,7.407,8.541
TMIN,AMJJAS,9.839,8.974,10.499,9.852,9.416,9.398,8.628,10.652,10.130,9.321,9.684,9.907,8.921,9.787,10.004,8.958,9.490,10.091,10.417,9.533,10.776,10.423,9.926,9.644,9.429,9.911,9.926,9.276,9.568,11.405
TMIN,ONDJFM,-3.730,-1.671,0.243,-1.000,-3.323,-1.967,-3.805,-0.642,0.279,1.111,0.263,1.105,-0.652,-2.320,0.086,-3.880,-0.424,-0.568,-1.977,0.445,0.880,-0.209,-3.313,-0.732,-1.223,-2.273,1.086,1.289,0.309,-2.528
TMIN,NDJF,-3.757,-3.970,-0.532,-2.241,-6.674,-4.755,-5.311,-1.675,-1.172,-0.234,-1.060,0.073,-0.892,-4.211,-1.024,-6.250,-1.919,-1.010,-4.106,-0.710,0.025,-2.167,-4.832,-1.669,-1.586,-3.242,-0.772,0.554,-1.117,-4.045
TAVG,year,7.514,7.675,8.562,7.799,6.215,7.270,5.846,7.909,9.136,8.834,8.360,8.508,7.312,7.695,8.161,6.906,7.905,7.624,8.804,9.057,8.304,8.457,7.934,7.918,7.980,8.753,8.784,9.091,8.080,7.622
TAVG,MAMJJASO,11.504,11.355,12.480,11.847,11.400,11.591,10.027,12.112,12.610,11.923,11.818,11.923,10.991,11.856,12.473,11.284,11.606,11.600,13.008,12.274,12.658,12.754,11.748,11.865,11.691,12.791,12.920,12.348,11.865,12.860
TAVG,AMJJAS,13.862,13.468,14.921,14.126,13.444,13.793,12.535,14.828,14.713,13.673,13.956,14.638,13.344,14.507,14.522,13.717,14.191,14.099,15.533,14.176,15.096,15.856,14.446,14.087,14.561,15.512,14.876,14.329,14.596,15.945
TAVG,ONDJFM,-1.042,0.992,2.675,1.498,-0.753,0.640,-0.794,1.668,2.786,3.531,2.522,3.463,1.701,0.101,2.281,-0.750,2.176,1.839,0.604,2.714,3.277,2.486,-0.652,1.599,1.398,0.633,3.936,3.368,2.609,-0.052
TAVG,NDJF,-1.511,-1.454,1.643,-0.040,-4.021,-2.204,-2.580,0.326,1.151,1.886,0.956,2.161,1.185,-1.953,0.992,-3.457,0.509,1.001,-1.840,1.358,1.900,0.285,-2.384,0.372,0.581,-1.037,1.698,2.196,0.952,-1.969
RH,year,81.732,80.485,80.375,80.800,81.456,81.238,80.755,80.794,81.790,81.702,82.672,80.324,79.663,80.012,80.228,79.023,79.217,80.617,78.745,80.315,81.024,77.681,80.799,81.548,80.419,79.150,81.310,80.550,81.554,83.112
RH,MAMJJASO,78.966,77.417,78.197,78.885,80.054,79.219,78.038,78.865,79.372,78.433,80.556,76.854,77.563,77.001,77.720,75.828,76.031,77.991,74.824,76.856,78.524,73.496,77.097,77.939,77.226,74.969,77.928,77.042,77.869,80.158
RH,AMJJAS,78.103,75.978,76.633,77.779,78.477,78.211,78.267,77.037,77.623,77.827,79.497,74.986,75.867,75.582,76.150,74.586,74.015,78.022,72.967,75.845,77.771,70.930,76.436,75.441,76.190,72.168,76.124,74.265,75.278,78.784
RH,ONDJFM,81.876,86.244,85.023,82.604,84.386,84.679,83.675,84.905,84.642,85.270,85.958,86.068,85.391,83.439,84.369,82.301,84.261,84.823,84.154,84.025,84.136,85.661,83.153,87.640,85.904,84.835,86.176,87.417,87.540,88.037
RH,NDJF,84.924,88.045,85.800,83.559,84.227,85.460,85.774,85.617,85.839,87.721,87.439,87.556,86.330,84.299,86.186,84.460,85.737,86.845,86.634,85.703,87.075,87.281,85.875,88.726,87.891,86.939,87.888,88.185,88.953,88.828
RHmin,year,66.201,64.270,64.705,65.384,65.260,65.097,63.852,64.991,65.816,66.234,66.769,64.856,64.222,64.031,63.940,62.181,63.558,65.232,62.826,64.592,64.833,61.939,65.113,65.845,64.377,63.475,65.736,66.145,66.815,67.287
RHmin,MAMJJASO,61.211,59.296,60.309,61.179,62.909,61.147,59.775,61.148,61.095,60.495,62.291,59.099,59.772,59.024,59.570,57.004,58.231,60.497,56.817,58.397,60.382,55.397,59.092,60.166,58.368,56.904,60.097,60.043,60.538,62.095
RHmin,AMJJAS,59.690,57.027,57.675,59.068,59.984,59.211,60.024,58.880,58.136,59.252,60.291,56.358,57.364,56.603,56.882,55.015,55.452,60.124,53.903,56.479,58.663,51.770,57.645,57.043,57.446,53.536,57.583,56.324,56.707,60.557
RHmin,ONDJFM,69.226,72.492,72.714,70.282,71.048,71.584,68.869,72.271,70.980,72.250,73.786,73.273,72.909,70.869,71.922,67.634,70.745,72.438,70.709,72.504,72.041,71.874,70.003,75.401,73.208,71.243,72.828,77.129,76.203,75.464
RHmin,NDJF,74.045,75.344,74.860,72.605,70.796,73.097,72.168,74.666,73.621,75.903,76.930,76.529,75.477,72.701,74.910,71.158,73.537,76.244,74.376,75.398,76.968,74.879,73.775,78.119,77.008,76.336,75.994,79.858,78.773,78.060
PREC,year,860.377,574.687,717.226,667.349,739.786,774.440,710.660,734.004,705.053,871.118,709.584,670.842,768.550,713.197,729.403,617.989,789.656,885.794,697.815,699.545,842.520,618.067,674.304,736.363,658.902,569.422,802.205,757.595,651.456,456.386
PREC,MAMJJASO,607.416,413.863,470.471,502.778,567.151,550.132,503.130,536.387,523.522,603.142,489.147,427.047,547.051,503.429,531.866,394.326,574.600,668.728,422.976,503.089,595.973,377.555,499.628,545.749,495.347,403.741,554.590,541.222,461.258,317.332
PREC,AMJJAS,426.687,334.910,340.434,400.949,467.978,462.771,466.757,452.550,376.541,476.035,409.869,321.102,441.312,367.447,427.289,309.796,403.183,530.897,301.319,396.307,486.665,263.352,417.426,393.660,425.846,290.079,437.049,367.508,328.516,264.156
PREC,ONDJFM,147.710,374.848,329.111,315.380,247.905,308.296,273.849,254.373,299.179,406.989,316.171,350.921,354.860,303.835,381.384,198.956,330.576,442.900,364.062,368.724,286.245,409.260,232.162,322.586,310.934,203.989,370.373,373.325,336.460,270.875
PREC,NDJF,83.324,222.844,217.445,231.552,131.877,204.911,207.711,186.137,214.687,252.983,211.293,261.163,256.378,160.684,260.321,142.521,236.838,263.098,235.628,207.377,210.213,292.898,143.143,199.427,186.162,129.750,260.134,211.663,195.163,154.653
SRAD,year,3214.321,3498.446,3342.681,3275.654,3196.512,3432.252,3266.048,3418.420,3414.043,3388.633,3338.955,3410.530,3357.106,3515.178,3528.724,3524.338,3521.267,3243.711,3594.065,3478.906,3435.671,3774.755,3480.148,3395.191,3623.196,3713.056,3503.165,3425.515,3572.644,3499.986
SRAD,MAMJJASO,3015.594,3292.494,3116.230,3075.818,2968.950,3199.812,3040.358,3208.516,3205.008,3205.857,3145.110,3206.286,3136.731,3281.647,3302.336,3289.126,3318.759,3030.265,3396.938,3291.838,3206.011,3567.305,3283.163,3174.788,3397.816,3489.473,3275.452,3218.498,3374.320,3288.529
SRAD,AMJJAS,2659.222,2877.346,2795.293,2712.324,2663.136,2819.257,2605.244,2846.788,2892.542,2803.001,2798.156,2883.731,2792.398,2924.607,2965.790,2867.093,2941.777,2607.109,3014.418,2885.750,2819.876,3186.801,2867.694,2816.137,2949.826,3098.526,2886.456,2876.069,3045.042,2871.397
SRAD,ONDJFM,363.069,606.679,540.656,585.799,512.895,603.429,633.013,543.672,594.268,576.124,543.150,537.203,539.779,591.332,543.151,693.943,603.583,580.307,619.207,569.516,616.850,603.860,635.387,541.397,641.413,674.604,614.329,528.942,544.222,586.900
