Variable,Season,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044
TMAX,year,14.784,14.905,15.616,13.654,14.354,14.475,14.308,15.180,15.524,15.539,14.389,15.881,15.260,16.243,14.938,13.722,15.201,15.601,15.384,16.952,15.899,16.155,16.748,15.017,14.825,15.959,16.708,16.100,16.188,14.742
TMAX,MAMJJASO,19.235,19.113,20.219,17.674,19.099,19.169,18.611,19.276,19.246,19.472,18.785,20.005,19.657,20.307,19.049,17.995,19.283,19.748,19.984,21.186,20.547,20.115,21.780,19.201,19.407,20.409,20.886,20.002,20.958,19.259
TMAX,AMJJAS,20.910,21.568,22.358,19.532,21.504,21.591,21.427,21.503,20.497,20.858,20.910,22.707,22.018,22.455,20.895,20.407,21.431,22.000,22.041,23.446,22.127,21.938,24.857,21.327,21.564,22.694,23.496,22.049,23.574,21.894
TMAX,ONDJFM,7.137,8.123,9.208,7.546,7.143,7.247,7.347,9.009,9.735,10.997,8.451,8.481,8.761,9.262,9.062,7.409,8.877,9.737,8.260,8.912,10.621,10.096,9.042,8.334,8.728,7.457,11.765,9.180,8.878,8.290
TMAX,NDJF,4.425,5.769,7.204,5.164,4.569,4.843,5.425,7.427,7.171,8.433,5.384,6.787,7.200,6.417,7.994,4.648,6.518,8.532,5.495,6.282,8.523,6.683,6.393,7.026,6.236,4.963,9.932,7.630,6.110,6.002
TMIN,year,5.199,5.942,5.545,5.132,4.883,5.173,5.430,5.856,5.952,5.883,5.445,6.551,6.167,7.220,6.156,5.602,6.008,6.199,6.534,7.091,6.419,7.237,6.356,5.970,5.726,6.310,6.639,6.924,6.689,6.109
TMIN,MAMJJASO,9.130,9.285,9.159,7.971,8.544,8.751,8.769,9.054,9.036,8.850,9.036,9.646,9.558,10.188,9.273,8.770,8.790,9.626,10.425,10.209,9.995,10.200,9.973,9.199,9.338,9.615,9.649,9.846,10.083,9.474
TMIN,AMJJAS,10.379,11.046,11.130,9.319,10.323,10.748,10.858,10.752,10.764,10.214,10.701,11.636,11.275,12.125,10.922,10.631,10.625,11.664,12.223,11.689,11.029,11.940,12.347,10.666,11.242,11.408,11.478,11.687,12.190,11.569
TMIN,ONDJFM,-1.955,0.047,1.329,-0.305,-0.047,-0.059,-0.914,1.885,0.961,1.221,0.785,0.611,0.991,2.127,1.557,0.490,1.507,1.536,0.427,0.545,3.633,1.366,1.174,0.661,0.821,0.259,3.183,1.178,1.365,1.071
TMIN,NDJF,-4.432,-2.212,-0.314,-1.823,-2.415,-1.562,-2.030,0.662,-1.219,-0.143,-1.542,-0.678,-0.207,0.015,0.912,-1.151,-0.008,0.928,-1.876,-1.553,1.959,-1.203,-0.490,-0.249,-1.105,-1.648,1.915,-0.036,-0.216,-0.298
TAVG,year,9.661,10.066,10.208,9.109,9.263,9.464,9.555,10.136,10.223,10.304,9.539,10.825,10.311,11.295,10.099,9.330,10.203,10.498,10.560,11.651,10.799,11.269,11.085,10.094,9.859,10.786,11.253,11.081,11.065,10.130
TAVG,MAMJJASO,13.854,13.845,14.317,12.520,13.447,13.588,13.384,13.794,13.668,13.791,13.542,14.452,14.195,14.796,13.664,13.022,13.602,14.339,14.777,15.341,14.896,14.699,15.383,13.786,13.953,14.646,14.864,14.486,15.093,14.039
TAVG,AMJJAS,15.348,15.961,16.449,14.171,15.594,15.834,15.850,15.793,15.247,15.253,15.499,16.809,16.271,16.908,15.456,15.177,15.642,16.524,16.734,17.257,16.250,16.501,18.145,15.583,16.009,16.709,17.145,16.474,17.484,16.448
TAVG,ONDJFM,2.229,3.689,4.914,3.254,3.227,3.216,2.790,5.085,4.779,5.447,4.191,4.077,4.437,5.308,4.841,3.564,4.781,5.161,3.935,4.281,6.808,5.199,4.713,4.083,4.333,3.512,7.010,4.696,4.720,4.355
TAVG,NDJF,-0.327,1.365,3.147,1.375,0.814,1.351,1.310,3.677,2.411,3.537,1.559,2.634,3.051,2.921,4.029,1.479,2.903,4.266,1.428,1.964,4.960,2.294,2.640,2.988,2.129,1.323,5.517,3.357,2.620,2.628
RH,year,76.871,78.822,75.403,79.062,77.176,77.412,77.852,76.406,76.718,75.858,77.582,75.164,74.754,76.169,76.662,77.303,74.293,73.843,75.750,73.542,72.763,74.559,69.420,75.651,74.416,73.460,73.575,76.906,75.540,78.352
RH,MAMJJASO,77.028,77.177,74.256,76.194,74.673,75.469,75.412,74.807,75.942,74.009,76.371,72.425,72.197,73.278,74.468,73.947,70.175,72.368,74.291,70.380,70.436,71.922,65.171,74.499,72.821,70.581,70.702,74.860,71.923,74.619
RH,AMJJAS,76.096,76.179,73.462,75.803,72.931,73.961,73.931,73.756,76.883,73.878,74.901,69.994,71.139,72.511,73.922,72.794,69.660,72.619,73.914,68.393,67.469,72.253,63.566,72.586,71.936,69.024,68.793,73.514,71.370,72.994
RH,ONDJFM,74.809,78.730,81.220,79.052,82.584,82.437,79.012,81.804,77.902,74.171,81.743,78.420,77.779,81.392,79.944,81.461,79.236,75.459,77.600,77.148,81.745,74.303,77.068,78.163,75.721,80.211,77.361,78.792,79.799,82.617
RH,NDJF,73.375,79.117,81.462,81.027,82.177,84.532,80.750,83.343,77.376,76.667,81.807,78.967,78.547,83.545,81.280,84.146,82.002,78.291,78.300,78.891,81.930,76.132,80.600,78.893,74.801,81.641,78.846,78.557,82.376,85.870
RHmin,year,56.814,59.461,54.933,60.658,57.456,57.890,58.977,56.920,56.251,56.157,58.338,56.331,56.322,57.303,58.011,60.170,55.806,54.945,57.162,54.339,54.291,56.530,50.432,56.934,55.822,54.598,53.870,57.708,56.499,60.227
RHmin,MAMJJASO,56.609,57.073,53.010,56.619,54.155,54.954,55.861,54.758,55.220,53.657,56.526,53.063,53.130,53.608,54.762,55.897,50.570,53.154,55.202,50.671,51.216,53.043,45.613,54.811,53.507,50.956,50.399,54.659,51.661,55.657
RHmin,AMJJAS,55.498,55.354,52.673,55.886,52.089,53.457,53.835,53.564,57.041,53.862,55.083,50.356,51.592,53.182,54.432,54.443,50.028,53.372,54.839,48.297,48.560,53.344,43.860,52.426,52.764,49.472,48.215,53.713,50.849,54.007
RHmin,ONDJFM,54.976,59.942,62.602,60.600,64.925,64.558,59.698,64.350,57.503,53.299,62.964,59.984,59.909,64.093,61.859,64.659,62.343,57.504,59.587,58.117,64.946,55.449,59.674,60.307,57.938,62.963,58.158,60.226,62.365,65.134
RHmin,NDJF,54.054,60.063,63.401,63.657,64.908,67.789,62.395,66.012,57.369,56.790,64.236,61.128,60.777,67.075,63.702,69.097,65.940,60.810,60.774,60.190,65.817,58.151,63.926,61.432,57.920,64.961,60.204,60.710,66.486,69.597
PREC,year,1403.961,1560.947,1195.197,1606.542,1590.152,1435.353,1638.570,1369.992,1432.849,1605.643,1493.133,1552.686,1381.562,1443.983,1629.145,1622.635,1338.142,1538.103,1540.266,1531.560,1406.602,1450.830,1151.371,1647.307,1462.589,1245.415,1316.650,1685.634,1653.131,1865.802
PREC,MAMJJASO,1020.020,1099.417,867.072,1100.116,988.793,1041.932,1092.677,1011.418,1126.710,1193.062,1031.514,1149.872,1047.934,1070.793,1058.648,1108.458,756.728,1274.324,1081.684,949.029,1036.731,1030.298,765.569,1226.183,1087.966,927.972,993.045,1140.282,995.388,1175.731
PREC,AMJJAS,788.502,760.701,593.476,852.237,771.435,812.160,788.715,782.640,996.828,777.545,802.289,565.843,658.435,815.237,879.764,899.919,676.701,984.444,872.462,620.067,761.994,835.323,521.584,822.894,952.904,707.791,730.068,825.767,720.290,967.097
PREC,ONDJFM,189.722,595.368,894.291,741.223,740.227,767.469,651.622,881.958,388.646,430.960,835.526,727.296,810.107,903.762,803.427,536.745,691.003,575.553,729.886,559.334,1221.338,332.148,619.427,803.689,627.675,659.951,594.829,546.452,986.547,835.629
PREC,NDJF,102.817,347.466,525.240,512.808,403.406,614.105,423.386,577.795,163.781,325.765,429.352,407.399,341.634,493.620,456.490,496.960,469.631,502.032,372.270,332.957,782.435,262.251,432.305,464.926,272.843,440.021,387.226,252.764,653.159,658.493
