Variable,Season,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064
TMAX,year,6.274,7.344,7.463,7.487,6.191,6.781,6.361,7.516,8.417,8.580,7.976,8.039,7.250,7.436,7.474,7.237,8.143,7.236,7.971,8.450,7.575,8.293,8.635,8.418,8.567,9.021,8.519,8.485,8.155,6.705
TMAX,MAMJJASO,10.289,10.812,10.886,10.938,10.679,10.817,10.079,11.123,11.450,11.849,11.283,10.952,10.493,11.152,11.057,11.199,11.682,10.585,11.615,11.590,11.230,12.543,12.161,12.009,11.843,12.274,12.327,11.651,12.011,11.622
TMAX,AMJJAS,12.806,12.887,13.074,13.283,12.583,12.728,12.019,13.776,13.498,13.776,13.333,13.547,12.668,13.591,12.999,13.246,14.220,12.822,13.850,13.447,13.503,15.547,14.541,14.243,13.800,15.202,13.998,14.054,14.622,13.898
TMAX,ONDJFM,-1.286,0.363,2.186,0.979,0.815,0.315,0.343,1.653,2.929,3.075,2.487,3.572,2.052,0.345,2.398,1.243,1.918,1.895,1.272,2.761,2.309,2.689,1.039,2.369,2.900,2.597,3.467,3.210,2.250,0.534
TMAX,NDJF,-1.652,-1.718,1.033,-0.364,-0.987,-2.595,-1.313,0.213,1.739,1.786,0.822,2.676,1.599,-1.399,1.536,-0.840,0.104,0.949,-0.249,1.570,0.911,0.980,-0.648,1.152,1.916,1.461,1.866,2.107,0.771,-1.303
TMIN,year,-0.374,1.076,1.199,1.438,-0.268,0.383,0.123,1.161,2.227,2.497,1.772,1.634,0.841,0.980,1.086,0.595,1.628,1.255,1.729,2.478,1.195,1.793,1.910,1.987,2.104,2.476,1.980,1.809,1.676,-0.231
TMIN,MAMJJASO,3.457,4.205,4.481,4.333,4.070,4.197,3.602,4.239,4.653,5.042,4.612,3.973,3.491,4.235,4.284,4.048,4.458,4.163,4.917,5.031,4.340,5.457,5.009,5.184,4.698,4.904,5.233,4.283,4.882,4.311
TMIN,AMJJAS,5.628,5.599,6.264,6.391,5.590,5.515,5.218,6.498,6.093,6.473,6.151,6.017,5.300,6.147,5.664,5.629,6.414,6.140,6.594,6.443,6.432,7.932,6.966,6.934,6.550,7.515,6.616,6.171,7.008,6.193
TMIN,ONDJFM,-8.143,-5.206,-3.263,-4.663,-4.503,-5.596,-5.440,-3.370,-2.341,-1.782,-2.759,-1.505,-3.514,-5.282,-2.628,-4.594,-3.658,-3.237,-3.819,-2.647,-2.898,-2.718,-4.637,-3.299,-2.712,-3.161,-1.870,-2.237,-3.232,-5.238
TMIN,NDJF,-8.415,-7.653,-4.660,-5.973,-6.404,-8.865,-7.163,-4.653,-3.534,-2.952,-4.396,-2.423,-3.667,-7.106,-3.509,-6.578,-5.574,-3.915,-5.364,-3.800,-3.811,-4.359,-6.452,-4.387,-3.421,-3.620,-3.265,-2.947,-4.736,-6.855
TAVG,year,2.805,4.093,4.182,4.282,2.801,3.394,3.072,4.191,5.158,5.357,4.670,4.697,3.872,4.047,4.077,3.756,4.763,4.081,4.677,5.249,4.196,4.923,5.096,5.047,5.177,5.542,5.061,4.980,4.707,3.063
TAVG,MAMJJASO,6.609,7.280,7.427,7.336,7.088,7.202,6.571,7.421,7.786,8.148,7.617,7.213,6.703,7.416,7.334,7.319,7.839,7.074,7.982,7.964,7.469,8.741,8.305,8.315,7.947,8.272,8.473,7.675,8.128,7.649
TAVG,AMJJAS,8.904,8.970,9.356,9.483,8.784,8.752,8.294,9.813,9.466,9.784,9.380,9.482,8.628,9.516,8.908,9.073,10.031,9.120,9.885,9.525,9.573,11.430,10.435,10.268,9.777,10.999,9.967,9.768,10.451,9.662
TAVG,ONDJFM,-4.712,-2.381,-0.514,-1.827,-1.859,-2.628,-2.587,-0.838,0.316,0.635,-0.188,0.998,-0.678,-2.448,-0.113,-1.608,-0.843,-0.636,-1.244,0.056,-0.338,0.066,-1.794,-0.477,0.201,-0.324,0.754,0.473,-0.522,-2.359
TAVG,NDJF,-4.992,-4.566,-1.713,-3.095,-3.639,-5.610,-4.241,-2.154,-0.823,-0.535,-1.746,0.159,-0.924,-4.178,-0.920,-3.576,-2.630,-1.396,-2.694,-1.042,-1.460,-1.517,-3.475,-1.545,-0.564,-1.035,-0.666,-0.344,-1.942,-4.016
RH,year,79.819,79.673,80.446,80.077,79.804,79.378,79.262,79.670,79.309,79.414,79.913,79.640,80.199,80.116,80.509,80.290,80.156,82.061,81.873,82.612,81.608,80.972,80.120,79.517,79.953,79.555,79.887,79.266,79.512,79.446
RH,MAMJJASO,78.731,77.454,78.999,78.361,78.194,77.926,77.310,77.333,77.142,76.647,78.281,77.144,78.105,77.296,78.449,77.789,77.427,80.442,79.876,80.691,80.113,78.830,78.046,77.012,77.616,77.021,77.511,76.752,77.200,77.989
RH,AMJJAS,77.624,75.837,77.941,77.688,77.184,76.435,76.770,76.206,75.212,75.362,76.207,75.522,77.086,75.600,77.066,76.661,76.030,79.613,78.233,79.906,79.106,78.081,76.638,75.667,76.621,75.798,76.421,74.939,75.662,76.423
RH,ONDJFM,80.581,82.577,83.303,82.538,82.801,82.232,81.518,83.454,83.331,83.272,82.990,83.845,83.443,84.137,84.465,83.303,84.167,84.896,85.341,85.084,84.448,84.752,83.528,83.229,83.133,82.918,83.965,83.431,83.625,83.058
RH,NDJF,81.509,82.422,84.101,83.678,83.299,82.368,82.330,85.054,84.158,84.052,83.224,84.157,85.012,84.980,85.664,84.664,85.422,86.120,85.707,86.083,85.438,85.639,84.350,84.538,84.190,84.912,85.015,84.386,84.343,83.282
RHmin,year,64.189,65.379,65.734,65.849,64.557,64.396,64.640,65.043,65.214,65.398,65.325,65.103,65.217,65.194,65.379,64.900,65.431,67.603,67.011,68.008,66.302,65.970,64.614,64.766,65.089,64.603,64.768,64.189,64.459,63.334
RHmin,MAMJJASO,62.999,62.897,64.285,63.242,63.031,62.813,62.591,62.050,62.210,61.548,62.954,61.869,62.242,61.951,62.872,61.719,61.726,65.148,64.430,65.014,63.929,62.933,62.090,61.875,61.447,60.836,61.729,60.711,61.280,61.513
RHmin,AMJJAS,61.489,60.322,62.651,62.201,61.580,60.391,61.488,60.446,59.456,59.612,60.344,59.673,60.699,59.510,60.493,59.870,59.531,63.987,62.048,63.401,62.659,61.402,60.221,59.949,60.363,59.444,60.318,58.386,59.237,59.463
RHmin,ONDJFM,63.887,68.760,69.752,68.595,69.361,67.618,67.178,70.864,70.258,71.020,69.749,70.904,69.799,69.892,71.694,69.083,70.292,72.019,72.218,71.309,71.113,71.485,69.326,69.163,69.805,68.759,70.536,69.894,69.682,68.559
RHmin,NDJF,64.819,67.916,70.120,69.606,69.626,67.093,67.576,72.596,71.066,72.022,70.175,71.303,71.941,70.427,72.812,70.356,71.192,73.800,72.694,72.383,72.947,72.537,69.830,70.712,71.466,72.000,71.887,71.749,70.344,69.253
PREC,year,1110.352,1230.355,1445.893,1037.201,1189.694,1165.893,1120.957,1272.034,1380.562,1403.210,1149.207,1304.546,1124.285,1168.435,1255.686,959.030,1255.630,1256.926,1319.650,1399.881,1218.036,1063.733,1192.970,1266.998,1308.718,1257.693,1358.180,1265.376,1149.037,974.467
PREC,MAMJJASO,708.101,811.526,922.273,709.311,866.210,768.404,736.938,820.964,786.380,839.949,701.979,745.335,671.096,743.911,821.642,644.600,839.967,785.931,810.577,869.172,792.003,675.811,767.512,759.247,779.337,692.612,858.670,738.173,780.845,779.242
PREC,AMJJAS,525.828,616.143,584.595,477.772,625.238,545.781,528.906,651.423,563.859,524.368,531.905,568.294,450.630,495.778,517.339,469.793,552.807,550.178,579.190,593.202,585.953,489.453,576.013,604.453,618.188,505.341,646.976,465.638,629.837,539.424
PREC,ONDJFM,284.220,547.097,703.286,719.994,566.344,545.107,650.265,621.076,847.084,869.405,587.093,756.825,756.124,567.511,763.597,503.372,770.104,662.059,653.566,846.554,601.090,784.939,483.278,561.094,743.444,609.197,867.368,768.241,657.740,438.980
PREC,NDJF,212.668,335.426,516.782,426.570,308.438,305.848,445.512,409.338,637.764,558.595,376.827,566.052,582.580,317.968,534.644,279.001,474.886,432.641,411.364,584.161,403.092,532.384,293.581,414.355,594.436,452.872,629.438,554.435,407.383,266.895
SRAD,year,2538.801,2734.010,2430.254,2550.925,2660.673,2562.286,2543.605,2667.293,2701.178,2665.505,2693.914,2697.739,2732.729,2745.714,2703.813,2711.788,2861.860,2540.041,2650.848,2560.958,2643.606,2768.257,2806.072,2747.674,2724.885,2809.076,2754.276,2896.818,2778.391,2679.648
SRAD,MAMJJASO,2418.456,2614.247,2315.891,2447.557,2549.088,2443.038,2426.536,2568.603,2581.945,2562.039,2572.854,2584.775,2616.147,2627.095,2586.400,2597.574,2754.542,2431.661,2535.544,2456.394,2523.681,2652.928,2679.389,2626.939,2603.613,2686.064,2635.264,2778.303,2664.484,2560.882
SRAD,AMJJAS,2167.992,2377.356,2073.942,2169.568,2288.055,2200.239,2182.503,2319.991,2331.687,2313.050,2332.314,2334.263,2333.321,2358.792,2331.341,2298.808,2470.936,2164.904,2297.251,2207.072,2230.515,2369.486,2393.679,2341.007,2302.850,2392.408,2335.578,2488.478,2378.273,2298.176
SRAD,ONDJFM,253.228,366.810,356.856,382.328,354.075,370.357,381.634,329.020,363.038,364.576,357.289,353.976,403.375,386.485,369.164,431.990,381.704,370.831,358.848,371.472,388.646,394.784,406.703,406.235,422.781,436.131,388.805,420.122,391.980,395.674
SRAD,NDJF,81.995,124.301,112.572,105.964,113.098,116.360,118.270,93.594,121.132,108.482,119.434,111.675,118.291,119.047,109.110,123.098,112.548,99.977,119.142,109.795,107.526,121.078,125.350,113.325,125.872,122.158,112.977,122.706,119.719,115.264
WIND,year,2.090,2.361,2.352,2.229,2.109,2.311,2.279,2.235,2.366,2.420,2.245,2.272,2.314,2.198,2.202,2.009,2.311,2.174,2.180,2.265,2.119,2.133,2.165,2.230,2.345,2.331,2.436,2.383,2.364,2.257
WIND,MAMJJASO,1.983,2.370,2.244,2.110,2.136,2.306,2.285,2.113,2.130,2.343,2.183,2.109,2.123,2.206,2.171,2.018,2.260,2.108,2.102,2.185,1.993,2.111,2.132,2.211,2.287,2.136,2.435,2.201,2.308,2.306
WIND,AMJJAS,1.959,2.318,2.119,2.048,2.029,2.203,2.142,2.116,2.117,2.163,2.221,2.111,2.053,2.099,2.019,1.987,2.163,2.070,2.086,2.072,2.025,2.077,2.110,2.198,2.330,2.166,2.420,2.082,2.267,2.237
WIND,ONDJFM,2.357,2.278,2.481,2.506,2.279,2.203,2.472,2.441,2.686,2.661,2.243,2.483,2.612,2.262,2.510,2.074,2.384,2.262,2.177,2.492,2.114,2.373,2.146,2.155,2.422,2.333,2.582,2.604,2.561,2.259
WIND,NDJF,2.469,2.223,2.575,2.457,2.229,2.031,2.507,2.344,2.935,2.637,2.238,2.642,2.808,2.158,2.480,1.996,2.311,2.287,2.160,2.625,2.088,2.473,2.073,2.164,2.626,2.385,2.715,2.673,2.509,2.288
