Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,15.858,17.011,17.107,15.578,15.506,16.060,15.207,16.703,17.571,17.383,16.396,17.313,16.426,17.638,16.742,15.117,16.998,16.707,17.399,17.762,16.846,17.282,18.104,16.810,17.113,17.786,17.701,17.407,17.327,15.821
TMAX,MAMJJASO,20.234,21.215,21.326,19.131,20.025,20.231,19.283,20.351,21.463,21.192,20.568,21.291,20.501,21.411,21.024,19.426,21.129,20.574,21.721,21.525,20.990,21.098,22.729,20.952,21.558,22.097,21.666,21.028,21.725,20.645
TMAX,AMJJAS,22.191,23.499,23.694,20.841,22.203,22.231,21.569,22.715,23.043,22.672,22.407,24.094,22.884,23.612,22.921,21.579,23.303,22.807,23.998,23.720,22.635,23.307,25.705,22.986,23.497,24.533,23.904,23.367,24.542,22.878
TMAX,ONDJFM,8.631,9.388,10.925,9.897,9.251,9.123,9.286,10.659,11.673,12.550,10.721,10.550,10.266,10.295,11.420,8.944,10.215,11.381,10.043,10.780,11.542,11.759,10.387,10.431,10.393,9.828,13.415,11.006,9.963,9.761
TMAX,NDJF,6.072,7.177,9.214,8.000,6.805,6.640,7.443,9.266,9.408,10.353,7.762,8.659,8.965,8.219,10.338,6.043,7.579,9.883,7.908,8.869,9.902,8.951,8.045,9.257,8.079,7.253,11.505,9.619,7.832,7.705
TMIN,year,8.208,8.608,8.702,8.066,7.490,7.932,7.792,8.908,8.842,8.837,7.923,8.933,8.314,9.394,8.675,7.437,8.418,8.875,9.180,9.615,8.900,9.254,8.623,8.529,8.472,9.086,9.006,8.770,8.526,7.546
TMIN,MAMJJASO,11.396,11.438,11.718,10.451,10.796,10.894,10.617,11.339,11.486,11.231,10.695,11.492,11.114,11.813,11.689,10.369,11.053,11.745,12.059,12.166,11.907,11.903,11.579,11.192,11.270,11.959,11.381,11.147,11.354,10.699
TMIN,AMJJAS,12.728,12.949,13.348,11.817,12.384,12.371,12.498,12.822,12.682,12.414,12.076,13.460,12.906,13.602,13.088,11.958,12.611,13.322,13.775,13.503,12.978,13.699,13.835,12.682,12.755,13.658,13.119,12.751,13.148,12.441
TMIN,ONDJFM,2.626,3.212,5.005,3.478,3.239,2.939,2.977,5.076,5.258,5.150,4.255,4.138,3.903,4.390,4.807,3.060,4.028,4.662,4.221,4.749,5.432,5.029,3.828,3.886,4.140,3.512,6.279,4.464,3.792,3.634
TMIN,NDJF,0.817,1.647,3.759,2.341,1.252,1.278,1.947,4.303,3.855,3.671,2.514,3.136,3.321,2.940,4.642,1.037,2.331,3.903,2.624,3.550,4.131,3.146,2.496,3.500,2.844,2.024,5.325,3.738,2.419,2.508
TAVG,year,11.828,12.554,12.689,11.558,11.229,11.765,11.250,12.593,12.935,12.858,11.987,12.932,12.127,13.306,12.495,11.048,12.449,12.543,13.053,13.428,12.683,13.058,13.171,12.525,12.672,13.333,13.276,12.994,12.871,11.675
TAVG,MAMJJASO,15.541,16.041,16.272,14.477,15.063,15.270,14.619,15.597,16.206,15.927,15.457,16.182,15.523,16.362,16.088,14.627,15.761,15.887,16.597,16.535,16.221,16.251,16.964,15.891,16.251,16.910,16.436,15.996,16.474,15.619
TAVG,AMJJAS,17.163,17.976,18.277,16.042,16.962,17.029,16.685,17.518,17.652,17.315,17.132,18.610,17.639,18.405,17.784,16.548,17.675,17.771,18.632,18.310,17.624,18.251,19.635,17.665,18.008,18.997,18.454,17.982,18.769,17.646
TAVG,ONDJFM,5.487,6.103,7.782,6.463,6.026,5.845,5.943,7.689,8.241,8.495,7.258,7.110,6.855,7.140,7.913,5.765,6.889,7.761,6.956,7.570,8.255,8.183,6.915,6.980,7.154,6.552,9.731,7.613,6.815,6.690
TAVG,NDJF,3.330,4.286,6.356,5.011,3.865,3.886,4.583,6.632,6.478,6.695,5.010,5.738,5.978,5.428,7.410,3.414,4.822,6.688,5.154,6.092,6.828,5.949,5.123,6.230,5.390,4.605,8.351,6.561,5.089,5.131
RH,year,80.236,77.733,77.568,79.786,79.026,78.989,80.872,79.025,77.434,76.843,76.835,77.213,78.483,78.396,79.219,79.486,77.847,79.249,78.973,79.572,80.452,80.056,75.007,79.147,79.045,78.366,78.754,78.477,79.337,80.132
RH,MAMJJASO,77.077,73.867,73.921,76.551,76.222,76.047,77.669,75.246,73.351,72.577,73.178,72.623,74.674,74.468,75.694,76.182,73.754,76.344,74.868,76.175,77.102,76.680,69.676,75.128,74.739,74.196,74.687,74.944,75.167,75.615
RH,AMJJAS,75.195,71.250,71.681,75.485,74.167,74.083,76.793,72.211,71.465,70.944,70.901,69.643,72.981,72.608,73.602,74.309,71.619,74.828,72.540,73.595,74.491,75.379,66.788,73.304,72.802,71.436,72.691,72.429,72.310,74.074
RH,ONDJFM,84.084,84.520,84.648,82.865,84.426,83.878,84.381,85.874,84.952,81.791,83.093,84.123,83.561,84.955,84.057,84.892,84.924,82.559,85.871,85.591,85.842,84.546,84.477,84.010,85.423,86.280,83.940,84.141,86.887,85.769
RH,NDJF,85.785,86.289,85.289,85.519,85.095,85.017,86.404,87.192,87.316,83.489,85.106,86.315,85.846,86.416,86.534,86.424,86.123,84.929,87.252,87.136,86.372,86.504,87.291,85.907,87.791,88.321,86.230,85.361,88.363,88.205
RHmin,year,63.858,60.522,60.581,63.583,61.967,61.891,64.532,62.771,59.708,59.807,59.859,60.517,61.632,61.531,62.463,63.208,60.380,62.733,61.949,62.410,63.672,63.168,57.247,62.268,61.772,61.213,61.670,61.268,61.925,63.775
RHmin,MAMJJASO,59.261,55.305,55.916,58.986,57.635,57.555,59.543,57.766,54.770,54.134,54.848,54.671,56.546,56.177,57.568,58.225,54.524,58.918,56.228,57.762,59.200,58.581,50.778,56.631,55.633,55.779,56.001,56.623,56.245,57.309
RHmin,AMJJAS,56.832,52.364,53.335,58.004,55.271,55.429,58.375,54.103,53.067,52.784,52.828,51.464,54.593,54.540,55.579,56.335,52.322,56.747,53.930,54.590,56.594,57.107,48.037,54.585,53.863,52.860,54.092,53.833,52.624,55.810
RHmin,ONDJFM,69.352,69.247,69.987,67.273,69.366,68.805,68.963,71.729,69.313,64.538,67.659,68.435,68.065,70.200,68.173,70.037,69.619,66.650,71.233,70.499,70.274,68.465,68.792,68.238,70.259,70.848,67.466,68.567,71.690,71.251
RHmin,NDJF,72.081,72.047,71.555,70.999,70.912,71.468,72.433,74.076,72.908,67.010,71.769,72.047,71.410,72.673,72.320,73.315,72.659,70.053,73.500,73.358,71.454,71.961,72.888,71.266,74.137,74.799,71.065,70.808,74.369,75.113
PREC,year,1134.221,794.930,889.090,935.137,800.608,1011.903,975.720,979.362,766.779,870.435,700.928,887.582,973.462,997.997,1000.611,755.839,792.125,1003.932,942.583,919.400,1032.089,1162.794,646.710,879.825,866.162,840.710,1081.285,849.555,889.442,954.375
PREC,MAMJJASO,774.550,532.476,589.752,638.688,556.814,686.505,695.838,605.356,529.460,519.997,440.784,619.919,615.971,687.434,656.133,555.339,541.458,780.837,553.047,651.667,699.235,757.513,433.438,574.108,579.388,633.561,714.032,616.215,589.717,642.710
PREC,AMJJAS,514.719,375.288,471.927,554.444,484.580,492.002,562.025,377.107,400.393,431.827,365.567,408.084,519.135,508.356,519.051,438.214,414.215,507.793,445.667,468.428,516.637,548.744,317.846,474.117,487.149,466.728,624.151,431.202,413.719,548.441
PREC,ONDJFM,264.999,530.019,488.938,392.512,317.278,400.057,491.834,564.614,387.426,423.816,355.188,424.279,429.881,564.121,555.228,236.633,398.843,386.394,571.419,525.114,441.150,515.177,488.373,401.924,397.685,365.646,441.156,429.246,380.935,442.969
PREC,NDJF,148.618,328.176,315.407,323.319,202.240,293.739,310.292,335.631,270.959,321.975,258.680,271.605,314.743,370.236,388.289,179.802,251.305,230.930,320.207,359.808,245.308,389.948,321.625,278.136,290.952,219.462,312.365,300.287,208.179,298.648
SRAD,year,3605.104,3999.902,3830.119,3576.594,3778.987,3777.140,3544.982,3701.050,3948.892,3980.885,3927.318,3915.447,3832.113,3909.817,3827.530,3700.043,3993.539,3642.497,3920.358,3824.950,3769.804,3751.734,4352.851,3870.268,3977.310,4040.529,3978.550,3874.522,3957.660,3785.219
SRAD,MAMJJASO,3240.857,3614.827,3448.187,3216.243,3406.918,3380.979,3228.565,3358.533,3556.375,3607.304,3538.376,3565.452,3485.442,3552.490,3470.875,3334.285,3629.196,3248.608,3569.557,3439.747,3392.260,3385.437,3918.895,3517.386,3607.053,3648.850,3633.903,3471.520,3603.852,3471.310
SRAD,AMJJAS,2836.226,3146.662,3012.004,2718.214,2968.508,2937.049,2741.554,2971.492,3056.889,3075.254,3059.727,3148.560,3002.352,3078.528,2979.009,2869.207,3153.540,2829.069,3090.375,3038.742,2966.973,2913.149,3378.548,3022.016,3074.487,3174.833,3106.365,3023.900,3186.956,2965.932
SRAD,ONDJFM,440.802,855.909,765.196,881.391,800.890,827.497,848.439,734.160,819.191,934.276,864.842,817.860,840.494,764.618,866.375,854.496,812.971,874.311,778.294,796.782,773.855,894.525,911.286,867.944,851.204,888.187,907.056,859.573,778.441,810.347
SRAD,NDJF,212.731,381.046,360.445,380.074,385.927,367.702,356.754,325.697,353.288,423.419,377.293,350.120,360.442,341.203,356.140,368.250,362.880,389.932,359.977,361.185,388.893,383.307,394.819,381.275,361.392,378.570,371.204,396.236,354.267,337.163
WIND,year,2.699,2.530,2.793,2.582,2.547,2.669,2.521,2.740,2.496,2.787,2.562,2.636,2.727,2.780,2.695,2.535,2.621,2.895,2.849,2.792,2.720,2.767,2.648,2.753,2.652,2.679,2.874,2.792,2.669,2.713
WIND,MAMJJASO,2.481,2.390,2.586,2.376,2.435,2.380,2.453,2.473,2.400,2.521,2.394,2.495,2.446,2.611,2.466,2.393,2.500,2.789,2.541,2.555,2.604,2.503,2.499,2.604,2.427,2.558,2.576,2.626,2.556,2.593
WIND,AMJJAS,2.252,2.280,2.405,2.323,2.490,2.244,2.328,2.330,2.235,2.351,2.364,2.336,2.384,2.357,2.344,2.330,2.378,2.523,2.446,2.353,2.538,2.322,2.432,2.528,2.345,2.438,2.568,2.430,2.444,2.454
WIND,ONDJFM,3.129,2.914,3.198,2.993,2.577,2.877,2.877,3.099,2.878,3.091,2.803,2.861,3.027,3.248,3.349,2.554,2.804,3.063,3.249,3.412,2.920,3.196,2.843,3.067,3.005,2.729,3.339,3.139,2.801,3.001
WIND,NDJF,3.048,2.854,3.410,3.116,2.557,3.096,2.929,3.142,2.938,3.144,2.897,2.858,3.197,3.215,3.420,2.684,2.879,3.051,3.239,3.489,2.947,3.441,2.808,3.161,3.132,2.722,3.533,3.231,2.779,3.017
VPD,year,0.361,0.437,0.461,0.352,0.378,0.392,0.330,0.396,0.448,0.452,0.433,0.470,0.405,0.450,0.416,0.361,0.425,0.400,0.430,0.414,0.394,0.389,0.555,0.404,0.416,0.467,0.420,0.427,0.415,0.392
VPD,MAMJJASO,0.479,0.583,0.616,0.460,0.500,0.518,0.439,0.524,0.595,0.597,0.575,0.634,0.540,0.601,0.556,0.480,0.564,0.521,0.578,0.544,0.527,0.512,0.759,0.541,0.563,0.631,0.559,0.561,0.559,0.537
VPD,AMJJAS,0.555,0.695,0.732,0.526,0.584,0.607,0.504,0.629,0.683,0.679,0.673,0.769,0.633,0.711,0.655,0.567,0.660,0.611,0.687,0.649,0.623,0.596,0.921,0.629,0.656,0.757,0.656,0.672,0.676,0.629
VPD,ONDJFM,0.165,0.168,0.177,0.188,0.166,0.174,0.166,0.167,0.186,0.238,0.197,0.181,0.180,0.169,0.188,0.157,0.173,0.209,0.160,0.167,0.172,0.196,0.175,0.178,0.168,0.156,0.219,0.182,0.144,0.163
VPD,NDJF,0.115,0.124,0.152,0.135,0.130,0.129,0.126,0.133,0.129,0.185,0.135,0.134,0.141,0.127,0.150,0.111,0.134,0.162,0.122,0.131,0.148,0.139,0.116,0.145,0.115,0.104,0.164,0.153,0.109,0.117
FWI_FD,year,1.527,2.730,3.158,1.684,1.844,1.962,1.198,2.287,2.742,2.800,2.971,2.726,1.974,2.297,2.092,1.879,2.577,1.906,2.364,1.939,1.798,1.726,3.894,1.902,2.024,2.619,2.065,2.182,2.201,1.926
FWI_FD,MAMJJASO,2.193,3.814,4.376,2.245,2.599,2.727,1.688,3.272,3.853,3.989,4.249,3.961,2.810,3.292,3.010,2.659,3.655,2.645,3.426,2.741,2.570,2.455,5.604,2.722,2.892,3.753,2.967,3.066,3.190,2.802
FWI_FD,AMJJAS,2.800,4.735,5.311,2.635,2.692,3.107,1.873,4.073,4.624,4.554,5.057,4.961,3.420,3.984,3.616,3.264,4.342,3.363,4.216,3.448,3.182,3.061,7.059,3.290,3.306,4.574,3.562,3.944,4.046,3.418
FWI_FD,ONDJFM,0.243,0.322,0.680,1.098,0.597,1.012,0.750,0.504,0.724,0.999,0.920,0.714,0.611,0.340,0.628,0.704,0.435,0.917,0.240,0.466,0.426,0.557,0.513,0.549,0.460,0.670,0.798,0.536,0.312,0.350
FWI_FD,NDJF,0.168,0.213,0.507,0.655,0.551,0.327,0.343,0.225,0.423,0.570,0.270,0.291,0.231,0.217,0.247,0.324,0.249,0.561,0.172,0.186,0.341,0.289,0.212,0.378,0.208,0.244,0.341,0.351,0.230,0.142
FWI_3+,year,6.464,29.250,38.047,9.159,9.034,14.658,3.962,20.611,28.410,29.057,32.746,31.731,15.851,23.810,20.409,11.367,24.755,18.317,23.508,16.801,14.678,8.992,49.291,13.424,13.640,29.933,18.509,19.653,16.384,18.162
FWI_3+,MAMJJASO,6.442,28.757,37.911,8.993,8.935,14.608,3.958,20.597,28.404,28.965,32.715,31.729,15.849,23.796,20.409,11.359,24.749,18.305,23.507,16.776,14.676,8.985,49.290,13.420,13.639,29.930,18.502,19.647,16.382,18.151
FWI_3+,AMJJAS,6.395,27.625,36.928,8.858,6.984,14.337,3.499,19.770,27.657,28.162,31.244,31.216,15.763,23.435,20.359,11.357,23.293,18.303,23.115,16.612,14.657,8.966,49.256,13.335,13.460,29.319,18.495,19.637,15.959,18.103
FWI_3+,ONDJFM,0.011,0.058,1.625,1.125,0.294,2.051,0.320,0.462,0.843,0.859,0.792,1.500,0.515,0.085,0.376,0.050,0.008,1.474,0.003,0.393,0.189,0.029,0.029,0.041,0.072,0.179,0.617,0.019,0.009,0.425
FWI_3+,NDJF,0.001,0.020,0.493,0.137,0.165,0.099,0.050,0.004,0.015,0.097,0.002,0.031,0.003,0.000,0.014,0.002,0.007,0.016,0.001,0.001,0.025,0.009,0.000,0.005,0.000,0.001,0.002,0.013,0.001,0.002
FWI_4+,year,0.035,2.605,5.253,0.153,0.112,0.214,0.017,1.392,1.412,3.248,2.269,3.439,1.301,2.604,1.674,0.154,0.481,0.593,1.414,0.798,0.218,0.065,9.453,0.384,0.303,3.221,1.653,1.556,0.257,1.436
FWI_4+,MAMJJASO,0.035,2.586,5.253,0.150,0.111,0.213,0.017,1.391,1.412,3.243,2.268,3.439,1.301,2.604,1.674,0.154,0.481,0.593,1.414,0.798,0.218,0.065,9.453,0.384,0.303,3.221,1.653,1.556,0.257,1.436
FWI_4+,AMJJAS,0.034,2.333,5.222,0.149,0.078,0.213,0.016,1.384,1.382,3.236,2.170,3.437,1.301,2.604,1.674,0.154,0.416,0.593,1.411,0.798,0.218,0.065,9.452,0.384,0.303,3.217,1.653,1.556,0.247,1.436
FWI_4+,ONDJFM,0.001,0.001,0.271,0.031,0.004,0.034,0.001,0.002,0.007,0.036,0.007,0.099,0.002,0.000,0.000,0.000,0.000,0.065,0.000,0.003,0.000,0.000,0.000,0.001,0.000,0.000,0.004,0.000,0.000,0.010
FWI_4+,NDJF,0.000,0.000,0.019,0.000,0.003,0.001,0.001,0.000,0.000,0.006,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
FWI_5+,year,0.000,0.024,0.104,0.003,0.002,0.004,0.000,0.009,0.002,0.041,0.015,0.019,0.003,0.006,0.000,0.000,0.002,0.003,0.001,0.002,0.000,0.000,0.325,0.004,0.001,0.021,0.017,0.000,0.000,0.000
FWI_5+,MAMJJASO,0.000,0.023,0.104,0.003,0.002,0.004,0.000,0.009,0.002,0.041,0.015,0.019,0.003,0.006,0.000,0.000,0.002,0.003,0.001,0.002,0.000,0.000,0.325,0.004,0.001,0.021,0.017,0.000,0.000,0.000
FWI_5+,AMJJAS,0.000,0.020,0.104,0.003,0.001,0.004,0.000,0.009,0.002,0.041,0.015,0.019,0.003,0.006,0.000,0.000,0.000,0.003,0.001,0.002,0.000,0.000,0.325,0.004,0.001,0.021,0.017,0.000,0.000,0.000
FWI_5+,ONDJFM,0.000,0.000,0.004,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
FWI_5+,NDJF,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
FWI_6,year,0.000,0.002,0.002,0.000,0.001,0.001,0.000,0.001,0.000,0.002,0.003,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.000,0.001,0.000,0.000,0.000,0.000
FWI_6,MAMJJASO,0.000,0.002,0.002,0.000,0.001,0.001,0.000,0.001,0.000,0.002,0.002,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.000,0.001,0.000,0.000,0.000,0.000
FWI_6,AMJJAS,0.000,0.001,0.002,0.000,0.000,0.001,0.000,0.001,0.000,0.001,0.002,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.000,0.001,0.000,0.000,0.000,0.000
FWI_6,ONDJFM,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
