Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,9.670,10.277,10.723,10.876,8.905,9.896,8.865,10.673,11.855,11.163,10.723,10.763,10.208,10.638,10.888,10.560,10.988,9.952,11.133,11.917,10.876,11.172,11.329,11.289,11.930,11.788,11.679,11.247,11.118,10.400
TMAX,MAMJJASO,14.320,14.645,15.647,15.360,14.922,15.187,14.129,15.780,16.285,15.531,14.886,14.562,14.292,15.519,15.627,15.127,15.574,14.585,16.278,16.202,15.770,16.603,16.139,15.924,16.324,16.510,16.578,14.961,15.830,16.395
TMAX,AMJJAS,17.476,17.388,18.748,18.534,17.519,17.762,16.532,19.047,19.431,18.244,17.701,18.015,17.115,18.674,18.270,17.691,18.939,17.486,19.310,18.806,19.120,20.458,19.213,18.888,19.508,20.361,18.942,17.628,19.340,19.776
TMAX,ONDJFM,-0.181,2.178,3.664,2.387,0.947,1.824,0.967,2.769,3.805,3.726,3.154,4.977,3.109,1.752,4.224,2.518,3.787,2.362,2.188,4.024,4.191,3.404,1.287,3.493,3.760,3.469,4.151,4.804,4.081,1.714
TMAX,NDJF,-0.352,-0.508,2.519,0.617,-1.995,-1.366,-1.624,0.432,1.817,2.032,1.441,3.671,2.665,-0.183,2.880,-0.125,1.931,1.160,-0.289,2.306,2.672,1.220,-0.909,1.911,2.667,1.907,1.885,3.572,2.436,-0.097
TMIN,year,2.044,2.680,2.988,3.493,1.062,2.465,1.359,3.132,4.643,3.790,3.556,3.664,2.904,2.815,3.440,2.753,3.091,2.642,3.455,4.659,3.383,3.053,3.542,3.839,4.327,3.899,4.267,4.325,3.575,2.767
TMIN,MAMJJASO,6.043,6.394,7.551,6.914,6.679,7.237,6.232,7.556,8.261,7.142,7.123,6.712,5.956,6.812,7.487,6.358,6.756,6.510,7.627,7.950,7.351,7.374,7.712,7.621,7.427,7.282,8.314,6.898,7.066,7.947
TMIN,AMJJAS,8.866,8.418,10.111,9.554,8.649,8.974,8.176,10.166,10.349,9.310,9.422,9.494,8.322,9.230,9.252,8.416,9.185,9.222,9.747,9.864,10.269,10.493,10.048,10.014,10.265,10.483,10.024,8.881,9.815,10.838
TMIN,ONDJFM,-8.553,-4.072,-2.511,-4.247,-5.101,-4.610,-5.556,-2.861,-2.300,-1.923,-3.201,-0.501,-2.817,-4.320,-1.116,-4.302,-2.650,-3.841,-3.548,-1.886,-1.421,-2.804,-5.225,-2.438,-2.311,-2.795,-1.704,-0.253,-1.326,-4.421
TMIN,NDJF,-7.724,-7.017,-3.548,-5.639,-8.254,-8.105,-7.985,-5.287,-4.585,-3.170,-4.753,-2.011,-2.750,-5.838,-2.359,-6.530,-4.642,-4.528,-5.724,-3.462,-2.191,-4.703,-7.455,-3.807,-2.569,-3.542,-3.747,-1.020,-2.579,-5.568
TAVG,year,5.993,6.645,7.008,7.327,5.105,6.287,5.184,6.998,8.342,7.552,7.193,7.305,6.567,6.804,7.223,6.693,7.145,6.276,7.319,8.280,7.133,7.177,7.479,7.578,8.152,7.899,7.983,7.797,7.378,6.622
TAVG,MAMJJASO,10.221,10.614,11.686,11.232,10.860,11.243,10.173,11.703,12.294,11.361,10.978,10.655,10.034,11.183,11.521,10.712,11.206,10.412,11.914,11.970,11.491,11.973,11.887,11.669,11.830,11.910,12.375,10.869,11.415,12.110
TAVG,AMJJAS,13.180,12.993,14.470,14.124,13.138,13.389,12.322,14.622,14.899,13.773,13.488,13.748,12.578,13.963,13.681,13.019,14.110,13.169,14.470,14.159,14.578,15.454,14.562,14.332,14.826,15.463,14.413,13.145,14.521,15.180
TAVG,ONDJFM,-4.011,-0.717,0.821,-0.698,-1.892,-1.167,-2.119,0.120,0.926,1.058,0.155,2.426,0.337,-1.148,1.722,-0.742,0.726,-0.608,-0.553,1.239,1.489,0.452,-1.794,0.654,0.841,0.434,1.297,2.380,1.525,-1.182
TAVG,NDJF,-3.615,-3.452,-0.231,-2.262,-4.901,-4.417,-4.575,-2.245,-1.132,-0.383,-1.431,1.067,0.192,-2.829,0.499,-3.113,-1.117,-1.498,-2.831,-0.354,0.351,-1.538,-3.917,-0.750,0.231,-0.642,-0.762,1.410,0.105,-2.618
RH,year,81.196,81.359,80.854,81.025,79.486,78.138,80.035,80.866,80.881,79.734,82.255,81.016,81.167,81.442,82.809,83.075,80.572,82.916,81.921,83.205,81.948,81.920,82.001,82.849,81.996,81.224,82.775,83.475,82.218,83.078
RH,MAMJJASO,78.444,78.784,78.551,78.226,77.226,75.542,78.173,78.296,78.308,75.960,80.500,78.585,78.853,78.124,80.674,80.362,77.353,80.723,79.103,80.444,79.464,78.788,79.255,80.483,79.152,78.564,80.349,80.922,79.398,80.524
RH,AMJJAS,77.040,76.832,75.985,75.561,75.223,73.095,76.197,76.005,75.310,73.791,78.347,75.975,77.345,75.899,78.433,78.655,75.266,79.289,76.771,79.076,77.624,76.762,77.701,78.767,77.980,76.006,78.420,78.555,77.390,78.880
RH,ONDJFM,82.202,85.789,86.665,85.421,85.498,83.060,84.190,85.879,85.356,85.501,85.483,86.754,85.042,86.673,87.308,86.600,86.254,87.076,86.867,86.336,87.305,87.611,85.405,88.423,84.964,86.537,86.608,87.947,87.850,87.453
RH,NDJF,85.383,86.147,86.959,85.429,85.376,83.557,83.906,86.045,85.491,87.194,85.476,85.912,85.527,87.991,88.317,87.111,87.386,87.961,87.443,87.868,88.299,88.218,87.130,88.906,86.548,87.392,86.579,88.607,88.248,88.350
RHmin,year,64.991,65.246,64.491,65.667,62.820,62.827,63.718,64.745,65.715,64.247,66.419,66.018,65.170,64.762,66.349,65.813,64.115,66.391,65.259,67.009,65.405,64.523,65.063,66.302,65.471,64.660,66.464,68.073,65.889,66.076
RHmin,MAMJJASO,61.655,62.113,62.348,61.574,60.772,60.099,61.802,61.727,62.256,59.390,63.917,62.749,61.212,60.723,63.435,61.949,59.964,63.013,61.366,62.756,61.767,60.069,61.839,62.686,60.617,60.226,62.978,63.642,61.324,62.644
RHmin,AMJJAS,60.088,59.403,59.368,58.689,58.236,56.754,59.541,58.978,57.958,56.827,61.180,59.773,59.320,57.881,59.970,59.795,56.888,61.630,57.986,60.252,59.609,57.522,59.354,60.470,59.378,57.628,60.305,60.499,58.467,60.508
RHmin,ONDJFM,63.627,70.767,72.045,69.699,70.777,68.062,68.430,72.045,70.600,71.920,70.255,73.501,70.837,71.584,74.180,69.936,70.688,71.845,72.634,71.996,73.459,72.220,69.634,73.496,70.448,71.045,72.166,75.235,74.491,72.320
RHmin,NDJF,68.370,70.473,72.499,70.294,69.967,67.841,68.455,71.831,70.129,74.196,70.565,72.415,72.555,73.523,75.444,71.077,71.349,73.879,73.714,73.552,75.793,73.313,71.035,74.518,73.715,73.763,72.677,76.915,75.650,74.511
PREC,year,830.760,649.147,767.751,689.244,665.643,682.356,673.561,709.287,707.224,630.770,722.077,806.519,644.853,649.730,690.424,663.530,614.750,847.590,685.991,782.502,689.777,601.274,640.558,778.408,753.487,629.888,777.606,836.462,588.212,654.220
PREC,MAMJJASO,609.115,462.213,543.673,508.525,510.625,496.683,518.639,538.543,497.888,389.515,516.099,593.270,473.436,476.044,507.265,438.926,436.157,623.384,438.641,521.860,543.958,412.084,452.803,574.390,497.637,423.224,555.438,575.513,422.707,516.335
PREC,AMJJAS,465.322,399.339,395.662,378.713,389.142,398.832,455.623,444.187,387.812,311.194,408.418,483.992,359.712,342.653,367.032,350.976,341.781,481.677,327.491,402.749,436.560,355.234,354.261,509.561,451.576,283.144,466.071,415.443,350.460,413.123
PREC,ONDJFM,113.000,310.895,324.770,369.661,266.268,270.864,301.240,240.930,327.903,318.750,245.514,338.343,309.879,280.476,347.402,230.337,388.260,309.666,320.173,383.285,334.710,301.324,188.524,294.372,273.200,270.806,397.200,350.366,328.655,277.393
PREC,NDJF,68.865,189.565,241.647,231.954,123.847,160.650,205.792,172.001,203.960,234.891,155.963,227.233,212.628,155.757,215.856,120.705,275.341,227.165,179.396,256.627,234.024,188.671,143.374,191.399,228.888,198.396,254.610,249.538,196.573,176.294
SRAD,year,1918.053,2042.493,2533.452,2635.239,2762.710,2734.930,2648.192,2811.004,2787.473,2775.797,2783.934,2821.841,2779.198,3002.695,2873.689,2984.251,3053.713,2610.517,2980.564,2699.030,2797.395,3070.019,2882.457,2770.684,2891.322,3051.251,2893.691,2843.581,2939.071,2849.962
