Variable,Season,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084
TMAX,year,18.798,19.154,19.858,18.518,18.235,19.394,18.516,18.830,19.515,20.264,18.299,19.582,19.079,20.692,19.058,18.319,18.361,19.129,19.858,21.007,19.824,20.237,19.681,19.408,18.885,19.588,21.055,20.582,20.749,19.768
TMAX,MAMJJASO,24.189,24.357,25.303,23.516,23.966,25.197,23.705,24.081,24.312,25.262,23.394,24.953,24.390,26.020,24.386,23.375,22.913,24.374,25.141,26.258,25.431,25.322,25.354,24.541,23.913,24.923,26.481,25.611,26.096,24.721
TMAX,AMJJAS,26.219,27.073,27.872,25.835,27.008,28.327,27.223,26.968,26.503,27.108,25.850,27.689,27.141,28.945,26.815,26.648,25.585,27.286,28.004,29.114,27.512,27.936,29.067,26.900,26.662,27.489,29.514,27.973,29.311,27.965
TMAX,ONDJFM,9.181,10.735,12.892,10.395,9.634,11.007,9.488,11.444,11.413,12.909,11.959,10.826,10.929,12.505,11.902,8.948,11.555,11.834,10.686,11.216,14.117,12.375,10.157,10.953,11.652,10.819,14.285,11.479,12.524,11.769
TMAX,NDJF,6.363,7.545,10.203,7.905,5.954,8.475,7.265,9.510,8.332,9.771,9.016,8.094,8.609,9.325,9.658,6.049,9.267,10.469,7.385,8.542,11.539,8.792,7.503,8.679,9.122,7.986,11.863,8.504,9.932,9.185
TMIN,year,9.042,8.969,8.953,8.834,8.013,8.774,8.560,9.022,9.490,9.180,8.926,8.997,8.654,10.224,9.163,9.107,8.745,9.238,9.966,9.670,9.679,10.059,9.307,9.491,9.308,9.484,10.353,10.157,10.125,10.114
TMIN,MAMJJASO,12.949,12.990,12.898,12.291,12.239,12.721,12.152,12.820,13.184,12.367,12.849,12.782,12.739,14.035,13.066,12.765,11.966,13.359,13.949,13.194,13.908,13.983,13.270,13.152,13.124,13.435,14.093,13.783,13.710,13.925
TMIN,AMJJAS,14.606,15.107,15.249,14.029,14.693,15.129,14.802,15.242,15.176,14.141,14.866,14.792,14.679,16.410,15.252,15.285,14.414,15.689,16.263,15.481,15.675,16.282,15.980,15.010,15.629,15.703,16.294,15.779,15.832,16.720
TMIN,ONDJFM,1.718,2.736,3.973,2.353,1.614,3.107,1.259,4.064,2.837,3.745,3.642,2.758,2.610,4.128,3.605,1.742,3.689,3.367,2.960,3.018,4.861,3.477,2.454,3.299,3.642,2.776,5.000,3.720,4.272,4.147
TMIN,NDJF,-0.071,0.388,2.301,0.842,-1.174,1.828,0.030,2.900,1.050,1.862,2.022,0.901,0.783,1.970,2.081,0.082,2.305,2.738,0.649,1.131,3.483,1.047,0.595,1.735,2.201,0.824,3.722,1.718,2.687,2.479
