Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,15.540,16.319,16.624,15.095,15.612,15.799,15.540,16.445,17.295,17.144,16.071,16.728,16.275,17.446,16.228,15.457,17.095,16.665,16.402,17.248,16.472,17.036,18.069,16.427,16.381,17.329,17.302,16.654,17.041,15.525
TMAX,MAMJJASO,19.786,19.950,20.697,18.459,20.160,20.000,19.424,20.205,20.787,21.043,20.248,20.457,19.987,21.160,20.124,19.266,20.906,20.553,20.830,21.162,20.673,20.517,22.949,20.427,21.124,21.460,21.269,20.178,21.585,19.924
TMAX,AMJJAS,21.771,22.526,22.913,20.384,22.430,21.889,21.836,22.627,22.227,22.689,22.333,23.253,22.559,22.976,21.824,21.485,22.795,22.940,22.995,23.563,21.946,22.343,26.028,22.524,23.032,23.725,23.714,22.447,24.424,22.271
TMAX,ONDJFM,7.590,9.512,10.229,9.362,9.307,9.081,9.368,10.569,11.708,12.630,10.142,9.866,10.305,10.382,11.007,10.263,10.821,11.286,9.470,10.046,11.164,11.501,10.690,9.987,9.927,9.295,12.905,10.532,9.251,9.562
TMAX,NDJF,5.206,8.091,8.576,7.670,7.526,6.388,7.575,9.380,9.377,10.773,7.183,8.107,9.552,8.324,9.923,7.665,8.699,9.860,7.321,7.826,9.451,8.472,8.094,9.065,7.362,6.730,11.246,9.253,7.066,7.544
TMIN,year,7.402,8.204,8.063,6.936,6.977,7.528,7.692,8.330,8.355,8.337,7.665,8.605,8.185,9.376,8.126,7.613,8.413,8.139,8.456,8.851,8.390,8.886,8.802,8.331,8.086,8.928,8.695,8.549,8.706,7.845
TMIN,MAMJJASO,10.746,10.830,11.129,9.192,10.207,10.616,10.494,11.146,10.951,11.185,10.761,11.482,11.000,12.008,11.057,10.303,11.066,11.182,11.864,11.685,11.622,11.372,12.310,11.313,11.670,12.102,11.531,11.323,11.997,11.144
TMIN,AMJJAS,12.228,12.662,12.887,10.695,11.851,12.160,12.239,12.747,12.324,12.411,12.218,13.445,12.950,13.560,12.513,12.035,12.582,12.940,13.708,13.339,12.605,12.963,14.788,12.811,13.373,13.903,13.445,13.124,14.144,13.066
TMIN,ONDJFM,0.917,2.918,3.690,2.531,2.777,2.383,2.700,4.336,4.482,4.359,3.604,3.078,3.729,4.085,4.235,3.633,3.996,4.009,2.991,3.382,4.731,4.140,3.821,3.100,3.394,2.673,5.353,3.562,3.081,3.150
TMIN,NDJF,-0.957,1.831,2.470,1.512,1.457,0.668,1.580,3.241,2.841,3.123,1.337,1.743,3.096,2.529,3.762,1.993,2.599,3.068,1.288,1.811,3.272,2.011,2.404,2.536,1.494,0.959,4.150,2.548,1.541,1.902
TAVG,year,11.139,11.899,11.979,10.714,10.969,11.317,11.245,12.026,12.335,12.264,11.508,12.342,11.854,13.066,11.850,11.240,12.380,12.080,12.112,12.736,12.073,12.606,13.093,12.049,11.907,12.794,12.660,12.302,12.613,11.452
TAVG,MAMJJASO,14.915,15.016,15.548,13.493,14.786,14.923,14.543,15.301,15.428,15.633,15.131,15.658,15.113,16.218,15.222,14.465,15.588,15.585,15.994,16.098,15.752,15.596,17.281,15.541,16.037,16.463,16.061,15.482,16.508,15.244
TAVG,AMJJAS,16.648,17.234,17.582,15.221,16.747,16.677,16.595,17.286,16.907,17.108,16.915,18.040,17.378,17.952,16.830,16.462,17.332,17.671,18.025,18.158,16.924,17.352,20.127,17.366,17.906,18.498,18.280,17.530,19.009,17.411
TAVG,ONDJFM,3.945,5.883,6.609,5.610,5.796,5.440,5.692,7.099,7.614,7.847,6.509,6.095,6.665,6.893,7.302,6.594,7.064,7.228,5.944,6.390,7.632,7.355,6.904,6.164,6.296,5.665,8.703,6.664,5.920,6.124
TAVG,NDJF,1.863,4.625,5.232,4.301,4.281,3.331,4.288,5.929,5.652,6.311,3.966,4.557,5.951,5.130,6.572,4.564,5.357,6.041,4.060,4.555,6.082,4.854,5.007,5.430,4.100,3.591,7.278,5.493,4.098,4.558
RH,year,74.689,73.699,71.386,71.653,70.572,74.404,75.687,75.343,70.842,71.976,73.414,74.262,73.859,74.897,75.274,75.075,73.080,71.662,75.399,73.859,74.566,74.483,69.087,73.327,73.214,73.137,73.852,74.276,72.668,73.591
RH,MAMJJASO,72.304,70.357,68.299,68.013,66.450,71.878,72.524,73.163,69.113,69.397,70.705,71.902,71.746,71.933,72.488,72.083,70.041,69.582,73.161,71.103,72.560,71.485,64.869,70.511,70.357,70.809,71.039,72.249,68.912,70.102
RH,AMJJAS,70.283,67.983,66.307,66.436,64.142,70.598,70.797,70.980,68.673,67.956,68.018,69.241,70.391,71.149,71.692,70.836,68.875,67.806,72.123,68.896,70.523,71.121,62.607,68.270,68.955,68.652,69.429,70.531,67.069,69.064
RH,ONDJFM,77.246,79.723,78.116,76.840,77.253,77.375,79.188,79.986,76.578,72.130,79.640,77.859,77.726,79.243,79.005,78.553,78.154,75.979,78.309,78.315,79.887,75.681,77.432,77.390,78.149,79.118,77.190,76.491,79.945,77.267
RH,NDJF,77.653,80.929,78.876,78.825,78.878,79.185,80.994,80.209,77.686,73.135,80.381,77.944,78.224,80.555,81.137,80.643,79.698,77.518,79.088,79.541,79.007,77.500,81.102,78.245,78.747,79.958,78.121,76.839,81.194,80.133
RHmin,year,58.243,57.536,55.060,56.145,54.580,57.862,59.532,58.780,53.626,54.951,56.869,58.149,57.686,58.677,58.836,59.323,56.135,55.546,59.256,57.476,58.292,58.271,52.615,57.545,57.122,56.764,56.933,58.139,56.843,58.730
RHmin,MAMJJASO,55.307,53.595,51.576,51.792,49.490,54.367,55.411,55.848,51.536,51.665,53.442,55.439,54.997,54.872,55.300,55.284,52.123,53.121,56.026,53.967,55.471,54.664,47.737,54.118,53.368,53.907,53.321,55.766,52.172,54.316
RHmin,AMJJAS,53.209,50.927,49.861,50.385,47.098,53.337,53.262,52.946,51.527,50.295,50.757,52.332,53.171,54.357,54.709,53.917,51.058,51.062,55.079,51.481,53.858,54.428,45.785,51.710,52.485,51.880,51.740,54.050,49.969,53.267
RHmin,ONDJFM,61.831,63.962,62.858,61.180,62.610,62.154,63.472,64.985,60.207,54.481,64.082,61.958,62.607,64.274,63.281,63.142,62.738,59.906,63.423,62.955,64.548,59.248,62.167,61.637,62.928,63.602,60.183,60.578,65.420,62.939
RHmin,NDJF,62.925,65.382,64.297,63.970,64.669,65.472,66.225,65.081,62.030,55.996,65.939,62.610,62.906,66.142,66.129,66.744,65.284,61.789,64.767,65.147,64.300,62.179,67.218,62.806,64.439,65.830,61.503,61.159,67.574,66.698
PREC,year,1736.193,1419.990,1368.252,1357.998,1224.457,1502.765,1562.070,1585.991,1099.916,1426.434,1216.988,1425.158,1444.939,1455.775,1610.760,1298.967,1291.473,1299.385,1845.839,1474.444,1650.197,1714.191,1030.435,1265.964,1154.070,1358.796,1487.578,1461.545,1256.613,1305.287
PREC,MAMJJASO,1167.867,991.257,935.502,897.855,837.655,1001.887,1162.881,1111.699,827.697,886.620,828.413,976.346,1105.922,1015.203,1002.163,886.242,893.241,997.702,1179.832,1020.203,1260.856,1102.834,706.797,880.305,844.863,1083.355,1022.524,1098.454,784.082,924.254
PREC,AMJJAS,763.870,711.058,794.449,738.522,738.388,802.198,955.603,675.954,654.326,681.519,650.797,660.234,876.539,858.326,811.082,703.171,751.106,752.278,988.796,760.056,909.100,853.138,484.252,646.112,713.759,813.189,910.933,822.049,576.882,769.404
