Variable,Season,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099
TMAX,year,25.284,24.687,25.051,23.570,25.005,24.378,24.983,24.643,25.678,25.375,24.443,24.520,23.745,25.732,26.053,24.377,25.660,25.350,25.055,25.383,25.422,25.234,25.745,25.175,25.593,26.165,25.093,24.895,26.234,24.675
TMAX,MAMJJASO,29.241,29.146,29.417,27.719,29.811,28.936,29.713,28.875,30.011,29.979,29.172,28.692,27.750,30.152,30.451,28.765,30.215,29.554,29.913,29.776,30.363,29.206,30.858,29.615,30.938,31.288,29.276,29.131,31.203,29.646
TMAX,AMJJAS,31.158,31.828,31.177,30.281,32.187,31.286,32.613,30.699,31.878,32.520,32.274,31.506,30.448,32.263,32.387,31.083,31.540,31.489,32.612,32.093,32.513,31.360,33.841,32.220,33.615,33.820,31.716,31.506,33.269,32.489
TMAX,ONDJFM,17.181,19.238,17.502,17.720,17.190,17.732,17.944,17.759,19.002,19.637,16.692,17.187,17.640,17.626,19.250,18.615,19.416,19.461,18.148,18.174,18.333,18.540,18.348,17.683,17.780,17.511,18.977,19.106,17.606,18.121
TMAX,NDJF,15.260,17.418,15.162,15.797,15.239,14.768,15.490,15.797,16.393,17.319,14.373,15.362,16.307,15.558,17.399,16.098,16.394,16.542,16.051,15.791,16.016,15.878,15.768,16.399,15.023,14.647,16.848,17.323,14.791,15.533
TMIN,year,12.429,12.720,12.436,11.519,12.196,11.930,12.787,12.301,13.405,12.949,12.084,12.021,11.592,12.803,13.311,12.635,13.706,12.781,12.744,12.683,13.090,13.303,13.740,12.854,12.600,13.916,12.511,12.722,13.444,12.986
TMIN,MAMJJASO,15.707,15.607,15.558,14.226,15.385,15.197,16.026,15.292,16.223,16.390,15.474,15.264,14.697,15.883,16.115,15.347,16.653,15.988,16.649,15.858,16.827,16.023,17.337,16.201,16.742,17.661,15.848,15.894,16.809,16.326
TMIN,AMJJAS,17.112,17.625,17.246,16.171,17.323,16.741,17.933,17.013,17.861,18.171,17.330,17.238,16.571,17.314,17.738,17.144,18.126,17.918,18.452,17.780,17.902,17.441,19.321,17.968,18.605,19.279,17.837,17.794,18.552,18.475
TMIN,ONDJFM,5.242,8.406,6.785,7.541,7.024,7.247,7.181,7.986,7.319,9.473,7.132,6.131,7.028,7.256,8.273,9.139,8.410,9.338,6.601,7.057,8.925,7.707,8.795,8.093,6.612,7.440,8.867,7.394,7.099,8.497
TMIN,NDJF,3.221,7.419,5.128,6.628,6.189,5.683,5.183,7.025,5.317,8.591,4.867,4.640,5.773,5.807,6.944,7.860,7.333,7.785,4.914,4.944,7.330,5.183,7.179,6.901,4.237,5.081,7.372,5.961,5.317,6.918
TAVG,year,18.795,18.637,18.698,17.509,18.594,18.131,18.853,18.436,19.519,19.137,18.255,18.241,17.627,19.241,19.643,18.472,19.639,19.004,18.830,18.962,19.184,19.187,19.695,18.944,19.026,19.978,18.739,18.668,19.728,18.726
TAVG,MAMJJASO,22.379,22.268,22.400,20.890,22.553,21.994,22.797,22.008,23.066,23.139,22.280,21.911,21.156,22.966,23.218,21.992,23.373,22.689,23.188,22.737,23.502,22.514,24.030,22.819,23.750,24.391,22.485,22.351,23.874,22.850
TAVG,AMJJAS,24.013,24.599,24.105,23.121,24.690,23.910,25.186,23.765,24.799,25.287,24.739,24.293,23.420,24.725,24.974,24.027,24.748,24.607,25.419,24.848,25.086,24.277,26.511,24.987,26.006,26.450,24.689,24.480,25.772,25.326
TAVG,ONDJFM,11.236,13.811,12.129,12.672,12.148,12.554,12.599,12.887,13.181,14.578,11.945,11.689,12.353,12.446,13.751,13.918,13.909,14.379,12.362,12.550,13.606,13.094,13.550,12.842,12.173,12.447,13.889,13.167,12.255,13.251
TAVG,NDJF,9.271,12.431,10.148,11.280,10.781,10.312,10.388,11.462,10.887,12.984,9.665,10.058,11.069,10.704,12.166,12.023,11.864,12.139,10.474,10.300,11.652,10.493,11.463,11.618,9.612,9.838,12.078,11.564,9.982,11.178
RH,year,59.941,62.705,61.178,63.314,60.886,61.995,63.302,64.793,62.106,62.387,61.716,61.225,63.568,60.745,58.852,62.483,62.392,60.765,60.707,60.399,60.493,61.682,61.077,61.571,56.733,60.389,61.144,61.462,56.782,60.401
RH,MAMJJASO,54.998,54.899,53.590,56.561,53.102,54.797,55.090,58.694,54.802,54.808,54.326,54.275,56.730,52.756,50.309,54.662,53.978,54.100,54.164,53.002,53.083,54.309,52.638,54.240,48.854,52.004,54.644,54.260,47.828,52.264
RH,AMJJAS,52.383,51.788,51.583,53.407,51.160,49.839,50.361,57.388,52.304,51.516,48.493,50.261,52.970,47.539,47.391,51.238,52.965,52.179,49.849,50.205,47.508,49.661,47.271,50.249,44.149,47.101,51.895,51.057,44.404,48.833
RH,ONDJFM,67.430,69.787,72.228,72.029,73.457,71.276,74.443,75.162,71.295,72.615,75.820,71.126,72.654,74.631,72.886,73.563,70.697,72.676,68.747,71.202,74.165,71.911,74.168,75.773,69.311,72.805,73.051,69.482,71.487,71.245
RH,NDJF,69.565,74.127,76.437,76.983,78.544,76.806,77.413,79.768,75.045,78.722,78.030,74.138,75.690,78.047,76.571,78.531,78.425,78.786,71.831,74.722,77.563,74.322,77.802,78.407,73.257,76.212,77.910,73.087,76.352,76.053
RHmin,year,42.678,45.818,43.991,46.361,43.747,44.991,46.318,46.862,45.392,45.148,44.983,44.250,46.124,43.633,42.485,46.313,45.921,43.668,43.930,43.528,43.884,45.387,45.040,44.583,40.550,44.040,43.788,44.447,40.929,44.623
RHmin,MAMJJASO,38.787,38.541,37.458,40.072,36.697,38.782,38.997,41.370,38.531,38.832,38.622,38.741,40.673,36.964,34.799,38.709,38.120,38.245,38.743,37.397,37.768,38.961,37.695,38.554,34.311,36.910,38.634,38.496,33.208,37.152
RHmin,AMJJAS,36.629,35.900,36.253,37.434,35.162,34.728,34.890,40.626,36.772,35.857,33.381,35.173,37.214,32.860,32.654,35.948,37.617,37.108,34.888,35.280,32.842,35.104,33.066,35.021,30.439,32.658,36.517,36.054,30.677,34.196
RHmin,ONDJFM,47.803,51.671,53.162,54.333,55.169,53.329,54.743,57.180,51.226,55.108,57.532,52.006,53.770,55.617,53.560,56.633,52.839,54.996,49.519,51.816,56.818,52.634,56.561,57.345,50.419,54.555,54.788,49.625,53.166,54.216
RHmin,NDJF,48.949,55.907,56.875,59.170,60.271,58.955,57.286,61.826,54.305,61.464,58.910,54.342,55.725,58.610,56.484,61.984,60.670,60.988,51.879,54.187,60.036,54.155,60.394,59.239,53.334,57.303,58.900,52.473,57.632,58.856
PREC,year,421.880,482.205,421.646,545.197,444.825,451.740,562.272,483.915,582.194,397.396,421.791,455.244,452.123,424.202,442.679,688.317,639.284,390.945,463.548,550.933,500.189,557.584,556.409,430.172,353.705,508.630,440.743,552.062,526.614,665.551
PREC,MAMJJASO,235.634,249.198,200.821,292.307,167.418,255.399,279.495,309.109,263.292,254.410,252.557,343.655,349.941,219.385,145.033,254.913,265.764,251.702,327.994,308.339,299.282,325.199,300.868,287.928,216.512,300.149,300.003,374.290,216.928,323.345
PREC,AMJJAS,165.943,151.346,162.194,179.258,126.746,158.122,153.193,236.394,196.513,151.959,128.692,217.751,213.855,146.726,111.092,188.152,226.104,206.443,178.905,208.028,129.188,210.416,156.782,152.851,103.476,152.002,209.871,261.031,130.601,182.025
PREC,ONDJFM,89.129,289.319,267.696,346.208,389.921,300.615,293.691,388.388,214.660,360.230,335.891,201.238,221.832,292.581,270.138,451.965,389.064,386.618,204.757,229.269,542.024,231.572,407.886,364.230,204.350,327.103,348.761,201.631,334.874,490.864
