model,rmse_calibration,rmse_verification,rsq_calibration,rsq_verification
Artificial Neural Network,1.1156167468231357,1.0056346150784885,0.7379434347775133,0.8052523865808346
Bagged Classification and Regression Trees,0.5213861461944554,1.1477270115070883,0.9446892640394247,0.7443621643018515
Bayesian Additive Regression Trees,1.0852369896108545,1.0305874830652695,0.7521595609478458,0.7949637538342468
Cubist Regression,1.0748671513817016,1.0545361605373333,0.7568911704029998,0.782248133012101
Elastic Net Regression,1.132589521349617,1.043085308680223,0.7300500764860649,0.7919949812620101
Extreme Gradient Boosting,0.9803788349120854,1.0245159398095134,0.7996858665161899,0.8018731855634539
Generalized Linear Model,1.1746257156332658,1.0747554354568725,0.7092383850739236,0.7776073129380328
Multivariate Adaptive Regression Splines,1.178243682972693,1.058535968351562,0.7074444755863057,0.7847904237280856
Random Forest,0.9648952810167455,1.0389425064449695,0.8060410748855493,0.7949387695951152
Support Vector Machine (Linear),1.1849700728563186,1.0953237772432916,0.7048692182950885,0.7733592663973415
Support Vector Machine (Polynomial),1.14361345096589,1.0371562926391802,0.7245754239357962,0.7934153394468115
Support Vector Machine (Radial),1.0908407960355984,1.0329246943641128,0.7495563818445773,0.7947098881004363
ensemble,1.037906715628878,1.0094372203934758,0.7742736328496094,0.8055962895009027
